id,term,category,definition,easy_explanation,example,tip,related_terms,created_at
53317581-f872-4dc9-89f3-f8eb07b3c0d9,최근 6개월 이행률,안전,직전 6개월 동안의 점검 이행률을 따로 계산한 지표예요.,최근 반년 동안 점검을 얼마나 잘 챙겼는지,최근 6개월 이행률 60% → 하락 추세 주의,전체 이행률이 높아도 최근 추세가 떨어지면 위험 신호예요.,"[""점검 이행률""]",2026-06-23 09:34:37.957396+00
547517ed-c41d-497e-88bc-9f92bb27c8e8,국세완납증명서,정책,국세를 밀리지 않고 모두 납부했다는 걸 증명하는 서류예요.,나라에 낼 세금 다 냈다는 증명서,국세청 홈택스에서 온라인으로 발급 가능해요,세금 체납이 있으면 지원사업 신청 자체가 거절될 수 있어요.,"[""지방세완납증명서"",""제출서류""]",2026-06-23 09:34:06.747653+00
5afbef74-a670-4cc8-8c07-70478ac45c0e,설비 노후도,안전,설비를 사용한 기간을 기준으로 얼마나 오래됐는지 보는 정도예요.,설비가 얼마나 낡았는지,15년 된 프레스 (업종 평균 교체주기 12년 초과),노후도가 높을수록 안전사고와 고장 위험이 같이 올라가요.,"[""안전 리스크"",""설비 교체주기""]",2026-06-23 09:34:37.957396+00
63a96037-38b7-4a6f-bf1f-690280e3254f,산업안전보건법,안전,근로자의 안전과 보건을 보호하기 위해 사업주의 의무를 정한 법률이에요.,일하다 다치지 않게 회사가 지켜야 할 걸 정한 법,"위험성평가, 안전보건관리체계 구축 등이 이 법에 근거해요",정확한 조항·처벌 기준은 법령 원문이나 고용노동부 안내를 꼭 함께 확인하세요.,"[""형사책임"",""안전관리체계""]",2026-06-23 09:34:37.957396+00
6489f1f1-204b-49a3-9321-c7cfd06fd4d2,재무제표,정책,"회사의 매출, 자산, 부채 등 재무상태를 보여주는 회계 문서예요.",회사 통장 사정을 보여주는 서류,최근 3개년 매출액 확인을 위해 요구되는 경우가 많아요,매출 기준 자격요건이 있는 사업은 재무제표가 거의 필수예요.,"[""자격요건"",""제출서류""]",2026-06-23 09:34:06.747653+00
68df4dda-a3db-4f49-9924-2ea8a1d0c85b,점검 이행률,안전,의무 점검 항목 중 실제로 이행한 항목의 비율이에요.,해야 할 점검 중 몇 퍼센트를 실제로 했는지,점검 항목 10개 중 8개 이행 → 이행률 80%,이행률이 낮으면 감독기관 점검 대상이 될 가능성이 높아져요.,"[""최근 6개월 이행률"",""법정 안전점검""]",2026-06-23 09:34:37.957396+00
6960ba78-71e3-4a19-90c0-dc9fa59dd605,자부담금,ROI,정부 지원금을 받고도 기업이 직접 부담해야 하는 나머지 금액이에요. 실부담금과 거의 같은 의미로 쓰여요.,지원금 받고도 내가 내야 하는 돈,"총 투자금 1억원 중 보조금 5,450만원 → 자부담금 4,550만원",자부담금 비율이 낮은 사업일수록 기업 입장에선 유리해요.,"[""실부담금"",""보조금""]",2026-06-23 09:33:28.161684+00
69c677ab-3484-4ccd-9926-e34a9eaee497,안전 리스크,안전,설비나 작업환경에서 안전사고가 발생할 수 있는 위험 요소예요.,사고 날 수 있는 위험 요인,노후 설비의 방호장치 미작동,안전 리스크는 설비 노후도와 함께 점검하면 더 정확히 파악돼요.,"[""설비 노후도"",""위험성평가""]",2026-06-23 09:34:37.957396+00
704e9157-1c99-4292-b64f-a01dfc28d122,방호장치,안전,설비 작동 중 작업자를 보호하기 위해 설치된 안전장치예요.,다치지 않게 막아주는 안전장치,프레스의 광전자식 안전장치,방호장치가 정상 작동하는지는 작업시작 전 점검 필수 항목이에요.,"[""비상정지장치"",""인터록""]",2026-06-23 09:34:37.957396+00
76986621-bc62-45c5-bfc8-e669229f24e2,총 투자금,ROI,설비를 교체하거나 개선할 때 들어가는 전체 비용이에요.,이 프로젝트에 드는 돈 전부,고효율 프레스 교체 시 총 투자금 1억원,총 투자금이 크면 지원금 비중도 같이 따져봐야 해요.,"[""실부담금"",""예상 지원금""]",2026-06-23 09:33:28.161684+00
7fb9b5e3-2d7d-4d88-8a11-8b179188c351,형사책임,안전,안전 의무를 어겨 중대한 결과가 발생했을 때 질 수 있는 법적 책임이에요.,단순 벌금을 넘어서는 법적 책임,중대재해 발생 시 사업주가 형사처벌 대상이 될 수 있어요,형사책임은 과태료보다 훨씬 무거운 결과로 이어질 수 있어요.,"[""과태료"",""산업안전보건법""]",2026-06-23 09:34:37.957396+00
8246d059-aa96-4083-84fb-d5a0dab07841,법정 안전점검,안전,법령에 의해 의무적으로 받아야 하는 안전 점검이에요.,"법으로 정해진, 꼭 받아야 하는 점검","KTL 전기안전 정기검사, 소방설비 정기점검",법정 점검은 자율점검과 달리 안 받으면 과태료 대상이 돼요.,"[""정기점검"",""과태료""]",2026-06-23 09:34:37.957396+00
88ca43ac-2922-410d-9902-082f1fa034c0,정량목표,정책,숫자로 측정할 수 있는 목표예요.,숫자로 딱 떨어지는 목표,불량률 3.2%에서 1.5%로 감소,"너무 낮게 잡으면 성과가 부족해 보이고, 너무 높게 잡으면 달성이 어려워요.","[""기대효과"",""정성목표""]",2026-06-23 09:34:06.747653+00
88d022dc-286f-4187-bc8a-96b7b30fc116,업종 평균,ROI,"같은 업종 내 다른 기업들의 평균적인 수치(에너지비용, 불량률 등)예요.",우리 업종 다른 회사들은 보통 어느 정도인지 보는 기준,"금속가공업 평균 에너지비용 3,480만원/년",업종 평균보다 한참 높으면 개선 여지가 크다는 신호예요.,"[""에너지 비용"",""불량률""]",2026-06-23 09:33:28.161684+00
89116be6-6d02-4bb0-8a57-28cc365f7b25,과태료,안전,법정 의무를 어겼을 때 행정기관이 부과하는 금전적 제재예요.,법 어기면 내야 하는 벌금성 비용,KTL 검사 미이행 시 최대 300만원 과태료,"과태료는 형사처벌과 달리 전과가 남지 않지만, 반복되면 금액이 커질 수 있어요.","[""형사책임"",""안전점검 지연""]",2026-06-23 09:34:37.957396+00
8ac0bb34-ef90-494f-a213-e7bf4ff75c97,평가항목,정책,신청서를 심사할 때 점수를 매기는 세부 기준이에요.,뭘 보고 점수를 주는지 정한 항목들,"사업 필요성 20점, 수행계획 30점, 기대효과 30점, 예산 적정성 20점",평가항목별 배점을 미리 알면 어디에 힘을 줘야 할지 보여요.,"[""가점""]",2026-06-23 09:34:06.747653+00
992ede42-a42b-40da-96de-eacff6610415,설비 교체주기,ROI,업종별로 설비를 새로 바꾸는 게 권장되는 평균 연수예요.,보통 이 정도 쓰면 바꿀 때가 됐다는 기준,금속가공업 프레스 평균 교체주기 12년,교체주기를 넘긴 설비는 고장 확률이 급격히 늘어나요.,"[""업종 평균"",""설비 노후도""]",2026-06-23 09:33:28.161684+00
9b729fca-2572-4f70-a087-bd1cf2a21333,인터록,안전,특정 조건이 충족되지 않으면 설비가 작동하지 않도록 막는 안전장치예요.,조건이 안 맞으면 설비가 못 움직이게 잠그는 장치,안전문이 열려 있으면 프레스가 작동하지 않는 인터록,인터록을 임의로 해제하는 건 가장 흔한 산업재해 원인 중 하나예요.,"[""방호장치"",""비상정지장치""]",2026-06-23 09:34:37.957396+00
9d80eb79-a227-4c74-b24a-5fff215d6f95,실부담금,ROI,"설비 교체 투자금에서 정부 보조금을 뺀, 회사가 실제로 부담하는 금액이에요.",내 주머니에서 실제로 나가는 돈,"총 투자금 1억원 / 예상 지원금 5,450만원 → 실부담금 4,550만원",실부담금이 작을수록 초기 현금 부담이 줄어요.,"[""총 투자금"",""예상 지원금"",""보조금""]",2026-06-23 09:33:28.161684+00
a5bbe18d-6da7-4003-9a91-90c3667ce064,안전관리체계,안전,회사가 안전보건을 관리하기 위해 갖추는 조직적인 체계 전체예요.,회사가 안전을 챙기는 전체 시스템,"경영자 리더십, 위험요인 파악, 비상조치계획 등으로 구성",안전관리체계가 잘 갖춰진 회사는 자율점검 결과도 자연히 좋아져요.,"[""위험성평가"",""산업안전보건법""]",2026-06-23 09:34:37.957396+00
a795843d-70c3-4d24-9f3a-c8390642a973,보조금,ROI,정부나 공공기관이 기업의 설비투자·R&D 등을 지원하기 위해 지급하는 돈이에요.,정부가 보태주는 돈,"에너지공단 노후설비교체 지원 최대 8,400만원",보조금은 사업별로 자격조건과 마감일이 다르니 꼭 확인해야 해요.,"[""예상 지원금"",""자격요건""]",2026-06-23 09:33:28.161684+00
b48c7712-a4c7-441f-bdf1-98da78e5269a,가점,정책,특정 조건을 만족하면 평가 점수에 추가로 더해주는 점수예요.,조건 맞으면 덤으로 주는 점수,"여성기업, 사회적기업, 지방소재 기업에 가점 부여",가점 조건은 공고마다 다르니 자격요건과 함께 확인해야 해요.,"[""평가항목"",""자격요건""]",2026-06-23 09:34:06.747653+00
b80aca71-ee5e-4722-9d79-002353c75b7e,개선권고,안전,점검 결과 발견된 문제에 대해 시정하라고 권고하는 조치예요.,이거 고치세요 라는 권고,방호장치 미작동에 대한 개선권고,개선권고를 무시하면 다음 점검에서 더 강한 제재로 이어질 수 있어요.,"[""위험성평가"",""과태료""]",2026-06-23 09:34:37.957396+00
b9113ce7-c606-4fdb-a9fc-1b63a432c364,에너지 절감액,ROI,설비를 교체했을 때 줄어드는 연간 전력비예요.,전기요금에서 아낀 돈,기존 전력비 450만원 → 교체 후 315만원 → 절감액 135만원/년,노후 설비일수록 에너지 절감 폭이 크게 나오는 경우가 많아요.,"[""에너지 비용"",""연간 순편익""]",2026-06-23 09:33:28.161684+00
b9fe6833-3a2c-4a0f-a80f-d6b204076db2,에너지 비용,ROI,설비를 가동하는 데 드는 연간 전력비예요.,전기요금,"연간 에너지비용 4,800만원",정격전력·가동시간·부하율로 추정 계산할 수 있어요.,"[""에너지 절감액"",""업종 평균""]",2026-06-23 09:33:28.161684+00
bdc711a3-ba05-4094-bac9-bcecab50dbf5,위험성평가,안전,작업장의 유해·위험요인을 미리 찾아내고 그 정도를 평가하는 절차예요.,위험한 게 뭐가 있는지 미리 찾아보는 절차,신규 설비 도입 시 위험성평가 실시,위험성평가는 사고가 나기 전에 막는 가장 기본적인 절차예요.,"[""안전 리스크"",""안전관리체계""]",2026-06-23 09:34:37.957396+00
bdcf1e7c-b535-48d6-85c3-bc20bb854991,생산능력,ROI,설비가 일정 기간 동안 만들어낼 수 있는 최대 생산량이에요.,이 설비로 만들 수 있는 최대 양,"연간 생산능력 45,000개",생산능력이 남아돌면 교체보다 가동률 개선이 더 시급할 수 있어요.,"[""설비 교체주기""]",2026-06-23 09:33:28.161684+00
be50b597-8e27-441f-9e9d-a43e5f970ed1,특별점검,안전,"정기점검 외에 특정 사유(사고, 계절 등)로 추가로 실시하는 점검이에요.",평소 점검 말고 특별한 이유로 따로 하는 점검,여름철 폭염 대비 특별점검,특별점검은 일반적으로 안 챙기기 쉬워서 놓치는 경우가 많아요.,"[""정기점검"",""법정 안전점검""]",2026-06-23 09:34:37.957396+00
c096f7da-e499-4ee4-b9b9-606f2743e210,불량비용 절감액,ROI,불량률이 낮아지면서 줄어드는 손실 비용이에요.,불량품 때문에 버려지던 돈에서 아낀 돈,불량률 3.2% → 1.5%로 개선 → 절감액 43만원/년,불량비용은 매출이 클수록 절감 효과도 커져요.,"[""불량률"",""연간 순편익""]",2026-06-23 09:33:28.161684+00
c9e12d88-8a2e-477e-b711-edd8f0b34cd2,견적서,정책,구매하려는 설비나 장비의 예상 가격을 공급업체로부터 받은 문서예요.,이거 사면 얼마예요 라는 답변을 받은 종이,"신규 프레스 설비 견적서 1억 8,000만원",보통 2곳 이상에서 받은 비교견적을 요구하는 사업도 있어요.,"[""산출내역"",""증빙자료""]",2026-06-23 09:34:06.747653+00
ca525780-e65c-41c7-aaca-092f1dab5ece,투자 시나리오 B,ROI,"핵심 부품만 교체하거나 스마트 모니터링을 더하는, 비교적 가벼운 개선 시나리오예요.",필요한 부분만 고치는 방안,"핵심 부품 교체 + 스마트 모니터링, 투자금 2,000만원",초기 투자 부담이 적어 현금 여력이 부족한 회사에 적합해요.,"[""투자 시나리오 A"",""총 투자금""]",2026-06-23 09:33:28.161684+00
d3fde6f1-5017-45fa-a359-1ec9912fb87f,예상 지원금,ROI,매칭된 정부 지원사업으로 받을 수 있을 것으로 예상되는 보조금 총액이에요.,정부가 보태줄 것으로 보이는 돈,"에너지공단 8,400만원 + KIAT 4,000만원 → 예상 지원금 합산",공고 마감일을 놓치면 예상 지원금을 못 받을 수 있어요.,"[""보조금"",""총 투자금"",""실부담금""]",2026-06-23 09:33:28.161684+00
d99457f8-fef8-433c-934d-f3fb7a022b62,유지보수 절감액,ROI,설비를 교체했을 때 줄어드는 연간 수리·점검 비용이에요.,고치는 데 드는 돈에서 아낀 돈,기존 유지보수비 8만원 → 교체 후 4만원 → 절감액 4만원/년,노후 설비는 유지보수비가 매년 늘어나는 경향이 있어요.,"[""설비 교체주기"",""연간 순편익""]",2026-06-23 09:33:28.161684+00
dc6122b0-3dd6-4e6f-8499-bf56c0942718,추진배경,정책,이 사업을 시작하게 된 회사 내외부 상황과 계기예요.,어떤 상황이라서 이걸 하게 됐는지,15년 된 프레스 라인의 고장 빈도 증가로 교체 필요성 제기,추진배경이 구체적일수록 사업 필요성이 자연스럽게 연결돼요.,"[""사업 필요성""]",2026-06-23 09:34:06.747653+00
dffbc1bd-611f-46e7-9a1e-32c5f2c61f27,비상정지장치,안전,위급 상황에서 설비를 즉시 멈출 수 있는 장치예요.,위험할 때 바로 끄는 버튼,프레스 라인의 비상정지 스위치,비상정지장치는 작동 확인을 매일 하는 게 안전 기본이에요.,"[""방호장치"",""인터록""]",2026-06-23 09:34:37.957396+00
e299fd65-0c3e-461b-bc17-6146d415db99,사업계획서,정책,지원사업에 신청할 때 회사의 사업 추진 계획을 정리해서 제출하는 핵심 문서예요.,우리가 이걸 어떻게 할 건지 정리한 문서,추진배경·수행계획·소요예산을 담은 A4 10페이지 분량의 계획서,"평가위원이 제일 먼저, 제일 꼼꼼히 보는 문서예요.","[""신청서 초안"",""수행계획"",""소요예산""]",2026-06-23 09:34:06.747653+00
f0f41793-4997-4852-b39f-c1aadbd8942f,사업자등록증,정책,사업을 영위하고 있다는 걸 증명하는 기본 서류예요.,우리 회사가 진짜 사업하고 있다는 증명서,대부분의 지원사업에서 기본 필수 제출서류로 요구돼요,업종코드가 공고 자격요건과 맞는지 미리 확인하면 좋아요.,"[""제출서류"",""자격요건""]",2026-06-23 09:34:06.747653+00
fef6c912-aacf-4a00-8558-5da827964e9a,제출서류,정책,신청서와 함께 제출해야 하는 모든 첨부 문서예요.,신청서랑 같이 내야 하는 서류들,"사업신청서, 사업자등록증, 재무제표, 중소기업확인서",공고마다 요구 서류가 달라서 매번 체크리스트로 확인해야 해요.,"[""사업자등록증"",""증빙자료""]",2026-06-23 09:34:06.747653+00
ff67a8d0-3a76-45d9-8441-bce51c6bf973,손익분기점,ROI,투자금과 절감액이 같아져서 손실도 이익도 없는 지점이에요. 회수기간과 거의 같은 의미로 쓰여요.,본전이 되는 지점,"실부담금 4,550만원을 연간 순편익으로 나눠서 손익분기점 계산",손익분기점 이후부터는 순수하게 이익이 쌓이기 시작해요.,"[""회수기간"",""ROI""]",2026-06-23 09:33:28.161684+00
