policy_id,title,organization,stage2_category,stage2_reason,candidate_count,direct_cash_candidate_count,candidate_types,direct_amounts_manwon,selected_flags,direct_candidate_summary,url
SMARTFACTORY:2026-N-0115:1,[LS일렉트릭] 2026년도 상생형 인공지능 전환(AX) 선도모델 구축지원 사업 공고,스마트공장 사업관리시스템,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0115&pbancSn=1
PBLN_000000000123427,[경기] 안산시 2026년 로봇직업교육센터 구축사업 제조기업 로봇공정 성능개선 지원사업 공고,경기도,manual_check_multi_direct_candidates,직접지원 후보가 여러 개라 대표 선택 필요,4,4,support_amount,"4000.0, 625.0, 625.0, 625.0","True, False, False, False","4000.0만원/support_amount/기업당 최대 40,000천원 지원 || 625.0만원/support_amount/기업당 최대 6,250천원 지원 || 625.0만원/support_amount/기업당 최대 6,250천원 지원 || 625.0만원/support_amount/기업당 최대 6,250천원 지원",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123427
PBLN_000000000122640,[경북] 2026년 경북산업기술단지 거점기능강화사업 기술닥터제 활성화 지원사업 공고,중소벤처기업부,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122640
SMARTFACTORY:2026-N-0113:1,[포스코DX] 2026년도 상생형 인공지능 전환(AX) 선도모델 구축지원 사업 공고,스마트공장 사업관리시스템,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0113&pbancSn=1
PBLN_000000000117291,2026년 한국식품산업클러스터진흥원 기업지원시설ㆍ장비 활용 지원사업 공고,농림축산식품부,non_cash_or_fee_only,비현금/수수료/컨설팅성 후보만 있어 ROI 직접 차감 불가,2,0,non_cash,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117291
PBLN_000000000119851,[경북] 안동시 2026년 로케이션 제작지원 사업 공고,경상북도,reparse_needed_no_direct_cash,후보는 있으나 직접 현금/바우처 금액 후보가 없음,1,0,support_amount,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119851
SMARTFACTORY:2025-N-0205:1,2026년 한국로봇산업진흥원 로봇활용 제조혁신 지원사업,스마트공장 사업관리시스템,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2025-N-0205&pbancSn=1
TECHNOPARK:955,(예산) 2026 시군구연고산업육성사업 2차 공고 (수정공고),충남테크노파크,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.ctp.or.kr/business/datadetail.do?seq=2709247
PBLN_000000000123542,[충남] 2026년 미래차전환 종합지원사업 기업지원(R&D) 프로그램 모집 공고,충청남도,reparse_needed_no_direct_cash,후보는 있으나 직접 현금/바우처 금액 후보가 없음,4,0,support_amount,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123542
PBLN_000000000120468,[경기] 2026년 국내ㆍ외 우수 물기술 인ㆍ검증 지원사업 참여기업 모집 공고,경기도,manual_check_multi_direct_candidates,직접지원 후보가 여러 개라 대표 선택 필요,3,2,support_amount,"400.0, 600.0","False, True",400.0만원/support_amount/(국내인증) 기업 당 최대 4백만 원 || 600.0만원/support_amount/(해외인증) 기업 당 최대 6백만 원,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120468
PBLN_000000000123029,2026년 2차 차세대 재생에너지 표준화 및 인증고도화 혁신지원 사업 대상과제 공고,기후에너지환경부,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123029
PBLN_000000000123189,[충북] 지능형첨단부품산업의 디지털전환 거점 구축 사업 AI 융합 제품ㆍ솔루션 고도화 지원 수혜기업 모집 공고,산업통상부,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123189
PBLN_000000000119457,[경기] 평택시 2026년 장비 활용 지원사업 기업 모집 공고,경기도,auto_adopt_candidate_possible,직접지원 후보 1개이고 최대/한도 문맥이 명확하며 위험 단위 문맥 없음,1,1,support_amount,400.0,True,"400.0만원/support_amount/장비 사용료 4,000천원 이내 80% 지원",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119457
PBLN_000000000121397,[강원] 2026년 바이오기업 애로해소 인허가 컨설팅 지원기업 상시모집 공고,강원특별자치도,non_cash_or_fee_only,비현금/수수료/컨설팅성 후보만 있어 ROI 직접 차감 불가,1,0,non_cash,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121397
PBLN_000000000119181,[충북] 2026년 소부장 지원 전문가 스테이션 운영사업 기술애로 지원 모집 공고,충청북도,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119181
PBLN_000000000121849,전기차 차체ㆍ섀시 충돌안전 기업지원 연장 공고(xEV 보호차체 충돌안전 기업지원사업),경상북도,non_cash_or_fee_only,비현금/수수료/컨설팅성 후보만 있어 ROI 직접 차감 불가,5,0,non_cash,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121849
PBLN_000000000121956,2026년 시흥시 (국비)금형 디지털전환 지원사업 기술지도 모집 공고,경기도,non_cash_or_fee_only,비현금/수수료/컨설팅성 후보만 있어 ROI 직접 차감 불가,1,0,non_cash,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121956
PBLN_000000000123739,2026년 4차 무기체계 부품국산화개발 지원사업 (상생협력부품국산화) 과제ㆍ연구개발기관 모집 공고,방위사업청,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123739
PBLN_000000000123374,[전남] 첨단로봇ㆍAI 활용 중소기업 제조혁신 사업 기업지원(실증지원) 모집 공고,전라남도,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123374
PBLN_000000000123389,2026년 3차 광주 차세대 지능형 반도체 적용 온디바이스 AI 스케일업 밸리 육성 사업 성장스케일업 지원 수혜기업 추가모집 통합 공고(딥테크 스케일업 밸리 육성사업),과학기술정보통신부,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123389
TECHNOPARK:1921,"2026년도 지역주력산업육성(지역특화 프로젝트 레전드 50+) 지원모집 2차 공고(충남, 탄소저감 자동차부품, 디스플레이부품장비)",충남테크노파크,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.ctp.or.kr/business/datadetail.do?seq=2709320
PBLN_000000000123119,2026년 바이오프린팅 활용 첨단바이오 활성화 지원사업(시설ㆍ장비 활용) 수혜기업 모집 공고,경상북도,non_cash_or_fee_only,비현금/수수료/컨설팅성 후보만 있어 ROI 직접 차감 불가,2,0,non_cash,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123119
PBLN_000000000123593,[비수도권] 2026년 3차 지능형 반도체 시험분석ㆍ성능검증 지원 지원기업 모집 공고,산업통상부,auto_adopt_candidate_possible,직접지원 후보 1개이고 최대/한도 문맥이 명확하며 위험 단위 문맥 없음,2,1,"non_cash, support_amount",1000.0,True,"1000.0만원/support_amount/기업당 최대 1,000만원 지원",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123593
PBLN_000000000123433,2026년 K-바이오헬스 지역ㆍ전략센터 연계ㆍ협력 지원사업 참여기업 모집 공고,충청북도,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123433
PBLN_000000000123680,2026년 중견기업-공공연 개방형 혁신 지원 사업 신규과제 모집 공고,산업통상부,reparse_needed_no_direct_cash,후보는 있으나 직접 현금/바우처 금액 후보가 없음,1,0,support_amount,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123680
PBLN_000000000123700,[대구] 2026년 산업안전보건 원스톱 서비스 지원 공고,대구광역시,auto_adopt_candidate_possible,직접지원 후보 1개이고 최대/한도 문맥이 명확하며 위험 단위 문맥 없음,3,1,"non_cash, support_amount",1250.0,True,"1250.0만원/support_amount/기업당 최대 12,500,000원 지원",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123700
PBLN_000000000123708,[경기] 2026년 공공의료원 AI진단보조기기 실증지원사업 참여기업 모집 공고,경기도,auto_adopt_candidate_possible,직접지원 후보 1개이고 최대/한도 문맥이 명확하며 위험 단위 문맥 없음,1,1,support_amount,2000.0,True,2000.0만원/support_amount/기업당 최대 20백만원 지원,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123708
PBLN_000000000123731,[대구] 2026년 수요맞춤형 AI솔루션 개발ㆍ실증 지원 사업 컨소시엄 모집 재공고(제조업 AI융합 기반 조성사업),대구광역시,reparse_needed_no_direct_cash,후보는 있으나 직접 현금/바우처 금액 후보가 없음,1,0,support_amount,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123731
PBLN_000000000123747,2026년 디지털전환 혁신기업 기획지원 사업 (컨설팅 참여기업(관)) 모집,경상북도,non_cash_or_fee_only,비현금/수수료/컨설팅성 후보만 있어 ROI 직접 차감 불가,1,0,non_cash,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123747
TECHNOPARK:1316,아산시 CES 2027 기업지원 사업 참가기업 모집 재공고,충남테크노파크,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.ctp.or.kr/business/datadetail.do?seq=2709280
TECHNOPARK:405,2026년 전북특별자치도 공공데이터·AI 활용 창업경진대회 공고,전북테크노파크,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.jbtp.or.kr/board/view.jbtp?menuCd=DOM_000000102001000000&boardId=BBS_0000006&dataSid=20084
PBLN_000000000123783,[전남광주] 첨단 스마트그린 AX실증산단 구축사업 제조경쟁력 강화를 위한 기업AX 실증지원 공고,전남광주통합특별시,non_cash_or_fee_only,비현금/수수료/컨설팅성 후보만 있어 ROI 직접 차감 불가,4,0,non_cash,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123783
