policy_id,title,organization,support_ratio,ratio_audit_class,ratio_audit_reasons,roi_apply_method,manual_status,manual_required,manual_category,has_selected,has_numeric,ratio_candidate_count,amount_candidate_count,url
PBLN_000000000121145,[경북] 영천시 2026년 중소기업 기숙사 임차비 지원사업 참여기업 모집 공고,경상북도,0.9,estimated_ratio_needs_light_review,위험 문맥은 없지만 직접지원 문맥 약함,subtract,not_required,False,,True,False,1,1,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121145
PBLN_000000000116832,2026년 미래내일 일경험 사업 참여기업 모집 공고(인턴형ㆍ기업탐방형),고용노동부,,no_support_ratio,support_ratio 없음,subtract,not_required,False,,True,False,0,4,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000116832
PBLN_000000000121291,2026년 비즈니스지원단(현장클리닉) 사업 운영계획 공고,중소벤처기업부,0.8,already_confirmed_amount,확정 대표금액 차감 우선,subtract,not_required,False,,True,True,1,2,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121291
PBLN_000000000116998,[경북] 2026년 소상공인육성자금(경북버팀금융) 이차보전 지원 계획 공고,경상북도,,no_support_ratio,support_ratio 없음,exclude,not_required,False,,False,False,0,1,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000116998
PBLN_000000000122255,[강원] 원주시 2026년 중소기업 지식재산 국내 분쟁 지원 사업 수시 모집 공고,강원특별자치도,0.3,already_confirmed_amount,확정 대표금액 차감 우선,subtract,not_required,False,,True,True,1,3,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122255
PBLN_000000000123504,[서남권] 2026년 2차 지역혁신클러스터육성(비R&D) 기업지원사업 모집 공고,전남광주통합특별시,0.5,blocked_context,수수료/인증/교육/컨설팅/비현금 문맥,recommend_only,pending,True,manual_representative_recoverable,False,False,0,5,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123504
PBLN_000000000117038,[충북] 2026년 소상공인 육성자금 지원계획 공고,충청북도,,no_support_ratio,support_ratio 없음,exclude,not_required,False,,False,False,0,3,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117038
SMARTFACTORY:2026-N-0069:1,[경기] 2026년 제조DX멘토단 활용지원사업(구축지도) 도입기업 모집 공고,스마트공장 사업관리시스템,0.85,blocked_context,수수료/인증/교육/컨설팅/비현금 문맥; 자부담/총사업비/총규모/매출 문맥,recommend_only,not_required,False,,True,True,4,4,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0069&pbancSn=1
PBLN_000000000122346,[인천] 2026년 원도심ㆍ지역상권 활성화를 위한 상권 활성화 특례보증 지원사업 공고,인천광역시,0.015,blocked_context,금융/융자/보증/이차보전 문맥,exclude,not_required,False,,False,False,1,3,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122346
PBLN_000000000123659,[경북] 2026년 3차 지역기업 성장사다리 지원사업 통합 추가 공고,중소벤처기업부,,no_support_ratio,support_ratio 없음,subtract,reviewed,False,keep_old_amount,False,True,0,4,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123659
PBLN_000000000117067,[세종] 2026년 사회적경제 조직 금융(이차보전) 지원계획 공고,세종특별자치시,,no_support_ratio,support_ratio 없음,exclude,not_required,False,,False,False,0,2,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117067
PBLN_000000000117071,[부산] 사상구 2026년 소상공인 보증료 지원사업 대상자 모집 공고,부산광역시,,no_support_ratio,support_ratio 없음,exclude,not_required,False,,False,False,0,1,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117071
PBLN_000000000123156,2026년 2차 관세피해업종 이차보전지원 사업 공고,산업통상부,0.02,blocked_context,금융/융자/보증/이차보전 문맥,review,not_required,False,,False,False,2,6,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123156
PBLN_000000000122589,2026년 제조산업 공정작업용 로봇 엔드이펙터 실증 기반 구축 사업 지원 기업 모집 공고,산업통상부,,no_support_ratio,support_ratio 없음,ratio_cap,not_required,False,,False,False,0,0,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122589
PBLN_000000000117074,[경기] 부천시 2026년 중소기업특례보증 지원 계획 공고,경기도,,no_support_ratio,support_ratio 없음,exclude,not_required,False,,False,False,0,1,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117074
PBLN_000000000119272,2026년 유니버설디자인리빙랩 제품 사용성조사 장비 공동활용 지원안내 공고 ,인천광역시,,no_support_ratio,support_ratio 없음,recommend_only,not_required,False,,False,False,0,0,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119272
PBLN_000000000123417,[경북] 영천시 2026년 2차 중소기업 고부가가치 전환육성 지원사업 공고,경상북도,1.0,blocked_context,수수료/인증/교육/컨설팅/비현금 문맥; 자부담/총사업비/총규모/매출 문맥,subtract,pending,True,manual_representative_recoverable,False,True,3,3,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123417
PBLN_000000000117094,[충남] 2026년 소상공인자금 융자 지원계획 공고,충청남도,0.015,blocked_context,금융/융자/보증/이차보전 문맥,exclude,not_required,False,,False,False,1,2,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117094
PBLN_000000000117075,[경기] 부천시 2026년 특례보증 지원 계획 공고,경기도,,no_support_ratio,support_ratio 없음,exclude,not_required,False,,False,False,0,1,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117075
PBLN_000000000117085,2026년 시니어인턴십 사업 참여 기업 모집 공고,보건복지부,,no_support_ratio,support_ratio 없음,subtract,not_required,False,,False,False,0,2,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117085
PBLN_000000000117096,[대전] 서구 2026년 소상공인 경영안정자금 지원사업 공고,대전광역시,0.03,blocked_context,금융/융자/보증/이차보전 문맥,exclude,not_required,False,,False,False,1,3,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117096
PBLN_000000000117095,[충남] 2026년 사회적경제기금 융자지원 계획 공고,충청남도,,no_support_ratio,support_ratio 없음,exclude,not_required,False,,False,False,0,1,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117095
PBLN_000000000123466,2026년 지능형 반도체 개발ㆍ실증지원 고신뢰 반도체 상용화를 위한 검증ㆍ확인 지원사업 기업 지원 프로그램 통합 공고,산업통상부,1.0,blocked_context,수수료/인증/교육/컨설팅/비현금 문맥,recommend_only,pending,True,mixed_manual_review,False,True,0,4,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123466
TECHNOPARK:1752,[서천군] 2026년 시군구연고산업육성 협업프로젝트(서천군 해양바이오 인큐베이팅 사업) 3차 수혜기업 모집 공고 기간 연장 안내,충남테크노파크,,no_support_ratio,support_ratio 없음,recommend_only,not_required,False,,True,True,0,13,https://www.ctp.or.kr/business/datadetail.do?seq=2709311
PBLN_000000000117103,[대전] 유성구 2026년 소상공인 특례보증 지원사업 공고,대전광역시,,no_support_ratio,support_ratio 없음,exclude,not_required,False,,False,False,0,2,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117103
PBLN_000000000117056,[경기] 부천시 2026년 내일채움공제 지원 계획 공고,경기도,,no_support_ratio,support_ratio 없음,subtract,pending,True,manual_representative_recoverable,False,True,0,2,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117056
PBLN_000000000117109,[경기] 2026년 사회적경제조직 특별융자 사업 공고,경기도,,no_support_ratio,support_ratio 없음,exclude,not_required,False,,False,False,0,3,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117109
SMARTFACTORY:2026-N-0107:1,2026년 경남 산업안전AI 스마트공장 구축 지원사업 공고,스마트공장 사업관리시스템,0.35,already_confirmed_amount,확정 대표금액 차감 우선,subtract,not_required,False,,True,True,1,5,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0107&pbancSn=1
PBLN_000000000117111,[서울] 2026년 중소기업육성자금 융자지원 계획 공고,서울특별시,,no_support_ratio,support_ratio 없음,subtract,not_required,False,,False,False,0,11,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117111
PBLN_000000000117127,2026년 관광진흥개발기금 신용보증부 운영자금 특별융자 지원 지침 공고,문화체육관광부,,no_support_ratio,support_ratio 없음,exclude,not_required,False,,False,False,0,1,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117127
PBLN_000000000123745,2026년 4차 예술산업보증 7월 공고,문화체육관광부,0.3,blocked_context,금융/융자/보증/이차보전 문맥; 수수료/인증/교육/컨설팅/비현금 문맥,exclude,pending,True,mixed_manual_review,False,True,0,2,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123745
SMARTFACTORY:2026-N-0005:1,2026년 스마트공장 수준확인 사업 공고,스마트공장 사업관리시스템,1.0,estimated_ratio_pending_review,"pending/review 필요, 단 직접지원 문맥 있음",recommend_only,pending,True,mixed_manual_review,False,False,1,6,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0005&pbancSn=1
PBLN_000000000117130,2026년 상반기 관광진흥개발기금 이차보전 지원 지침 공고,문화체육관광부,0.5,blocked_context,금융/융자/보증/이차보전 문맥; 수수료/인증/교육/컨설팅/비현금 문맥,exclude,not_required,False,,False,False,2,2,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117130
PBLN_000000000122893,2026년 세종테크밸리 첨단기업 유치 임차료 지원사업 희망기업(임차기업) 모집 수정 공고,세종특별자치시,0.7,already_confirmed_amount,확정 대표금액 차감 우선,subtract,not_required,False,,True,True,1,7,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122893
PBLN_000000000120134,[전남광주] 2026년 평동산업단지 중소기업 보증료 지원사업 공고,전남광주통합특별시,0.3,blocked_context,금융/융자/보증/이차보전 문맥; 수수료/인증/교육/컨설팅/비현금 문맥,subtract,pending,True,finance_exclude_payload,False,True,2,3,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120134
PBLN_000000000119064,2026년 자동차용 반도체 기능안전ㆍ신뢰성 산업혁신기반구축사업 기업지원 모집 공고,산업통상부,,no_support_ratio,support_ratio 없음,recommend_only,not_required,False,,False,False,0,0,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119064
PBLN_000000000120591,조선ㆍ해양 배관 및 시운전 장비 공동활용 지원 사업 모집 공고(선박해양플랜트연구소 해양플랜트산업지원센터 구축 장비 공동 활용 사업),해양수산부,,no_support_ratio,support_ratio 없음,recommend_only,not_required,False,,False,False,0,0,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120591
SMARTFACTORY:2026-N-0102:1,2026년도 강원 지역특화형(바이오헬스·식품) 스마트공장 구축사업(고도화) 공고,스마트공장 사업관리시스템,0.5,already_confirmed_amount,확정 대표금액 차감 우선,subtract,not_required,False,,True,True,2,6,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0102&pbancSn=1
PBLN_000000000123527,[경북] 안동시 2026년 푸드테크 상용화모델 개발 및 실증사업 수혜기업 모집 공고,경상북도,1.0,already_confirmed_amount,확정 대표금액 차감 우선,subtract,not_required,False,,True,True,0,1,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123527
SMARTFACTORY:2026-N-0100:1,"2026년도 경북 지역특화형(고도화) 스마트공장 구축사업 공고(방산, 모빌리티)",스마트공장 사업관리시스템,0.5,already_confirmed_amount,확정 대표금액 차감 우선,subtract,not_required,False,,True,True,2,12,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0100&pbancSn=1
PBLN_000000000117145,[전남광주] 2026년 중소기업 육성자금(중소유통업 구조개선자금) 지원계획 공고,전남광주통합특별시,,no_support_ratio,support_ratio 없음,exclude,not_required,False,,False,False,0,2,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117145
TECHNOPARK:988,2026년 충청권 에너지기술공유대학 산학공동 에너지프로젝트 지원사업 2차 공고,충남테크노파크,,no_support_ratio,support_ratio 없음,subtract,not_required,False,,True,True,0,4,https://www.ctp.or.kr/business/datadetail.do?seq=2709267
PBLN_000000000122357,[충북] 2026년 중소기업 경영애로 전문가 컨설팅서비스 참여기업 모집 공고,충청북도,,no_support_ratio,support_ratio 없음,recommend_only,not_required,False,,False,False,0,1,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122357
PBLN_000000000117146,[전남광주] 2026년 중소기업 육성자금(중소기업 경영안정자금) 지원계획 공고,전남광주통합특별시,,no_support_ratio,support_ratio 없음,exclude,not_required,False,,False,False,0,4,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117146
PBLN_000000000117147,[전남광주] 2026년 중소기업 육성자금(건설업 (특별)경영안정자금) 지원계획 공고,전남광주통합특별시,,no_support_ratio,support_ratio 없음,exclude,not_required,False,,False,False,0,1,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117147
PBLN_000000000123639,[전남광주] 2026년 3차 창업기업 우수인력 인건비 지원사업 수혜기업 모집 공고,전남광주통합특별시,0.7,estimated_ratio_ok,지원비율 직접 적용 가능 문맥,subtract,not_required,False,,True,False,1,2,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123639
PBLN_000000000123719,2026년 3차 품질보증조달물품 지정계획 공고,조달청,,no_support_ratio,support_ratio 없음,recommend_only,not_required,False,,False,False,0,0,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123719
PBLN_000000000121191,2026년 산업 분야 온실가스 국제감축사업 공고,산업통상부,0.5,estimated_ratio_pending_weak,"pending/review 필요, 직접지원 문맥 약함",subtract,pending,True,manual_representative_recoverable,True,True,2,2,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121191
PBLN_000000000123651,[부산] 2026년 수리조선산업 맞춤형 지원사업 추가모집 공고(스마트수리조선지원센터 관리운영 사업),부산광역시,0.9,already_confirmed_amount,확정 대표금액 차감 우선,subtract,not_required,False,,True,True,2,3,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123651
PBLN_000000000117149,[전남광주] 2026년 중소기업 육성자금(사회적경제 (특별)경영안정자금) 지원계획 공고,전남광주통합특별시,,no_support_ratio,support_ratio 없음,exclude,not_required,False,,False,False,0,3,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117149
PBLN_000000000123023,[경남] 2026년 사이버 위기대응 모의훈련 및 보안점검 수요기업 모집 공고(지역 정보보호 지원센터),경상남도,1.0,already_confirmed_amount,확정 대표금액 차감 우선,subtract,not_required,False,,True,True,0,5,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123023
PBLN_000000000117150,[인천] 서구 2026년 청년기업 인증 신청 공고,인천광역시,,no_support_ratio,support_ratio 없음,recommend_only,not_required,False,,False,False,0,6,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117150
SMARTFACTORY:2025-N-0203:2,2026년도 자율형공장 구축 지원사업(단독신청),스마트공장 사업관리시스템,0.5,already_confirmed_ratio,기존 ratio_cap 확정,ratio_cap,not_required,False,,True,True,4,27,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2025-N-0203&pbancSn=2
PBLN_000000000117154,[경북] 2026년 산불피해기업 재해시설자금 이차보전 지원 계획 공고,경상북도,0.03,blocked_context,금융/융자/보증/이차보전 문맥,recommend_only,not_required,False,,False,False,1,1,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117154
PBLN_000000000123392,[부산] 2026년 2차 지산학 기술도입 지원사업 참여기업 모집 공고(지산학 연결중개 촉진 지원사업),부산광역시,0.5,already_confirmed_amount,확정 대표금액 차감 우선,subtract,not_required,False,,True,True,1,2,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123392
TECHNOPARK:1794,2026년도 인천광역시 중소기업 디자인개발지원사업 (하반기 일반기업 지원분야) 과제 모집,인천테크노파크,0.8,already_confirmed_amount,확정 대표금액 차감 우선,subtract,not_required,False,,True,True,1,2,https://itp.or.kr/intro.asp?tmid=13&seq=10879
SMARTFACTORY:2026-N-0099:1,[포항] 2026년 제조DX멘토단 활용지원(구축지도) 도입기업 모집공고,스마트공장 사업관리시스템,0.85,blocked_context,수수료/인증/교육/컨설팅/비현금 문맥; 자부담/총사업비/총규모/매출 문맥,recommend_only,not_required,False,,True,True,4,4,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0099&pbancSn=1
PBLN_000000000120113,중소기업 전파 공동엔지니어링랩 운영지원 사업 공고,과학기술정보통신부,,no_support_ratio,support_ratio 없음,ratio_cap,not_required,False,,False,False,0,0,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120113
PBLN_000000000117158,[경북] 2026년 벤처기업 육성자금 운용계획 공고,경상북도,,no_support_ratio,support_ratio 없음,recommend_only,not_required,False,,False,False,0,3,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117158
