policy_id,title,organization,stage1_category,stage1_status,stage2_category,stage2_reason,candidate_count,direct_cash_candidate_count,selected_amount_manwon,selected_amount_type,selected_context,direct_candidate_summary,url
SMARTFACTORY:2026-N-0090:3,2026년 경북형 스마트공장(기초단계) 구축지원 사업 2차모집_(동일수준),스마트공장 사업관리시스템,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,0,0,,,,,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0090&pbancSn=3
SMARTFACTORY:2026-N-0121:1,2026년「푸드테크 스마트 제조 기반 구축」사업 공고(기초)_4차 재공고,스마트공장 사업관리시스템,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,0,0,,,,,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0121&pbancSn=1
TECHNOPARK:1724,「2026년 예비수소전문기업지원사업」수소산업분야 기술사업화(비R&D) 수혜기업 모집공고,충남테크노파크,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,0,0,,,,,https://www.ctp.or.kr/business/datadetail.do?seq=2709304
PBLN_000000000121426,[대구] 2026년 BIT융합캠퍼스(의료ㆍ헬스ㆍ바이오) 지원사업 기업 모집 공고,대구광역시,manual_representative_recoverable,pending,auto_adopt_marked_selected,후보 JSON 안에 선택 후보가 1개로 표시되어 자동 채택 가능,3,1,7500.0,support_amount,선정기업의 프로젝트랩(컨소시움) 연구개발비 지원,7500.0만원/support_amount/선정기업의 프로젝트랩(컨소시움) 연구개발비 지원,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121426
TECHNOPARK:1747,"충남지자체 지식재산창출지원사업 수혜기업모집 공고(상시, 마감시까지)",충남테크노파크,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,0,0,,,,,https://www.ctp.or.kr/business/datadetail.do?seq=2709310
TECHNOPARK:434,「해양수산자원 산업화 육성 지원(바이오)」수혜기업 모집(2차) 공고,충남테크노파크,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,0,0,,,,,https://www.ctp.or.kr/business/datadetail.do?seq=2709157
PBLN_000000000123267,2026년 제5차 바이오ㆍ의료기술개발 사업 신규과제 공고,과학기술정보통신부,manual_representative_recoverable,pending,auto_adopt_marked_selected,후보 JSON 안에 선택 후보가 1개로 표시되어 자동 채택 가능,1,1,2000000.0,support_amount,"정부지원금 백만원21,200","2000000.0만원/support_amount/정부지원금 백만원21,200",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123267
TECHNOPARK:986,(2026-124호) 2026 강원 미래모빌리티 기업지원 프로그램 통합 공고,강원테크노파크,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,0,0,,,,,https://www.gwtp.or.kr/gwtp/bbsNew_view.php?bbs_data=aWR4PTMxMjYmc3RhcnRQYWdlPSZsaXN0Tm89JnRhYmxlPWNzX2Jic19kYXRhX25ldyZjb2RlPXN1YjAxYiZzZWFyY2hfaXRlbT0mc2VhcmNoX29yZGVyPSZ1cmw9c3ViMDFiJmtleXZhbHVlPXN1YjAxJmJic19tYWxuYW1lPQ==||
PBLN_000000000117992,2026년 나눔장비 이전지원사업 모집 공고,과학기술정보통신부,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,1,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117992
PBLN_000000000123377,[전남광주] 첨단로봇ㆍAI 활용 중소기업 제조혁신 사업 기업지원(기획 컨설팅) 모집 공고,전남광주통합특별시,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,1,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123377
PBLN_000000000119201,2026년 중소기업 연구인력 현장맞춤형 양성지원 사업 시행계획 공고,중소벤처기업부,manual_representative_recoverable,pending,auto_adopt_marked_selected,후보 JSON 안에 선택 후보가 1개로 표시되어 자동 채택 가능,1,1,1720.0,support_amount,"연구개발비 기업당 최대 1,720만원/년 지원","1720.0만원/support_amount/연구개발비 기업당 최대 1,720만원/년 지원",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119201
PBLN_000000000119010,[인천] 2026년 연구장비 공동활용 지원사업 모집 공고,인천광역시,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,1,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119010
PBLN_000000000117563,2026년 중소기업 매출채권팩토링 지원계획 공고,중소벤처기업부,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,1,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117563
PBLN_000000000119733,[울산] 울주군 2026년 강소기업 육성 기술 혁신 지원사업 시행 공고,울산광역시,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,4,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119733
PBLN_000000000117942,[경남] 창원시 2026년 지식재산진흥 지원사업 기업 모집 공고,경상남도,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,1,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117942
PBLN_000000000123662,[전북] 2026년 게임기업 컨설팅 지원사업 신청 게임기업(예비창업자) 모집 공고,전북특별자치도,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,1,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123662
PBLN_000000000120866,2026년 부산형 SiC 전력반도체 연구플랫폼 활성화 지원사업 기업지원 모집 공고,부산광역시,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,6,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120866
PBLN_000000000121784,[경기] 2026년 로봇직업교육센터 취업 연계 지원사업 참여기업 모집 공고,경기도,manual_representative_recoverable,pending,auto_adopt_marked_selected,후보 JSON 안에 선택 후보가 1개로 표시되어 자동 채택 가능,2,1,210.0,support_amount,"참여기업당 최대 3명 인건비 지원 - 1인당 인건비(인턴) 2,100천원/월 지원","210.0만원/support_amount/참여기업당 최대 3명 인건비 지원 - 1인당 인건비(인턴) 2,100천원/월 지원",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121784
TECHNOPARK:1857,미래차 산업전환 공정기술 고도화 수혜기업 모집 공고(3차),경남테크노파크,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,0,0,,,,,http://www.gntp.or.kr/biz/applyInfo/3791
PBLN_000000000119212,[제주] 2026년 청정임산물 생산기반 지원사업 재공고,제주특별자치도,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,1,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119212
PBLN_000000000120498,[경기] 화성시 2026년 GAP 안정성 분석 지원사업 신청 공고,경기도,manual_representative_recoverable,pending,auto_adopt_marked_selected,후보 JSON 안에 선택 후보가 1개로 표시되어 자동 채택 가능,2,1,24.4,support_amount,"지원한도·토양용수 분석:지원한도액 244천원/점(토양117,용수127)","24.4만원/support_amount/지원한도·토양용수 분석:지원한도액 244천원/점(토양117,용수127)",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120498
PBLN_000000000122726,[강원] 2026년 바이오기업 성장 촉진 및 고용 활성화 지원기업 상시 모집 공고(지역산업맞춤형 일자리창출 지원사업),강원특별자치도,manual_representative_recoverable,pending,auto_adopt_marked_selected,후보 JSON 안에 선택 후보가 1개로 표시되어 자동 채택 가능,9,2,700.0,support_amount,"규격인증 획득에 필요한 사전 절차 및 신청 서류 작성을 위한 시험 및 분석, 검증, 컨설팅 비용 지원","700.0만원/support_amount/규격인증 획득에 필요한 사전 절차 및 신청 서류 작성을 위한 시험 및 분석, 검증, 컨설팅 비용 지원 || 40.0만원/support_amount/신규채용자 초기 정주기반 지원400천원 x 6개월, 30명",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122726
PBLN_000000000117454,[강원] 2026년 글로벌 IP 스타기업 육성 해외OA비용 지원사업 공고,강원특별자치도,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,0,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117454
PBLN_000000000120845,2026년 하반기 중소기업기술혁신개발사업 유망기술개발(구조혁신R&D) 시행계획 공고,중소벤처기업부,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,0,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120845
PBLN_000000000123148,2026년 2차 조선해양산업기술개발사업 신규지원 대상과제 공고,산업통상부,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,1,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123148
TECHNOPARK:1348,(2026-127호) 2026년 강원지역연구장비 서비스 활성화 지원사업 참여기관 모집 공고,강원테크노파크,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,0,0,,,,,https://www.gwtp.or.kr/gwtp/bbsNew_view.php?bbs_data=aWR4PTMxNTMmc3RhcnRQYWdlPSZsaXN0Tm89JnRhYmxlPWNzX2Jic19kYXRhX25ldyZjb2RlPXN1YjAxYiZzZWFyY2hfaXRlbT0mc2VhcmNoX29yZGVyPSZ1cmw9c3ViMDFiJmtleXZhbHVlPXN1YjAxJmJic19tYWxuYW1lPQ==||
PBLN_000000000123398,[경북] 2026년 4차산업혁명 핵심기술개발사업(혁신기술R&D) 지원사업 공고,경상북도,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,0,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123398
PBLN_000000000123416,[경북] 영천시 2026년 2차 중소기업 혁신기술개발 지원사업 공고,경상북도,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,3,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123416
PBLN_000000000123419,2026년 소공인 클린제조환경조성사업 추가 모집 공고,중소벤처기업부,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,3,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123419
PBLN_000000000123447,[전북] 2026년 특화역량 BI 지원사업 AI-R&D 부스팅 프로그램 참여기업 모집 공고,중소벤처기업부,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,0,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123447
PBLN_000000000121411,[울산] 울주군 2026년 강소기업 육성 기술 혁신 지원사업 추가모집 공고,울산광역시,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,0,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121411
TECHNOPARK:1343,2026년 충남 디스플레이 특화단지 R&D 컨설팅 지원 수혜기업 모집,충남테크노파크,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,0,0,,,,,https://www.ctp.or.kr/business/datadetail.do?seq=2709286
PBLN_000000000123192,[경북] 영주시 2026년 3차 지식재산 긴급지원 사업 모집 공고,경상북도,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,5,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123192
TECHNOPARK:957,(2026-119호) 2026년 강원지역연구장비 활용 수수료 지원사업 참여기업(1차) 모집 공고,강원테크노파크,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,0,0,,,,,https://www.gwtp.or.kr/gwtp/bbsNew_view.php?bbs_data=aWR4PTMxMTQmc3RhcnRQYWdlPSZsaXN0Tm89JnRhYmxlPWNzX2Jic19kYXRhX25ldyZjb2RlPXN1YjAxYiZzZWFyY2hfaXRlbT0mc2VhcmNoX29yZGVyPSZ1cmw9c3ViMDFiJmtleXZhbHVlPXN1YjAxJmJic19tYWxuYW1lPQ==||
PBLN_000000000123381,[강원] 2026년 2차 지역주력산업육성(지역특화 프로젝트 레전드 50+) 지원모집 공고(강원 2.0 퀀텀점프),중소벤처기업부,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,0,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123381
TECHNOPARK:1873,「충남 지역혁신클러스터육성(비R&D)사업」사업화 지원 수혜기업 모집 공고(2차),충남테크노파크,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,0,0,,,,,https://www.ctp.or.kr/business/datadetail.do?seq=2709316
SMARTFACTORY:2025-N-0202:2,2026년 디지털협업공장 구축 지원사업 컨소시엄 모집공고,스마트공장 사업관리시스템,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,0,0,,,,,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2025-N-0202&pbancSn=2
PBLN_000000000123399,[경북] 2026년 소공인 클린제조환경조성 사업 모집 공고,경상북도,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,0,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123399
SMARTFACTORY:2025-N-0210:1,2026년도 지역특화 프로젝트「레전드50+」연계 스마트공장 구축 지원사업 공고,스마트공장 사업관리시스템,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,0,0,,,,,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2025-N-0210&pbancSn=1
TECHNOPARK:1725,「2026년 지역 거점 정보보호 클러스터 구축 사업」정보보호 비즈니스 모델 발굴 및 유망기업 지원 모집공고 재공고(2차),충남테크노파크,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,0,0,,,,,https://www.ctp.or.kr/business/datadetail.do?seq=2709305
TECHNOPARK:1769,[2026-056호] 2026년 정보보호 기업육성(사업화 / 창업·벤처 육성)) 지원사업 모집공고,세종테크노파크,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,0,0,,,,,https://www.sjtp.or.kr/bbs/board.php?bo_table=business01&wr_id=1981
