policy_id,title,organization,no_upload_group,no_upload_reason,recommended_action,old_amount_manwon,old_amount_actual,candidate_count,url
PBLN_000000000123261,[인천] 2026년 우수디자인 시제품개발지원사업 모집 공고,인천광역시,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,290.0,최대 290만원,11,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123261
PBLN_000000000123371,[경남] 사천시ㆍ진주시 2026년 2차 우주ㆍ항공 제조기업 대상 DX 기반 품질ㆍ공정 개선 및 생산성 향상을 위한 무료 컨설팅 및 전문인력양성 지원사업 공고,산업통상부,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,1500.0,"최대 1,500만원",9,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123371
PBLN_000000000123421,"2026년 중소기업기술혁신개발사업 글로벌선도기술개발(함께달리기, 이어달리기) 시행계획 공고",중소벤처기업부,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,100000.0,최대 10억원,30,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123421
PBLN_000000000123459,[경북] 2026년 4차 푸드테크 스마트 제조 기반 구축 사업 재공고,경상북도,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,4500.0,"최대 4,500만원",13,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123459
PBLN_000000000123468,2026년 에너지신산업 개방형 혁신생태계 OpenLAB 조성사업 기업지원사업 수혜기업모집 공고,산업통상부,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,8700.0,"최대 8,700만원",17,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123468
PBLN_000000000123512,[경북] 2026년 지역 연계 미드폼 제작지원 사업 공고(경북콘텐츠코리아랩 운영사업),경상북도,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,1000.0,"최대 1,000만원",13,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123512
PBLN_000000000123520,[제주] 2026년 2차 지역기업 성장사다리 지원사업 공고,중소벤처기업부,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,5000.0,"최대 5,000만원",7,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123520
PBLN_000000000123549,[경기] 용인시 제2차 반도체기업 기술보호 지원사업 모집 공고,경기도,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,2000.0,"최대 2,000만원",5,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123549
PBLN_000000000123622,[전북] 2026년 전주1인창조기업지원센터 선택형 지원사업 공고,전북특별자치도,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,400.0,최대 400만원,17,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123622
PBLN_000000000123644,[전북] 2026년 3차 데이터 활용기업 맞춤형 지원사업 수요기업 모집 연장 공고,전북특별자치도,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,600.0,최대 600만원,27,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123644
PBLN_000000000123659,[경북] 2026년 3차 지역기업 성장사다리 지원사업 통합 추가 공고,중소벤처기업부,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,4500.0,"최대 4,500만원",9,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123659
PBLN_000000000123764,AI융합 의료기기 신뢰성 강화 및 성능 평가ㆍ실증 사업 수혜기업 모집 공고,산업통상부,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,2280.0,"최대 2,280만원",6,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123764
PBLN_000000000123782,[충남] 2026년 콘텐츠코리아랩 미드폼 영상콘텐츠 제작 지원사업 모집 공고,충청남도,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,17500.0,최대 1.8억원,19,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123782
SMARTFACTORY:2025-N-0203:1,2026년도 자율형공장 구축 지원사업(컨소시엄신청),스마트공장 사업관리시스템,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,2000.0,최대 50% 지원,28,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2025-N-0203&pbancSn=1
SMARTFACTORY:2026-N-0105:1,2026년도 강원 지역특화형(바이오헬스·식품) 스마트공장 구축사업(동일수준) 공고,스마트공장 사업관리시스템,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,25000.0,최대 2.5억원,15,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0105&pbancSn=1
TECHNOPARK:1500,"(2026-130호) 2026년도 지역주력산업육성(지역특화 프로젝트 레전드 50+) 지원모집 2차 공고 (강원 2.0, 퀀텀점프)",강원테크노파크,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,1000.0,"10,000천원",12,https://www.gwtp.or.kr/gwtp/bbsNew_view.php?bbs_data=aWR4PTMxNjgmc3RhcnRQYWdlPSZsaXN0Tm89JnRhYmxlPWNzX2Jic19kYXRhX25ldyZjb2RlPXN1YjAxYiZzZWFyY2hfaXRlbT0mc2VhcmNoX29yZGVyPSZ1cmw9c3ViMDFiJmtleXZhbHVlPXN1YjAxJmJic19tYWxuYW1lPQ==||
TECHNOPARK:793,[강원테크노파크 공고 제 2026-101호] 2026년도 강원 지역특화형(바이오헬스·식품) 스마트공장 구축사업 공고,강원테크노파크,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,25000.0,최대 2.5억원,22,https://www.gwtp.or.kr/gwtp/bbsNew_view.php?bbs_data=aWR4PTMwNjYmc3RhcnRQYWdlPSZsaXN0Tm89JnRhYmxlPWNzX2Jic19kYXRhX25ldyZjb2RlPXN1YjAxYiZzZWFyY2hfaXRlbT0mc2VhcmNoX29yZGVyPSZ1cmw9c3ViMDFiJmtleXZhbHVlPXN1YjAxJmJic19tYWxuYW1lPQ==||
TECHNOPARK:872,2026년 충남 정보보호 우수사례 지원사업 수혜기업 모집,충남테크노파크,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,750.0,최대 750만원,7,https://www.ctp.or.kr/business/datadetail.do?seq=2709231
PBLN_000000000116853,2026년 기업훈련 탄력운영제 참여기업 모집 공고,고용노동부,selected_candidate_missing,대표금액 제외 타입이 혼합되어 정책 판단이 필요합니다.,exclude_or_policy_decision,1820000.0,최대 182억원,2,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000116853
PBLN_000000000117291,2026년 한국식품산업클러스터진흥원 기업지원시설ㆍ장비 활용 지원사업 공고,농림축산식품부,selected_candidate_missing,대표금액 제외 타입이 혼합되어 정책 판단이 필요합니다.,exclude_or_policy_decision,25000.0,최대 2.5억원,3,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117291
PBLN_000000000117481,전북바이오융합교육센터 재직자 교육 훈련생ㆍ기업 모집 공고(국가인적자원개발컨소시엄),전북특별자치도,selected_candidate_missing,대표금액 제외 타입이 혼합되어 정책 판단이 필요합니다.,exclude_or_policy_decision,100.0,최대 100만원,2,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117481
PBLN_000000000117654,[강원] 2026년 중소ㆍ벤처기업 투자이음 강화 프로그램 참여기업 연중 상시접수 공고(강원 벤처투자 생태계 조성사업),강원특별자치도,selected_candidate_missing,Gemini 검수 결과 대표금액 없음,no_representative_amount,650000.0,최대 65억원,3,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117654
PBLN_000000000117794,[경북] 2026년 중소기업 정부기술개발공모사업 선정지원 참여기업 모집 공고,경상북도,selected_candidate_missing,Gemini 검수 결과 대표금액 없음,no_representative_amount,150.0,최대 150만원,12,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117794
PBLN_000000000118006,2026년 스마트공장 수준확인 사업 공고,중소벤처기업부,selected_candidate_missing,대표금액 제외 타입이 혼합되어 정책 판단이 필요합니다.,exclude_or_policy_decision,200000.0,최대 20억원,2,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118006
PBLN_000000000118047,[충북] 청주시 2026년 도시근로자 지원사업 참여기업 모집 공고,충청북도,selected_candidate_missing,Gemini 검수 결과 대표금액 없음,no_representative_amount,20.0,최대 20만원,2,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118047
PBLN_000000000118049,2026년 중소벤처기업부 외국전문인력(E-7-1) 고용추천 공고,중소벤처기업부,selected_candidate_missing,Gemini 검수 결과 대표금액 없음,no_representative_amount,2897.0,"최대 2,897만원",1,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118049
PBLN_000000000118318,2026년 소스개발 및 생산지원 사업 공고,농림축산식품부,selected_candidate_missing,대표금액 제외 타입이 혼합되어 정책 판단이 필요합니다.,exclude_or_policy_decision,3000.0,"최대 3,000만원",6,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118318
PBLN_000000000118927,[강원] 2026년 직장문화ㆍ환경개선지원사업 참여기업 모집 공고,강원특별자치도,selected_candidate_missing,Gemini 검수 결과 대표금액 없음,no_representative_amount,500.0,최대 500만원,5,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118927
PBLN_000000000119093,[인천] 2026년 파브(PAV) 부품 시험ㆍ인증 지원사업 참여기업 모집 공고,인천광역시,selected_candidate_missing,대표금액 제외 타입이 혼합되어 정책 판단이 필요합니다.,exclude_or_policy_decision,8000.0,"최대 8,000만원",2,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119093
PBLN_000000000119457,[경기] 평택시 2026년 장비 활용 지원사업 기업 모집 공고,경기도,selected_candidate_missing,Gemini 검수 결과 대표금액 없음,no_representative_amount,80.0,최대 80만원,4,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119457
PBLN_000000000119518,[전북] 2026년 에너지산업융복합단지 공동연구장비 활용 및 컨설팅 지원 수혜기업 모집 공고,전북특별자치도,non_cash_only,비현금/수수료/인증성 후보만 있어 ROI 직접 차감 제외 후보입니다.,recommend_only_or_exclude,250.0,최대 250만원,5,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119518
PBLN_000000000119727,[부산] 2026년 중소기업 빅데이터 분석 활용 지원사업 참가기업 모집 공고,부산광역시,non_cash_only,비현금/수수료/인증성 후보만 있어 ROI 직접 차감 제외 후보입니다.,recommend_only_or_exclude,500.0,최대 500만원,1,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119727
PBLN_000000000119764,2026년 중소기업 기술혁신 지원사업(KOSBIR) 통합 공고,중소벤처기업부,selected_candidate_missing,Gemini 검수 결과 대표금액 없음,no_representative_amount,90000.0,최대 9억원,32,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119764
PBLN_000000000119851,[경북] 안동시 2026년 로케이션 제작지원 사업 공고,경상북도,selected_candidate_missing,Gemini 검수 결과 대표금액 없음,no_representative_amount,100000.0,최대 10억원,7,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119851
PBLN_000000000119852,[경북] 2026년 로케이션 제작지원 사업 공고,경상북도,selected_candidate_missing,Gemini 검수 결과 대표금액 없음,no_representative_amount,100000.0,최대 10억원,7,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119852
PBLN_000000000119881,[제주] 2026년 어업활동지원 사업 대상자 모집 공고,제주특별자치도,selected_candidate_missing,대표금액 제외 타입이 혼합되어 정책 판단이 필요합니다.,exclude_or_policy_decision,1440.0,"최대 1,440만원",2,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119881
PBLN_000000000119978,[경북] 2026년 OK FTA 컨설팅 지원사업 모집 공고(경북FTA통상진흥센터),경상북도,selected_candidate_missing,Gemini 검수 결과 대표금액 없음,no_representative_amount,15000000.0,최대 1500억원,5,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119978
PBLN_000000000120006,[서울] 2026년 노동환경개선컨설팅 사업 대상 모집 공고,서울특별시,selected_candidate_missing,Gemini 검수 결과 대표금액 없음,no_representative_amount,100000.0,최대 10억원,2,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120006
PBLN_000000000120170,2026년 중소기업 기술분쟁 소송보험 지원사업 공고,중소벤처기업부,selected_candidate_missing,Gemini 검수 결과 대표금액 없음,no_representative_amount,5000.0,"최대 5,000만원",17,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120170
PBLN_000000000120201,[경기] 포천시 2026년 신소재개발 프로그램 지원사업 모집 공고,경기도,selected_candidate_missing,Gemini 검수 결과 대표금액 없음,no_representative_amount,73.0,최대 73만원,1,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120201
PBLN_000000000120342,2026년 기업승계 M&A 활성화를 위한 컨설팅 지원사업 시행계획 공고,중소벤처기업부,selected_candidate_missing,대표금액 제외 타입이 혼합되어 정책 판단이 필요합니다.,exclude_or_policy_decision,700.0,최대 700만원,16,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120342
PBLN_000000000120495,[강원] 2026년 수요기술 발굴 및 기술멘토링 지원사업 참여기업 모집 공고(전기차 충돌 후 배터리 핵심부품 안전성 확보 지원사업),강원특별자치도,selected_candidate_missing,대표금액 제외 타입이 혼합되어 정책 판단이 필요합니다.,exclude_or_policy_decision,0.0,최대 0만원,1,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120495
PBLN_000000000120527,2026년 스마트 전자약 종합지원센터 인허가 지원 기업 상시 모집 공고,보건복지부,selected_candidate_missing,대표금액 제외 타입이 혼합되어 정책 판단이 필요합니다.,exclude_or_policy_decision,,지원금 확인 필요,1,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120527
PBLN_000000000121038,2026년 IoT 보안인증 인증시험 수수료 지원 공고,과학기술정보통신부,selected_candidate_missing,Gemini 검수 결과 대표금액 없음,no_representative_amount,1600.0,최대 80% 지원,3,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121038
PBLN_000000000121415,[경남] 2026년 경남형 제조 AX 고도화 패스트트랙 지원사업 도입기업 모집 공고,경상남도,selected_candidate_missing,Gemini 검수 결과 대표금액 없음,no_representative_amount,30000.0,최대 3억원,10,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121415
PBLN_000000000121614,[전남광주] 2026년 스마트공장 지원계획 공고,중소벤처기업부,selected_candidate_missing,Gemini 검수 결과 대표금액 없음,no_representative_amount,80000.0,최대 8억원,12,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121614
PBLN_000000000121777,[울산] 2026년 소상공인 산재보험료 지원사업 공고,울산광역시,selected_candidate_missing,Gemini 검수 결과 대표금액 없음,no_representative_amount,,최대 80% 지원,2,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121777
PBLN_000000000121849,전기차 차체ㆍ섀시 충돌안전 기업지원 연장 공고(xEV 보호차체 충돌안전 기업지원사업),경상북도,selected_candidate_missing,대표금액 제외 타입이 혼합되어 정책 판단이 필요합니다.,exclude_or_policy_decision,3000.0,"최대 3,000만원",3,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121849
PBLN_000000000121853,2026년 업종별 임금체계 개선 지원 사업 참여기업 모집 공고,고용노동부,non_cash_only,비현금/수수료/인증성 후보만 있어 ROI 직접 차감 제외 후보입니다.,recommend_only_or_exclude,8000.0,"최대 8,000만원",1,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121853
PBLN_000000000122045,2026년 연구조직(기업부설연구소 등) 설립 및 기술ㆍ경영혁신 인증 지원사업 참여기업 모집 공고,대구광역시,selected_candidate_missing,대표금액 제외 타입이 혼합되어 정책 판단이 필요합니다.,exclude_or_policy_decision,5000.0,지원금 확인 필요,4,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122045
PBLN_000000000122168,[경북] 경주시 2026년 소규모 사업장 방지시설 설치 지원사업 공고,경상북도,selected_candidate_missing,Gemini 검수 결과 대표금액 없음,no_representative_amount,,최대 80% 지원,4,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122168
PBLN_000000000122275,[대구] 2026년 2차 지역혁신 중심 대학지원체계(RISE) 사업 협업ㆍ지원대상 기업 모집 공고,교육부,selected_candidate_missing,Gemini 검수 결과 대표금액 없음,no_representative_amount,5500.0,,5,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122275
PBLN_000000000122640,[경북] 2026년 경북산업기술단지 거점기능강화사업 기술닥터제 활성화 지원사업 공고,중소벤처기업부,selected_candidate_missing,대표금액 제외 타입이 혼합되어 정책 판단이 필요합니다.,exclude_or_policy_decision,300000.0,최대 30억원,6,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122640
PBLN_000000000122644,[경북] 2026년 2차 미래자동차 사업재편 혁신성장 지원사업 공고,경상북도,selected_candidate_missing,Gemini 검수 결과 대표금액 없음,no_representative_amount,3200.0,"최대 3,200만원",3,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122644
PBLN_000000000122744,2026년 2차 GLP(세포독성) 시험평가인증 지원사업 공고(메카노바이오활성소재 혁신의료기기 실증 기반구축),산업통상부,non_cash_only,비현금/수수료/인증성 후보만 있어 ROI 직접 차감 제외 후보입니다.,recommend_only_or_exclude,,,2,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122744
PBLN_000000000122761,"2026년 2차 재생에너지R&D(태양광, 풍력) 신규지원대상 연구개발과제 공고",기후에너지환경부,selected_candidate_missing,Gemini 검수 결과 대표금액 없음,no_representative_amount,2050000.0,최대 205억원,3,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122761
