policy_id,title,organization,manual_group,action_hint,system_reason,old_amount_manwon,old_amount_actual,system_new_amount_manwon,system_new_amount_type,candidate_count,context,url,manual_review_decision,manual_amount_manwon,manual_amount_actual,manual_amount_type,manual_roi_apply_method,manual_support_ratio,manual_evidence,manual_note,reviewer,reviewed_at
PBLN_000000000120498,[경기] 화성시 2026년 GAP 안정성 분석 지원사업 신청 공고,경기도,hold_large_delta_or_selected,manual_review_required,월/명/건/연간 단위가 섞여 대표금액 환산 필요,19.0,최대 19만원,24.4,support_amount,8,토양용수 분석:지원한도액 244천원/점(토양117,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120498,,,,,,,,,,
PBLN_000000000120845,2026년 하반기 중소기업기술혁신개발사업 유망기술개발(구조혁신R&D) 시행계획 공고,중소벤처기업부,hold_large_delta_or_selected,manual_review_required,기존값/새값 중 대표금액 확정 불가,48000.0,,200000.0,support_amount,38,20 20 억 □ (지원조건) 연구개발비의 75% 이내 내역 사업 개발기간 및 지원한도 * 정부지원 연구개발비 비중 ** 지원분야 중소기업유망기술개발 (구조,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120845,,,,,,,,,,
PBLN_000000000120866,2026년 부산형 SiC 전력반도체 연구플랫폼 활성화 지원사업 기업지원 모집 공고,부산광역시,hold_large_delta_or_selected,manual_review_required,기존값/새값 중 대표금액 확정 불가,100.0,최대 100만원,2200.0,support_amount,23,"000천원일 경우 - 기업지원금 : 총 22,000천원(20",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120866,,,,,,,,,,
PBLN_000000000121348,2026년 한-체코ㆍ한-중국 에너지국제공동R&D 신규지원 대상과제 공고,기후에너지환경부,hold_large_delta_or_selected,adopt_new_or_confirm,기업/업체/과제 단위 한도 문맥이 있어 새 후보 채택 가능,75000.0,,37500.0,support_amount,13,5억원(과제당 3.75억원 내외) *국내 컨소시엄 연구개발기관 지원금에 해당 ▪개발형태 : 혁신제품형 ▪기 술 료 : 징수 ▪연구개발기간 : 36개월 이내 ▪주관연구개발,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121348,,,,,,,,,,
PBLN_000000000121397,[강원] 2026년 바이오기업 애로해소 인허가 컨설팅 지원기업 상시모집 공고,강원특별자치도,hold_large_delta_or_selected,manual_review_required,후보는 있으나 대표 후보가 선택되지 않아 수동 선택 필요,1000.0,"최대 1,000만원",,,11,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121397,,,,,,,,,,
PBLN_000000000122585,2026년 2차 미래차 전자제어부품 산업 고도화 기반구축 기업지원 수혜기업 모집 공고,산업통상부,hold_large_delta_or_selected,adopt_new_or_confirm,기업/업체/과제 단위 한도 문맥이 있어 새 후보 채택 가능,2000.0,,1500.0,support_amount,9,"기구부 개발 기술지원1건(건당 최대 1,500만원)~ 6",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122585,,,,,,,,,,
PBLN_000000000122726,[강원] 2026년 바이오기업 성장 촉진 및 고용 활성화 지원기업 상시 모집 공고(지역산업맞춤형 일자리창출 지원사업),강원특별자치도,hold_large_delta_or_selected,adopt_new_or_confirm,기업/업체/과제 단위 한도 문맥이 있어 새 후보 채택 가능,700.0,최대 700만원,40.0,support_amount,15,기업당 최대 6명 400천원x6개월 30명 내외 ․ 공고일 현재 ‘강원도’에 소재하고 있는 사업자로 강원도에 4대 사회보험을 납부하고 있어야 함 ․ 지원기간 내 과업수행,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122726,,,,,,,,,,
PBLN_000000000123147,2027년 식품소재 및 반가공산업 육성 사업자 선정계획 공고,농림축산식품부,hold_large_delta_or_selected,manual_review_required,후보는 있으나 대표 후보가 선택되지 않아 수동 선택 필요,153600.0,최대 15.4억원,,,9,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123147,,,,,,,,,,
PBLN_000000000123148,2026년 2차 조선해양산업기술개발사업 신규지원 대상과제 공고,산업통상부,hold_large_delta_or_selected,manual_review_required,기존값/새값 중 대표금액 확정 불가,100000.0,최대 10억원,2000000.0,support_amount,25,2~4차년도 : 각 12개월) ㅇ 정부지원연구개발비 : ’26년 20억원 이내 (총 정부지원연구개발비 200억원 이내) ㅇ 주관연구개발기관 : 기업 (조선소 참여 필수) ㅇ 정부납부기술료 납부대상 여부 : 징수 품목번호 2026-2차-조선해양산업핵심-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123148,,,,,,,,,,
PBLN_000000000123192,[경북] 영주시 2026년 3차 지식재산 긴급지원 사업 모집 공고,경상북도,hold_large_delta_or_selected,manual_review_required,기존값/새값 중 대표금액 확정 불가,1400.0,"최대 1,400만원",900.0,subsidy,13,"해외출원비용 등을 지원 氠瑢 구분 세부 사업명 정부지원금 규모 분담금 특 허 특허기술홍보영상제작 9,000천원 이내 40% (현금20%+현물20%) 단",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123192,,,,,,,,,,
PBLN_000000000123267,2026년 제5차 바이오ㆍ의료기술개발 사업 신규과제 공고,과학기술정보통신부,hold_large_delta_or_selected,manual_review_required,기존값/새값 중 대표금액 확정 불가,1370000.0,최대 137억원,200000.0,support_amount,7,연구 개발 결과의 활용 방안 및 기대 효과 까지 내용을 과제 규모에 따라 아래 분량에 맞춰 작성12개월 기준 정부지원연구개발비 규모(주관+공동 기준) 계획서 분량주관연구개발기관공동연구개발기관연 5억원 미만60쪽 이내15쪽 이내연 5억원 이상 20억원 미만100쪽 이내20쪽 이내연 20억원 이상제한 없음제한 없음,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123267,,,,,,,,,,
PBLN_000000000123399,[경북] 2026년 소공인 클린제조환경조성 사업 모집 공고,경상북도,hold_large_delta_or_selected,manual_review_required,기존값/새값 중 대표금액 확정 불가,630.0,최대 630만원,1050.0,support_amount,11,"산업폐기물 처리 등 지원50개사내외630만원이내270만원 이상고위험업종*** 1,050만원이내450만원이상에너지효율",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123399,,,,,,,,,,
PBLN_000000000123415,[경북] 2026년 소공인 스마트제조지원(스마트공방)사업 모집 공고,경상북도,hold_large_delta_or_selected,manual_review_required,후보는 있으나 대표 후보가 선택되지 않아 수동 선택 필요,600.0,최대 600만원,,,10,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123415,,,,,,,,,,
PBLN_000000000123416,[경북] 영천시 2026년 2차 중소기업 혁신기술개발 지원사업 공고,경상북도,hold_large_delta_or_selected,manual_review_required,기존값/새값 중 대표금액 확정 불가,311.0,최대 311.1만원,5000.0,support_amount,11,"R&D 사업 지원  Scale-up R&D 1) 지원 내용 : 아이디어 단계의 신제품개발 또는 제품고도화를 위한 연구개발 과제 2) 지원 대상 : 선정 후 협약 기업 단독 3) 지원금 : 최대 50,000천원(지원금의 20% 이상 현금 기업 부담) 4) 추진 절차 氠瑢 모집 공고 ⇨ 선정 평가 ⇨ 과제 협약 ⇨ 사업수행 ⇨ 결과 평가 (6~7월) (",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123416,,,,,,,,,,
PBLN_000000000123417,[경북] 영천시 2026년 2차 중소기업 고부가가치 전환육성 지원사업 공고,경상북도,hold_large_delta_or_selected,manual_review_required,기존값/새값 중 대표금액 확정 불가,311.0,최대 311.1만원,10000.0,support_amount,10,"R&D 사업 지원 □ 시제품 개발형 기술 개발 1) 지원 내용 : 영천시 중소기업의 연구개발을 통해 미래의 시장 진출을 준비하기 위한 고부가가치 사업화 기술 개발 지원 2) 지원 대상 : 선정 후 협약 기업 단독 3) 지원금 : 최대 100,000천원(지원금의 20% 이상 현금 기업 부담) 4) 추진 절차 氠瑢 모집 공고 ⇨ 선정 평가 ⇨ 과제 협약 ⇨ 사업수행 ⇨ 결과 평가 (6~7월) (",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123417,,,,,,,,,,
PBLN_000000000123419,2026년 소공인 클린제조환경조성사업 추가 모집 공고,중소벤처기업부,hold_large_delta_or_selected,manual_review_required,기존값/새값 중 대표금액 확정 불가,630.0,최대 630만원,1050.0,support_amount,16,"산업폐기물 처리 등 지원 500개사 내외 630만원 이내 270만원 이상 고위험업종 *** 50개사 내외 1,050만원 이내 450만원 이상 에너지효율",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123419,,,,,,,,,,
PBLN_000000000123505,2026년 1차 바이오스타 2.0 사업 참여 초기창업기업 모집 공고,과학기술정보통신부,hold_large_delta_or_selected,manual_review_required,후보는 있으나 대표 후보가 선택되지 않아 수동 선택 필요,34000.0,최대 3.4억원,,,5,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123505,,,,,,,,,,
PBLN_000000000123569,[충북] 2026년 제조 AI 현장 적용 지원 사업 수혜기업 모집 연장 공고,중소벤처기업부,hold_large_delta_or_selected,manual_review_required,후보는 있으나 대표 후보가 선택되지 않아 수동 선택 필요,8000.0,"최대 8,000만원",,,10,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123569,,,,,,,,,,
PBLN_000000000123731,[대구] 2026년 수요맞춤형 AI솔루션 개발ㆍ실증 지원 사업 컨소시엄 모집 재공고(제조업 AI융합 기반 조성사업),대구광역시,hold_large_delta_or_selected,exclude_or_recommend_only,새 후보가 비현금/금융/수수료 계열이라 ROI 직접 차감 제외,210.0,최대 210만원,1100.0,non_cash,16,"인증 11,000천원 필히 계상 - 일반용역비에 성과홍보비(매체 보도",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123731,,,,,,,,,,
SMARTFACTORY:2025-N-0202:2,2026년 디지털협업공장 구축 지원사업 컨소시엄 모집공고,스마트공장 사업관리시스템,hold_large_delta_or_selected,manual_review_required,기존값/새값 중 대표금액 확정 불가,5000.0,최대 0.5억원,25000.0,support_amount,61,"대 2억원, (동일수준) 최대 0.5억원최대 2억원 이내(단, 목표수준별 2회, 2.5억원 한도) 1. 사업 개요□사업개요◦(사업목적)개별공장의스마트화지원을넘어스마트공장간",https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2025-N-0202&pbancSn=2,,,,,,,,,,
SMARTFACTORY:2025-N-0205:1,2026년 한국로봇산업진흥원 로봇활용 제조혁신 지원사업,스마트공장 사업관리시스템,hold_large_delta_or_selected,manual_review_required,후보는 있으나 대표 후보가 선택되지 않아 수동 선택 필요,,,,,37,,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2025-N-0205&pbancSn=1,,,,,,,,,,
SMARTFACTORY:2026-N-0106:1,(충북) 2026년 제조 AI 현장 적용 지원 사업,스마트공장 사업관리시스템,hold_large_delta_or_selected,manual_review_required,후보는 있으나 대표 후보가 선택되지 않아 수동 선택 필요,,,,,10,,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0106&pbancSn=1,,,,,,,,,,
SMARTFACTORY:2026-N-0112:2,2026년 전북형 스마트 제조혁신 프로젝트 추가모집 (JS1-간편자동화과제),스마트공장 사업관리시스템,hold_large_delta_or_selected,manual_review_required,후보는 있으나 대표 후보가 선택되지 않아 수동 선택 필요,,,,,22,,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0112&pbancSn=2,,,,,,,,,,
TECHNOPARK:1724,「2026년 예비수소전문기업지원사업」수소산업분야 기술사업화(비R&D) 수혜기업 모집공고,충남테크노파크,hold_large_delta_or_selected,manual_review_required,기존값/새값 중 대표금액 확정 불가,6700.0,"최대 67,000천원 이내",3500.0,support_amount,9,"kr 2 지원내용 m 지원분야 - 지원 프로그램 및 내용 구 분분 야내 용 지원금액비 고기 술사업화시제품제작개발이 완료된 기술의 시제품제작35,000천원/건최대67",https://www.ctp.or.kr/business/datadetail.do?seq=2709304,,,,,,,,,,
TECHNOPARK:1747,"충남지자체 지식재산창출지원사업 수혜기업모집 공고(상시, 마감시까지)",충남테크노파크,hold_large_delta_or_selected,manual_review_required,기존값/새값 중 대표금액 확정 불가,150.0,최대 150만원,400.0,support_amount,7,"PCT 국제출원 汤捯 4,000천원 지원금의 10% 이상 디자인 제품혁신 제품 디자인개발 및 개선을 위한 목업",https://www.ctp.or.kr/business/datadetail.do?seq=2709310,,,,,,,,,,
TECHNOPARK:1769,[2026-056호] 2026년 정보보호 기업육성(사업화 / 창업·벤처 육성)) 지원사업 모집공고,세종테크노파크,hold_large_delta_or_selected,adopt_new_or_confirm,기업/업체/과제 단위 한도 문맥이 있어 새 후보 채택 가능,4000.0,"최대 4,000만원",1000.0,support_amount,11,벤처육성 신청기업은 「정보보호 신규 비즈니스 모델 전략 수립」 지원 필수(기업부담 비용 없음) *추후 접수공고 예정(7월 中) 기업당 최대 10백만원 기타사항 - 세종 스마트시티 테스트베드 3회 이상 이용 필수 - ▪ 세부 지원항목의 서비스를 진행하는 공급기업(관)이 필수로 존재하여야 함 ▪,https://www.sjtp.or.kr/bbs/board.php?bo_table=business01&wr_id=1981,,,,,,,,,,
TECHNOPARK:1921,"2026년도 지역주력산업육성(지역특화 프로젝트 레전드 50+) 지원모집 2차 공고(충남, 탄소저감 자동차부품, 디스플레이부품장비)",충남테크노파크,hold_large_delta_or_selected,exclude_or_recommend_only,새 후보가 비현금/금융/수수료 계열이라 ROI 직접 차감 제외,11180.0,최대 1.1억원,380.0,non_cash,7,ESG 등 인증 지원4개월2백만원마케팅- 국내외 홍보용 카다로그 및 홍보 동영상 제작- 국내외 시장조사 및 전시회 참가지원- 수출상담회 등 4개월3.8백만원◦(신청자격)충청남도 지역특화 프로젝트에 선정된 참여기업 * 지역특화 프로젝트 레전드 50+ 참여기업 선정확인서 보유기업 - 2 - ◦(지원,https://www.ctp.or.kr/business/datadetail.do?seq=2709320,,,,,,,,,,
TECHNOPARK:986,(2026-124호) 2026 강원 미래모빌리티 기업지원 프로그램 통합 공고,강원테크노파크,hold_large_delta_or_selected,manual_review_required,기존값/새값 중 대표금액 확정 불가,10000.0,최대 1억원,1000.0,support_amount,30,/ 마케팅 중 택 1 예 ) 기술지도 + 마케팅 ( 500 만원 지원 ) 예 ) 기술지도 + 샘플제작 ( 1000 만원 지원 ) 단위사업명 지원분야 ( 세부내용 ) 지원금액 바이오트윈 기반 미래치 부품 고도화 기반구축 사업 1,https://www.gwtp.or.kr/gwtp/bbsNew_view.php?bbs_data=aWR4PTMxMjYmc3RhcnRQYWdlPSZsaXN0Tm89JnRhYmxlPWNzX2Jic19kYXRhX25ldyZjb2RlPXN1YjAxYiZzZWFyY2hfaXRlbT0mc2VhcmNoX29yZGVyPSZ1cmw9c3ViMDFiJmtleXZhbHVlPXN1YjAxJmJic19tYWxuYW1lPQ==||,,,,,,,,,,
PBLN_000000000122442,[울산] 2026년 기술이전지원사업 기술코칭프로그램 참여기업 모집 공고,울산광역시,total_scale_hold,manual_review_required,기업별/건당/과제당 한도 문맥 불충분,,,,,1,20.0만원/total_support_scale: 지원규모 : 전문가활용비(200천원 × 2회 이내,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122442,,,,,,,,,,
SMARTFACTORY:2026-N-0062:3,[2차] 2026 AI 트랙 (삼성) 스마트공장 구축,스마트공장 사업관리시스템,total_scale_hold,manual_review_required,기업별/건당/과제당 한도 문맥 불충분,,,,,1,30000.0만원/total_support_scale: 미디어 연계 글로벌 홍보 - 6 - □ 지원조건【지원내용】구 분 스마트공장(AI 트랙)지원대상스마트공장 고도화(중간1 이상)구축 목표지원규모최대 3억원(총 사업비의 75% 지원)지원비율정부 : 삼성 : 도입기업 2 : 1 : 1 매칭 * 스마트공장 지원 이력이 있거나,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0062&pbancSn=3,,,,,,,,,,
KOSMES:6107069,2026년 숙련기능인력 E-7-4 전환추천 모집공고(제2026-52호),중소벤처기업진흥공단,candidate_missing,ocr_or_manual_source_check,상세 본문에서 금액 후보가 없어 첨부/표 재확인 필요,,,,,,,https://www.kosmes.or.kr/nsh/SH/NTS/SHNTS001F0.do?seqNo=6107069&tabPage=01,,,,,,,,,,
PBLN_000000000117557,[충북] 충주시 2026년 기술평가 인증 수수료 지원사업 공고,충청북도,candidate_missing,ocr_or_manual_source_check,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,,,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117557,,,,,,,,,,
PBLN_000000000117668,[인천] 2026년 기술거래촉진네트워크사업(인천기술전환플랫폼) 기술이전 및 기술수요조사서 신청 공고,인천광역시,candidate_missing,ocr_or_manual_source_check,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,,,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117668,,,,,,,,,,
PBLN_000000000117774,[서울] 가죽ㆍ패션산업 소공인 장비 임대지원사업 공고,서울특별시,candidate_missing,ocr_or_manual_source_check,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,,,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117774,,,,,,,,,,
PBLN_000000000118037,2026년 기업인력애로센터 활용 취업지원 사업 구인기업 및 구직자 모집 공고,중소벤처기업부,candidate_missing,ocr_or_manual_source_check,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,,,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118037,,,,,,,,,,
PBLN_000000000118213,[경기] 2026년 가구디자인창작공간운영사업 경기가구창작스튜디오 공동장비 활용 지원 참여기업 모집 공고,경기도,candidate_missing,ocr_or_manual_source_check,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,,,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118213,,,,,,,,,,
PBLN_000000000119064,2026년 자동차용 반도체 기능안전ㆍ신뢰성 산업혁신기반구축사업 기업지원 모집 공고,산업통상부,candidate_missing,ocr_or_manual_source_check,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,,,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119064,,,,,,,,,,
PBLN_000000000119124,2026년 의료기기 분야 기술지도 지원사업 공고(메카노바이오활성소재 혁신의료기기 실증 기반구축),전북특별자치도,candidate_missing,ocr_or_manual_source_check,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,,,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119124,,,,,,,,,,
PBLN_000000000119234,2026년 안전관리 우수연구실 인증제 시행 공고,과학기술정보통신부,candidate_missing,ocr_or_manual_source_check,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,,,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119234,,,,,,,,,,
PBLN_000000000119235,[부산] 2026년 AI실증지원센터 고성능 컴퓨터(HPC) 이용 지원사업 모집 공고,부산광역시,candidate_missing,ocr_or_manual_source_check,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,,,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119235,,,,,,,,,,
PBLN_000000000119272,2026년 유니버설디자인리빙랩 제품 사용성조사 장비 공동활용 지원안내 공고 ,인천광역시,candidate_missing,ocr_or_manual_source_check,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,,,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119272,,,,,,,,,,
PBLN_000000000119584,2026년 광주테크노파크 공동활용 연구시설ㆍ장비 사용 안내 공고,전남광주통합특별시,candidate_missing,ocr_or_manual_source_check,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,,,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119584,,,,,,,,,,
PBLN_000000000119762,2026년 일터혁신 상생컨설팅 지원사업 기업 모집 공고,고용노동부,candidate_missing,ocr_or_manual_source_check,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,,,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119762,,,,,,,,,,
PBLN_000000000120113,중소기업 전파 공동엔지니어링랩 운영지원 사업 공고,과학기술정보통신부,candidate_missing,ocr_or_manual_source_check,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,,,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120113,,,,,,,,,,
PBLN_000000000120215,2026년 산업ㆍ일자리전환 컨설팅 참여기업 모집 공고,고용노동부,candidate_missing,ocr_or_manual_source_check,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,,,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120215,,,,,,,,,,
PBLN_000000000120516,[부산] 2026년 지산학 브랜치 기업 현장솔루션 랩(lab) 참여 기업 모집 공고,부산광역시,candidate_missing,ocr_or_manual_source_check,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,,,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120516,,,,,,,,,,
PBLN_000000000120588,해양플랜트산업지원센터 보유 시험장비ㆍ교육시설 활용 지원사업 공고,해양수산부,candidate_missing,ocr_or_manual_source_check,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,,,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120588,,,,,,,,,,
