policy_id,title,organization,bucket,recommended_action,reason,old_amount_manwon,old_amount_actual,old_amount_type,old_roi_apply_method,new_amount_manwon,new_amount_actual,new_amount_type,new_roi_apply_method,support_ratio,context,url
PBLN_000000000122333,2026년 SDV 전장부품 보안 평가센터 기업지원사업 수혜기업 모집 공고,산업통상부,support_ratio_only,store_support_ratio_only,대표금액 없이 지원비율 저장,2000.0,최대 10% 지원,support_ratio,ratio_cap,,,support_ratio,ratio_cap,0.1,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122333
PBLN_000000000122473,2026년 해양수산 연구장비 렌탈지원사업 공고,해양수산부,support_ratio_only,store_support_ratio_only,대표금액 없이 지원비율 저장,14.0,최대 6% 지원,support_ratio,ratio_cap,,,support_ratio,ratio_cap,0.06,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122473
PBLN_000000000122609,2026년 경북AI데이터센터 테스트베드 실증지원 공고(데이터센터 테스트베드 조성 지원),경상북도,support_ratio_only,store_support_ratio_only,대표금액 없이 지원비율 저장,,최대 99% 지원,support_ratio,ratio_cap,,,support_ratio,ratio_cap,0.9990000000000001,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122609
PBLN_000000000122825,2026년 제3회 신제품(NEP)지정 신규신청(100대 전략품목 포함) 및 유효기간 연장신청 접수 공고,산업통상부,support_ratio_only,store_support_ratio_only,대표금액 없이 지원비율 저장,50.0,,non_cash,recommend_only,,,support_ratio,ratio_cap,0.15,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122825
PBLN_000000000122826,2026년 제3회 신기술(NET)지정 신규신청(100대 전략품목 포함) 및 유효기간 연장신청 접수 공고,산업통상부,support_ratio_only,store_support_ratio_only,대표금액 없이 지원비율 저장,50.0,지원금 확인 필요,unknown,recommend_only,,,support_ratio,ratio_cap,0.15,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122826
PBLN_000000000123301,[전남광주] 2026년 뿌리산업 선도기업 육성사업 기업 맞춤형 디지털전환 수준진단 및 컨설팅 지원 수혜기업 공고,전남광주통합특별시,support_ratio_only,store_support_ratio_only,대표금액 없이 지원비율 저장,,최대 65% 지원,support_ratio,ratio_cap,,,support_ratio,ratio_cap,0.65,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123301
PBLN_000000000123351,2026년 창원시 AI기반 슬립테크 국제협력 실증 확산 지원사업 기업지원 공고(해외 인허가 기술문서 작성 지원),산업통상부,support_ratio_only,store_support_ratio_only,대표금액 없이 지원비율 저장,,최대 50% 지원,support_ratio,ratio_cap,,,support_ratio,ratio_cap,0.5,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123351
PBLN_000000000123406,반도체 소재ㆍ부품 시험평가센터 구축 사업 KIT 반도체 기업지원 사업 추가 모집 공고,산업통상부,support_ratio_only,store_support_ratio_only,대표금액 없이 지원비율 저장,,최대 97% 지원,support_ratio,ratio_cap,,,support_ratio,ratio_cap,1.0,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123406
PBLN_000000000123438,2026년 2차 경북 해양기업 혁신성장 R&BD 패키지 지원사업 참여기업 모집 공고,경상북도,support_ratio_only,store_support_ratio_only,대표금액 없이 지원비율 저장,,최대 50% 지원,support_ratio,ratio_cap,,,support_ratio,ratio_cap,0.5,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123438
PBLN_000000000123442,[인천] 2026년 콘텐츠 스케일업 플러스 지원사업 재공고,인천광역시,support_ratio_only,store_support_ratio_only,대표금액 없이 지원비율 저장,,최대 100% 지원,support_ratio,ratio_cap,,,support_ratio,ratio_cap,1.0,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123442
PBLN_000000000123495,2027년 신규 병역지정업체(산업기능요원) 선정 및 필요인원 신청ㆍ접수 공고,중소벤처기업부,support_ratio_only,store_support_ratio_only,대표금액 없이 지원비율 저장,,최대 30% 지원,support_ratio,ratio_cap,,,support_ratio,ratio_cap,0.3,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123495
PBLN_000000000123587,[부산ㆍ울산ㆍ경남] 2026년 동남 정보보호클러스터 보안 테스팅 지원사업 공고,경상남도,support_ratio_only,store_support_ratio_only,대표금액 없이 지원비율 저장,,최대 97% 지원,support_ratio,ratio_cap,,,support_ratio,ratio_cap,1.0,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123587
PBLN_000000000123661,2026년 중소사업장 유해화학물질 취급시설 안전관리 지원 사업 참여 사업장 모집 공고,기후에너지환경부,support_ratio_only,store_support_ratio_only,대표금액 없이 지원비율 저장,,최대 97% 지원,support_ratio,ratio_cap,,,support_ratio,ratio_cap,1.0,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123661
PBLN_000000000123712,[강원] 바이오ㆍ헬스케어 AI 대전환 실증기업 모집 공고(지역 주도형 AI 대전환 사업),강원특별자치도,support_ratio_only,store_support_ratio_only,대표금액 없이 지원비율 저장,,지원금 확인 필요,unknown,recommend_only,,,support_ratio,ratio_cap,1.0,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123712
PBLN_000000000123713,[강원] 바이오ㆍ헬스케어 AI 대전환 수요기업 모집 공고(지역 주도형 AI 대전환 사업),강원특별자치도,support_ratio_only,store_support_ratio_only,대표금액 없이 지원비율 저장,,최대 70% 지원,support_ratio,ratio_cap,,,support_ratio,ratio_cap,1.0,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123713
TECHNOPARK:1854,2026 동남 정보보호클러스터 보안 테스팅 지원,경남테크노파크,support_ratio_only,store_support_ratio_only,대표금액 없이 지원비율 저장,,,,recommend_only,,,support_ratio,ratio_cap,1.0,,http://www.gntp.or.kr/biz/applyInfo/3790
TECHNOPARK:257,(2026-69호) 2026년 디지털트윈 플랫폼 활용 수요기업 모집 수정공고 (싱가포르 지원 삭제),강원테크노파크,support_ratio_only,store_support_ratio_only,대표금액 없이 지원비율 저장,,지원금 확인 필요,,recommend_only,,,support_ratio,ratio_cap,0.5,,https://www.gwtp.or.kr/gwtp/bbsNew_view.php?bbs_data=aWR4PTI5MTkmc3RhcnRQYWdlPSZsaXN0Tm89JnRhYmxlPWNzX2Jic19kYXRhX25ldyZjb2RlPXN1YjAxYiZzZWFyY2hfaXRlbT0mc2VhcmNoX29yZGVyPSZ1cmw9c3ViMDFiJmtleXZhbHVlPXN1YjAxJmJic19tYWxuYW1lPQ==||
