policy_id,title,organization,subtype,recommended_action,reason,fetch_status,source_kind,detail_text_length,attachment_text_length,fetch_error,url
PBLN_000000000119272,2026년 유니버설디자인리빙랩 제품 사용성조사 장비 공동활용 지원안내 공고 ,인천광역시,attachment_text_no_amount,manual_or_ocr_review,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,fetched,url,2147,6782,붙임3_모집포스터.pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%EB%B6%99%EC%9E%843_%EB%AA%A8%EC%A7%91%ED%8F%AC%EC%8A%A4%ED%84%B0.pdf / 202603091349120787.pdf: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202603091349120787.pdf / 202603091359140988,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119272
PBLN_000000000119584,2026년 광주테크노파크 공동활용 연구시설ㆍ장비 사용 안내 공고,전남광주통합특별시,attachment_text_no_amount,manual_or_ocr_review,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,fetched,url,2127,13510,붙임1.광주테크노파크공동활용장비사용안내공고문(안).pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%EB%B6%99%EC%9E%841.%EA%B4%91%EC%A3%BC%ED%85%8C%ED%81%AC%EB%85%B8%ED%8C%8C%ED%81%AC%EA%B3%B5%EB%8F%99%ED%99%9C%EC%9A%A9%EC%9E%A5%EB%B9%84%EC%82%AC%EC%9A%A9%EC%95%88%EB%82%B4%EA%B3%B5%EA%B3%A0%E,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119584
PBLN_000000000119762,2026년 일터혁신 상생컨설팅 지원사업 기업 모집 공고,고용노동부,attachment_text_no_amount,recommend_only_or_exclude,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,fetched,url,2458,12071,[KMAC] 2026 일터혁신 상생컨설팅 지원사업 브로셔 _ 26.03.10.pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%5BKMAC%5D%202026%20%EC%9D%BC%ED%84%B0%ED%98%81%EC%8B%A0%20%EC%83%81%EC%83%9D%EC%BB%A8%EC%84%A4%ED%8C%85%20%EC%A7%80%EC%9B%90%EC%82%AC%EC%97%85%20%EB%B8%8C%EB%A1%9C%EC%85%94%20_%,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119762
PBLN_000000000120113,중소기업 전파 공동엔지니어링랩 운영지원 사업 공고,과학기술정보통신부,attachment_text_no_amount,manual_or_ocr_review,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,fetched,url,2398,1408,중소기업 전파 공동엔지니어링랩 운영지원 사업_본문출력파일.hwp: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%EC%A4%91%EC%86%8C%EA%B8%B0%EC%97%85%20%EC%A0%84%ED%8C%8C%20%EA%B3%B5%EB%8F%99%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4%EB%A7%81%EB%9E%A9%20%EC%9A%B4%EC%98%81%EC%A7%80%EC%9B%90%20%EC%82%AC%EC%97,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120113
PBLN_000000000120215,2026년 산업ㆍ일자리전환 컨설팅 참여기업 모집 공고,고용노동부,attachment_text_no_amount,recommend_only_or_exclude,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,fetched,url,2276,6137,202604011024120233.pdf: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202604011024120233.pdf / 202604011024150304.pdf: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202604011024150304.pdf / 리플릿_2026년 산업일자리전환 컨설팅_KSA.pdf: 400 Client Error: Bad Reque,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120215
PBLN_000000000120516,[부산] 2026년 지산학 브랜치 기업 현장솔루션 랩(lab) 참여 기업 모집 공고,부산광역시,attachment_text_no_amount,manual_or_ocr_review,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,fetched,url,2153,10254,(공고문)+현장솔루션+랩(lab)+참여기업+모집+공고.pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/(%EA%B3%B5%EA%B3%A0%EB%AC%B8)+%ED%98%84%EC%9E%A5%EC%86%94%EB%A3%A8%EC%85%98+%EB%9E%A9(lab)+%EC%B0%B8%EC%97%AC%EA%B8%B0%EC%97%85+%EB%AA%A8%EC%A7%91+%EA%B3%B5%EA%B3%A0.pdf / 202604071646300296.,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120516
PBLN_000000000120588,해양플랜트산업지원센터 보유 시험장비ㆍ교육시설 활용 지원사업 공고,해양수산부,attachment_text_no_amount,recommend_only_or_exclude,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,fetched,url,1906,5613,[공고문]2026 해양플랜트산업지원센터 보유 시험장비-교육설비 활용지원사업.hwp: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%5B%EA%B3%B5%EA%B3%A0%EB%AC%B8%5D2026%20%ED%95%B4%EC%96%91%ED%94%8C%EB%9E%9C%ED%8A%B8%EC%82%B0%EC%97%85%EC%A7%80%EC%9B%90%EC%84%BC%ED%84%B0%20%EB%B3%B4%EC%9C%A0%20%EC%8B%9C%ED%97%,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120588
PBLN_000000000120591,조선ㆍ해양 배관 및 시운전 장비 공동활용 지원 사업 모집 공고(선박해양플랜트연구소 해양플랜트산업지원센터 구축 장비 공동 활용 사업),해양수산부,attachment_text_no_amount,manual_or_ocr_review,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,fetched,url,1620,12082,[공고문]2026년 조선해양 배관 및 시운전(commissioning) 장비 공동활용 지원 사업.pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%5B%EA%B3%B5%EA%B3%A0%EB%AC%B8%5D2026%EB%85%84%20%EC%A1%B0%EC%84%A0%ED%95%B4%EC%96%91%20%EB%B0%B0%EA%B4%80%20%EB%B0%8F%20%EC%8B%9C%EC%9A%B4%EC%A0%84(commissioning)%20%,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120591
PBLN_000000000120679,[인천] 2026년 시제품제작 장비 (3D 프린팅) 공동활용 지원 공고,인천광역시,attachment_text_no_amount,manual_or_ocr_review,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,fetched,url,2324,1205,붙임1_시제품제작장비지원_신청서.hwp: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%EB%B6%99%EC%9E%841_%EC%8B%9C%EC%A0%9C%ED%92%88%EC%A0%9C%EC%9E%91%EC%9E%A5%EB%B9%84%EC%A7%80%EC%9B%90_%EC%8B%A0%EC%B2%AD%EC%84%9C.hwp / 202604101420590968.hwp: 404 Client Error: Not Found for url: https:,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120679
PBLN_000000000120694,[충북] 2026년 수출기업 해외규격인증 취득 지원사업 참여기업 모집 공고,충청북도,attachment_text_no_amount,manual_or_ocr_review,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,fetched,url,2210,15835,2026 충북 수출기업 해외규격인증 취득 지원사업.pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/2026%20%EC%B6%A9%EB%B6%81%20%EC%88%98%EC%B6%9C%EA%B8%B0%EC%97%85%20%ED%95%B4%EC%99%B8%EA%B7%9C%EA%B2%A9%EC%9D%B8%EC%A6%9D%20%EC%B7%A8%EB%93%9D%20%EC%A7%80%EC%9B%90%EC%82%AC%EC%97%85.pdf / [붙임2],https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120694
PBLN_000000000120871,[경북] 2026년 초거대 AI 기술 컨설팅 신규 대상기업 모집 공고(초거대 AI 클라우드 팜 실증 및 확산 환경 조성사업),경상북도,attachment_text_no_amount,recommend_only_or_exclude,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,fetched,url,2481,14839,202604161631390912.pdf: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202604161631390912.pdf / 붙임 1. 2026년 초거대 AI 기술 컨설팅 신청서.pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%EB%B6%99%EC%9E%84%201.%202026%EB%85%84%20%EC%B4%88%EA%B1%B0%EB%8C%80%,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120871
PBLN_000000000121025,2026년 해양플랜트 서비스산업 엔지니어링 기술 지원 공고(해양플랜트 서비스산업 장비 공동활용 및 인력양성 사업),해양수산부,attachment_text_no_amount,manual_or_ocr_review,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,fetched,url,1868,1221,[공고문] 2026 엔지니어링 지원사업_공고문+.pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%5B%EA%B3%B5%EA%B3%A0%EB%AC%B8%5D%202026%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4%EB%A7%81%20%EC%A7%80%EC%9B%90%EC%82%AC%EC%97%85_%EA%B3%B5%EA%B3%A0%EB%AC%B8+.pdf / 202604201427570656.pdf: 404 Cli,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121025
PBLN_000000000121098,2026년 전동화 전력반도체 일괄공정 테스트베드 구축 기업지원 모집 공고,부산광역시,attachment_text_no_amount,manual_or_ocr_review,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,fetched,url,2241,3334,(전동화+전력반도체+일괄공정+테스트베드+구축사업)+기업지원(1차)+모집+공고문.hwp: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/(%EC%A0%84%EB%8F%99%ED%99%94+%EC%A0%84%EB%A0%A5%EB%B0%98%EB%8F%84%EC%B2%B4+%EC%9D%BC%EA%B4%84%EA%B3%B5%EC%A0%95+%ED%85%8C%EC%8A%A4%ED%8A%B8%EB%B2%A0%EB%93%9C+%EA%B5%AC%EC%B6%95%,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121098
PBLN_000000000121617,2026년 조달청 우수제품 지정계획 변경 공고,조달청,attachment_text_no_amount,manual_or_ocr_review,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,fetched,url,1871,12056,2026년 우수제품 지정 계획 변경 공고(1차).hwpx: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/2026%EB%85%84%20%EC%9A%B0%EC%88%98%EC%A0%9C%ED%92%88%20%EC%A7%80%EC%A0%95%20%EA%B3%84%ED%9A%8D%20%EB%B3%80%EA%B2%BD%20%EA%B3%B5%EA%B3%A0(1%EC%B0%A8).hwpx / 202605061107220289.hwpx: 404 Client E,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121617
PBLN_000000000121697,[경북] 2026년 중대재해 예방 사각지대 해소 지원사업 참여기업 모집 공고,경상북도,attachment_text_no_amount,manual_or_ocr_review,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,fetched,url,2321,826,[붙임1] 「경상북도 중대재해 예방 사각지대 해소 지원사업」참여기업 모집공고.pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%5B%EB%B6%99%EC%9E%841%5D%20%E3%80%8C%EA%B2%BD%EC%83%81%EB%B6%81%EB%8F%84%20%EC%A4%91%EB%8C%80%EC%9E%AC%ED%95%B4%20%EC%98%88%EB%B0%A9%20%EC%82%AC%EA%B0%81%EC%A7%80%EB%8C%80%20%ED,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121697
PBLN_000000000121868,2026년 생활화학제품 안전관리 컨설팅 지원사업 참여기업 모집 공고,기후에너지환경부,attachment_text_no_amount,recommend_only_or_exclude,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,fetched,url,1916,8864,(통합본)_컨설팅_지원사업_공고문.hwp: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/(%ED%86%B5%ED%95%A9%EB%B3%B8)_%EC%BB%A8%EC%84%A4%ED%8C%85_%EC%A7%80%EC%9B%90%EC%82%AC%EC%97%85_%EA%B3%B5%EA%B3%A0%EB%AC%B8.hwp / 붙임1._생활화학제품_안전관리_컨설팅_지원사업_신청서(서식).hwp: 400 Client Error: Bad Request for,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121868
PBLN_000000000122309,2026년 바이오 의료기기 해외 진출 지원 제로트러스트 기반구축사업 참여기업 상시 지원 모집 공고,산업통상부,attachment_text_no_amount,manual_or_ocr_review,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,fetched,url,2631,11337,붙임2.+2026년+바이오+의료기기+해외진출지원+제로트러스트+기반+구축+참여기업+상시+지원+모집+신청서.pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%EB%B6%99%EC%9E%842.+2026%EB%85%84+%EB%B0%94%EC%9D%B4%EC%98%A4+%EC%9D%98%EB%A3%8C%EA%B8%B0%EA%B8%B0+%ED%95%B4%EC%99%B8%EC%A7%84%EC%B6%9C%EC%A7%80%EC%9B%90+%EC%A0%9,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122309
PBLN_000000000122357,[충북] 2026년 중소기업 경영애로 전문가 컨설팅서비스 참여기업 모집 공고,충청북도,attachment_text_no_amount,recommend_only_or_exclude,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,fetched,url,2120,4156,2026년도_중소기업_경영애로_전문가_컨설팅기업_모집_공고문.pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/2026%EB%85%84%EB%8F%84_%EC%A4%91%EC%86%8C%EA%B8%B0%EC%97%85_%EA%B2%BD%EC%98%81%EC%95%A0%EB%A1%9C_%EC%A0%84%EB%AC%B8%EA%B0%80_%EC%BB%A8%EC%84%A4%ED%8C%85%EA%B8%B0%EC%97%85_%EB%AA%A8%EC%A7%,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122357
PBLN_000000000122371,[경기] 제조데이터 기반 디지털전환 실증 참여기업 모집 공고,산업통상부,attachment_text_no_amount,manual_or_ocr_review,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,fetched,url,2085,4228,붙임1) 공고문.pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%EB%B6%99%EC%9E%841)%20%EA%B3%B5%EA%B3%A0%EB%AC%B8.pdf / 202605221520550496.pdf: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202605221520550496.pdf / 202605221520520511.hwp: 404 Client,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122371
PBLN_000000000122526,[경북] 2026년 중대재해 예방 사각지대 해소 지원사업 참여기업 모집 변경 공고,경상북도,attachment_text_no_amount,manual_or_ocr_review,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,fetched,url,2353,826,[붙임1] 「경상북도 중대재해 예방 사각지대 해소 지원사업」참여기업 모집 변경공고.pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%5B%EB%B6%99%EC%9E%841%5D%20%E3%80%8C%EA%B2%BD%EC%83%81%EB%B6%81%EB%8F%84%20%EC%A4%91%EB%8C%80%EC%9E%AC%ED%95%B4%20%EC%98%88%EB%B0%A9%20%EC%82%AC%EA%B0%81%EC%A7%80%EB%8C%80%20,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122526
PBLN_000000000122589,2026년 제조산업 공정작업용 로봇 엔드이펙터 실증 기반 구축 사업 지원 기업 모집 공고,산업통상부,attachment_text_no_amount,manual_or_ocr_review,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,fetched,url,2293,2309,(공고문)+제조산업+공정작업용+로봇+엔드이펙터+실증+기반+구축+사업+지원+기업+모집+공고_복합형상표준센터+.pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/(%EA%B3%B5%EA%B3%A0%EB%AC%B8)+%EC%A0%9C%EC%A1%B0%EC%82%B0%EC%97%85+%EA%B3%B5%EC%A0%95%EC%9E%91%EC%97%85%EC%9A%A9+%EB%A1%9C%EB%B4%87+%EC%97%94%EB%93%9C%EC%9D%B4%E,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122589
PBLN_000000000122627,[서울] 2026년 2차 서울형 R&D 지원사업 테스트베드서울 통합 공고,서울특별시,attachment_text_no_amount,manual_or_ocr_review,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,fetched,url,1712,3809,(붙임1) 2026년 테스트베드 서울(통합) 2차 통합 공고문.pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/(%EB%B6%99%EC%9E%841)%202026%EB%85%84%20%ED%85%8C%EC%8A%A4%ED%8A%B8%EB%B2%A0%EB%93%9C%20%EC%84%9C%EC%9A%B8(%ED%86%B5%ED%95%A9)%202%EC%B0%A8%20%ED%86%B5%ED%95%A9%20%EA%B3%B5%EA%B3%A0%EB%A,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122627
PBLN_000000000122650,[충북] 2026년 연구개발장비 공동활용 기업애로상담 프로그램 수요기업 모집 공고,충청북도,detail_text_no_amount,recommend_only_or_exclude,상세 본문에서 금액 후보가 없어 첨부/표 재확인 필요,fetched,url,2301,0,충북 연구개발장비 공동활용 기업애로상담 프로그램 수요기업 모집 공고.pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%EC%B6%A9%EB%B6%81%20%EC%97%B0%EA%B5%AC%EA%B0%9C%EB%B0%9C%EC%9E%A5%EB%B9%84%20%EA%B3%B5%EB%8F%99%ED%99%9C%EC%9A%A9%20%EA%B8%B0%EC%97%85%EC%95%A0%EB%A1%9C%EC%83%81%EB%8B%B4%20%ED%94%84,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122650
PBLN_000000000122670,2026년 산업통상부-공공기관 기술나눔 공고,산업통상부,attachment_text_no_amount,manual_or_ocr_review,첨부 텍스트는 있으나 금액 후보가 없어 표/OCR 품질 확인 필요,fetched,url,2433,18531,2026년도 산업통상부-공공기관 기술나눔 공고문.hwpx: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/2026%EB%85%84%EB%8F%84%20%EC%82%B0%EC%97%85%ED%86%B5%EC%83%81%EB%B6%80-%EA%B3%B5%EA%B3%B5%EA%B8%B0%EA%B4%80%20%EA%B8%B0%EC%88%A0%EB%82%98%EB%88%94%20%EA%B3%B5%EA%B3%A0%EB%AC%B8.hwpx / 202606011,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122670
