policy_id,title,organization,old_amount_manwon,old_amount_type,old_roi_apply_method,new_amount_manwon,new_amount_actual,new_amount_type,new_roi_apply_method,candidate_count,selected_evidence
PBLN_000000000118806,[경남] 사천시ㆍ진주시 2026년 디지털전환(DX) 컨설팅 및 인력양성 지원 사업 수요기업 모집 공고,경상남도,500.0,support_amount,subtract,500.0,최대 500만원,support_amount,subtract,4," *신청 시) 기업당 최대 5,000천원 지원 "
PBLN_000000000119158,[전북] 2026년 초등학부모 10시 출근제 도입 중소기업 지원 사업 참여기업 모집 공고,전북특별자치도,120.0,support_amount,subtract,120.0,최대 120만원,support_amount,subtract,5, ☞ 10시 출근제(1시간 단축근로)를 도입하는 50인 미만 도내 중소 제조업체 ☞ 초등 1~6학년 자녀를 둔 초등학부모 직원 대상 10시 출근제(임금 삭감 없는 1시간 단축근로)를 도입하는 50인 미만 도내 중소 제조업체에 지원금 지원 - 근로자 1인당 최대 120만원
PBLN_000000000119321,[세종] 2026년 수출보증보험료 지원 사업 참가기업 모집 공고,세종특별자치시,200.0,support_amount,subtract,200.0,최대 200만원,support_amount,subtract,4,지원한도:업체당연간200만원 * 단체보험의경우
PBLN_000000000119515,2026년 M&A 활성화 지원사업 공고,중소벤처기업부,3000.0,support_amount,subtract,3000.0,"최대 3,000만원",support_amount,subtract,16,"세무에대한통합실사일경우기업당최대3,000만원한도내에서기업실사소요비용의50%를지원-법률"
PBLN_000000000119686,[경기] 2026년 베이비부머 라이트잡 모집 공고,경기도,40.0,support_amount,subtract,40.0,최대 40만원,support_amount,subtract,5, 근로자의 해당 월 급여가 지원금액인 40만 원 이하일 경우에만 일할 계산하여 지급합니다
PBLN_000000000119822,[경북] 구미시 2026년 시제품제작센터 수혜기업 모집 공고,경상북도,600.0,support_amount,subtract,600.0,최대 600만원,support_amount,subtract,4, 시제품 측정(300만원/연) 지원(기업당 최대 600만원/연) - 각종 가공기를 활용한 모형
PBLN_000000000119953,[부산] 제조산업 산업전환을 통한 혁신성장 지원 사업 참여 기업 모집 공고,부산광역시,4000.0,support_amount,subtract,4000.0,"최대 4,000만원",support_amount,subtract,18,지원 자격의 사업장 기준 참고) - 사업자등록증상 부산시에 소재한 5인 이상 중소ㆍ중견기업 - 공고일 이후(공고일 포함) 요건에 부합하는 근로자를 채용하였거나 채용 예정인 기업 ☞ 산업 전환 도입 후 신규 채용 시 1인당 1천만원 지원 (기업별 최대 4천만원) 사업신청 방법 이메일 접수 (car@bsef
PBLN_000000000120097,2026년 데이터 품질인증 지원사업 공고,과학기술정보통신부,1150.0,support_amount,subtract,1150.0,"최대 1,150만원",support_amount,subtract,43," 중소 및 초기 중견기업 17개社(기업당 최대 1,150만원 지원) ㅇ (사업기간) 협약일로부터 2026년 12월 말까지 ㅇ (신청"
PBLN_000000000120219,2026년 투자연계형 기술확보지원사업(기술검증지원) 참여기업 모집 공고,산업통상부,6000.0,subsidy,subtract,6000.0,"최대 6,000만원",subsidy,subtract,8, M&A 자문사 등 외부 자문기관 활용 등에 소요되는 전문가 활용비 최대 6천만원* 지원 * 기술확보 방식에 따라 정부지원금 차등 지원(M&A 6천만원
PBLN_000000000120375,2026년 중소기업 연구인력 현장맞춤형 양성지원사업 연구인력(R&D) 양성프로그램 참여기업 모집 공고,경기도,1000.0,support_amount,subtract,1000.0,"최대 1,000만원",support_amount,subtract,7," 이노비즈협회로 구성된 컨소시엄 ◦ (지원대상) - (구직자) 전공무관 학사/석사/박사 학위 취득(예정)자 중 미취업자 100명 - (기 업) 연구인력 채용수요를 보유한 중소기업 80개사 ◦ (지원내용) 단계별 연구자 양성을 통한 우수 연구자 양성 및 채용지원 - (1단계) 예비연구자(학/석/박사 학위예정자)에 대한 R&D 인턴십 매칭 (자체채용 가능) - (2단계) R&D인턴십 예비연구자(학/석/박사) 인턴지원 및 프로젝트 기획 - (3단계) 2단계 이수 연구자의 R&D프로젝트* 심의를 통해 4개월 수행을 지원하여 예비 연구자의 연구 역량 향상 * R&D프로젝트 소요경비 1,000만원 선지원 - (타사업연계) 3단계를 마친 기업 중 우수 기업(연구자)에 대해 중기부 연계 사업* 우선지원 대상자로 추천(최대 5~8개사) * “"
PBLN_000000000120385,[울산] 2026년 자동차 부품업종 근로자 지역정착 지원사업 참여기업 모집 공고(지역ㆍ산업맞춤형 일자리지원 사업(자율계정)),울산광역시,10000.0,subsidy,subtract,10000.0,최대 1억원,subsidy,subtract,24, □ 부정수급자에 대한 제재내용 ① 지급받은 지원금 반환(지원받으려는 지원금 부지급 포함) 및 5년 범위 내 지원금 지급 제한 ② 지원된 보조금의 5배 이내의 범위에서 제재부가금 ③ 10년 이하의 징역 또는 1억원 이하의 벌금 
PBLN_000000000120423,2026년 로봇 재제조산업 기업지원사업(기술 자문) 공고,산업통상부,300.0,support_amount,subtract,300.0,최대 300만원,support_amount,subtract,2, 지원 기간 및 지원 규모지원 기간지원 금액담당기관비 고상시 지원(최대 3개월) 1건 당최대 3백만원한국로봇사용자협회고등기술연구원경남테크노파크김해의생명 산업진흥원전문위원지원금 - 2 - Ⅱ 신청 기간 및 방법 등1
PBLN_000000000120509,[충남] 2026년 혁신기업 기술창업 활성화 지원사업 모집 공고,충청남도,1020.0,support_amount,subtract,1020.0,"최대 1,020만원",support_amount,subtract,6,"동일 기업당 총 지원 한도는 최대 1,020만원을 초과할 수 없음"
PBLN_000000000120822,[경북] 영천시 2026년 영천기업 연구시설장비 바우처 지원사업 수혜기업 모집 공고,경상북도,800.0,support_amount,subtract,800.0,최대 800만원,support_amount,subtract,9,신청서 접수 순서대로 기업 당 최대 8백만원(부가세 포함)을 지원하며
PBLN_000000000120964,[경북] 경주시 2026년 중소기업 화재보험료 지원사업 참여기업 모집 공고,경상북도,1000.0,support_amount,subtract,1000.0,"최대 1,000만원",support_amount,subtract,12,"000만원 미만1,000만원이상지원금액보험료의 90%보험료의 50%보험료의 40%보험료의 35%최대한도최대 100만원최대 200만원최대 300만원최대 400만원 "
PBLN_000000000121291,2026년 비즈니스지원단(현장클리닉) 사업 운영계획 공고,중소벤처기업부,35.0,subsidy,subtract,35.0,최대 35만원,subsidy,subtract,3, 자영업자 등 경영/기술상 애로가 있는 중소기업 관련자 □ 지원조건 ◦ (현장클리닉) 기업당 1일 35만원 (정부지원금 80% + 기업부담금 20%) * 기업당 3일 이내 (특정 분야의 경우
PBLN_000000000121311,[전남광주] 2026년 융ㆍ복합 가전산업 고용 안착 활성화 지원 사업 참여기업(참여자) 모집 공고,전남광주통합특별시,300.0,support_amount,subtract,300.0,최대 300만원,support_amount,subtract,12, 기업당 최대 5명) § (지원내용) 신규 채용 인건비(기업) 및 근속 축하금(근로자) 지급구분지원항목지원금액지급 시기 및 기준1인 채용당 최대 지원액채용 기업신규 채용인건비 지원월 50만원1~6개월 차 매월 지급(해당 근로자 고용 유지 시)300만 원신규 입사자근속 축하금100만원6개월 차에 일시 지급(6개월 근속 유지 달성 시)100만 원 § (지급방식) 수행기관-기업-근로자 간 3자 간 
PBLN_000000000121327,[경북] 상주시 2026년 일자리 공감페이 지원사업 참여기업 모집 공고,경상북도,1000.0,support_amount,subtract,1000.0,"최대 1,000만원",support_amount,subtract,1, ☞ 상주시 소재 사업장을 가동 중인 상시근로자 5인 이상 기업 ☞ 일자리 창출 우수기업 인센티브(기업당 최대 10백만원 이내) 지원 
PBLN_000000000121417,[대구] 2026년 디지털전환 현장캠퍼스 지원대상 기업 모집 공고,대구광역시,2000.0,support_amount,subtract,2000.0,"최대 2,000만원",support_amount,subtract,12," 지원내용 ▢ 지원 한도(2,000만원) 내에서 기업의 필요에 따라 필요한 항목만 선택하여 금액을 자유롭게 편성(특정 항목 제외 또는 단일 항목 100% 구성 가능) 후 신청 - 평"
PBLN_000000000121424,[경북] 고령군 2026년 지역발전 우수기업 환경개선 사업 참가기업 모집 공고,경상북도,1000.0,support_amount,subtract,1000.0,"최대 1,000만원",support_amount,subtract,9," 자세한 지원대상 공고문 참조 ☞ 작업환경 및 복지 공간 등 근로자의 근로 환경 개선 비용 기업당 최대 1,000만원 지원 사업신청 방법 이메일 접수(jin940123@gepa"
PBLN_000000000121442,[인천] 2026년 소규모 제조업 중대재해 예방 안전조치 지원사업 참여기업 모집 공고,인천광역시,250.0,support_amount,subtract,250.0,최대 250만원,support_amount,subtract,9, 방호ㆍ보호 장치 구입비용 기업당 최대 250만원 지원 - (검사비)「산업안전보건법 시행령」 제78조에 의한 안전검사대상 기계 등의 정기 안전검사ㆍ재검사(1회) 검사비용 - (방호장치)「산업안
PBLN_000000000121444,[경기] 군포시 2026년 품질경쟁력 강화 지원사업 참여기업 모집 공고,경기도,300.0,support_amount,subtract,300.0,최대 300만원,support_amount,subtract,13, 지식재산권 지원(업체당 최대 300만원) 
PBLN_000000000121591,[충남] 2026년 수소상용차 부품 성능 검증 기반 구축 사업 장비활용 지원 수혜기업 상시 모집 공고,충청남도,1000.0,support_amount,subtract,1000.0,"최대 1,000만원",support_amount,subtract,4," 10,000천원 이내 지원 10"
PBLN_000000000121664,2026년 IP투자연계 지식재산평가 지원사업 공고,지식재산처,1500.0,support_amount,subtract,1500.0,"최대 1,500만원",support_amount,subtract,19,"4) □ 지원 한도 ㅇ 기본 지원율(80%) : 지식재산평가 1건당 평가비용 이내에서 80% 지원 氠瑢 구 분 평가 비용 국고지원액 비 고 특허 가액형 1,500만원 (VAT 별도) 평가비용의 80% 이내 (지원한도 1"
PBLN_000000000121677,[충남] 2026년 대전상공회의소 ESG 경영 컨설팅 지원사업 참여기업 모집 공고,충청남도,300.0,support_amount,subtract,300.0,최대 300만원,support_amount,subtract,1, 비용 등 고려) □ 비 용 : 전액 지원(최대 300만원) 
PBLN_000000000122153,[서울] 외식업 경영혁신 컨설팅 지원사업 컨설팅 참여업소 모집 공고,서울특별시,60.0,support_amount,subtract,60.0,최대 60만원,support_amount,subtract,5, 법률 - 인센티브 : 서울배달+땡겨요 앱 내 사장님 지원금 최대 60만원 제공 - 우수사례 선정 시 홍보용 숏폼 제작 지원 사업신청 방법 온라인 접수 (구글 폼) 사업신청 사이트 온라인신청 바로가기 문의처 한국표준협
PBLN_000000000122174,2026년 인천 블록체인 바우처 지원사업 수요기업 모집 공고,인천광역시,500.0,support_amount,subtract,500.0,최대 500만원,support_amount,subtract,11, 공고일 기준 2개월 이내 예정기업(확약서) ☞ 블록체인 도입을 희망하는 수요기업을 대상으로 블록체인 기술기업의 솔루션 및 서비스 도입ㆍ활용에 소요되는 비용(최대 5백만원 이내) 지원 - 지원분야(기술 상품 분야) : DID(탈중앙화 신원증명)
PBLN_000000000122325,2026년 대전 도심 공실 활용 스마트팜 조성사업 운영사 모집 공고,대전광역시,200.0,support_amount,subtract,200.0,최대 200만원,support_amount,subtract,20, 월 2백만원 한도 내에서 지원 예정 氠瑢 
PBLN_000000000122433,[대구] 2026년 (Pre)스타기업 육성사업 개별지원 유형별 특성화지원 통합 공고,대구광역시,3000.0,support_amount,subtract,3000.0,"최대 3,000만원",support_amount,subtract,48, ISO37301 등지원금액◦ 기업당 최대 금액 : (스타) 30백만원 이내
PBLN_000000000122454,[경기] 포천시 2026년 현장기술돌봄이 지원사업 모집 공고,경기도,90.0,support_amount,subtract,90.0,최대 90만원,support_amount,subtract,14, ☞ 포천시 소재(본사/공장) 섬유관련 기업 ☞ 조직변환 지원 최대 90만원 이내(회당 최대 3회
PBLN_000000000122495,[경기] 2026년 GH 민간협력기술개발사업 과제 공모 공고,경기도,7000.0,support_amount,subtract,7000.0,"최대 7,000만원",support_amount,subtract,6,4 지원조건 (1) 공사는 민간협력기술개발사업 지원과제의 총 직접비의 70% (최대 7천만원
PBLN_000000000122563,[충남] 천안시 2026년 기술이전ㆍ가치평가 지원사업 참여기업 모집 공고,충청남도,900.0,support_amount,subtract,900.0,최대 900만원,support_amount,subtract,30, (기술가치평가) 기술가치평가 90% 지원 최대 900만원 지원 기술가치평가 비용 10% 및 부가가치세(VAT) 기업 부담 
PBLN_000000000122718,[충북] 2026년 유망기업 IP투자연계 지식재산평가 지원사업 모집 재공고,충청북도,1500.0,support_amount,subtract,1500.0,"최대 1,500만원",support_amount,subtract,12," 자세한 지원대상 공고문 참조 ☞ 발명진흥법 제28조에 따라 지정된 발명 등의 평가기관이 수행하는 지식재산가치평가에 소요되는 평가비용(기업당 최대 1,500만원 이내) 지원 - 지식재산평가 1건당 평가비용 이내에서 80% 지원 사업신청 방법 이메일 접수 (mjkwon@cbtp"
PBLN_000000000122724,[충북] 청주시 2026년 2차 공정혁신시뮬레이션센터 구축 및 운영사업 기술지원 수혜기업 모집 연장 공고,산업통상부,1600.0,support_amount,subtract,1600.0,"최대 1,600만원",support_amount,subtract,5," 설계 및 해석 기술 서비스 활용 비용지원 - 제품 모델링(설계) 및 해석 지원 - 공정 모델링(설계) 및 해석 지원 비용지원 최대 1,600만원 (기업당) 200만원 이상 23개社 내외 충북테크노파크"
PBLN_000000000122793,2026년 연구개발특구 딥테크 스타트업 챌린지 기업모집 공고,과학기술정보통신부,300000.0,support_amount,subtract,300000.0,최대 30억원,support_amount,subtract,15, (투자규모) 기업당 10억원 내외(총 30억원 내외) □ 후속 R&D 지원(과제별 6억원 내외) 
PBLN_000000000122893,2026년 세종테크밸리 첨단기업 유치 임차료 지원사업 희망기업(임차기업) 모집 수정 공고,세종특별자치시,2000.0,support_amount,subtract,2000.0,"최대 2,000만원",support_amount,subtract,14, 최종 선정 기업은 세종시 내 본사 또는 사업장(공장 및 연구소)에 대한 사업자등록 필수 ☞ 사무실 임차료(지원한도 최대 20백만원 이내(연간)
PBLN_000000000122906,[부산ㆍ울산ㆍ경남] 2026년 부ㆍ울ㆍ경 3T(Together Towards Tomorrow) 협력 파트너십 참여기업 모집 공고,고용노동부,6000.0,support_amount,subtract,6000.0,"최대 6,000만원",support_amount,subtract,18," 프로젝트 당 최대 6,000만원) ❍ 지원조건 : 협력 파트너십 체결 및 신규 채용 - 부산"
PBLN_000000000122930,[경남] 서부 2026년 3차 지식재산 긴급지원 사업 모집 공고,경상남도,900.0,subsidy,subtract,900.0,최대 900만원,subsidy,subtract,26," 해외출원비용 등을 지원 氠瑢 구분 세부 사업명 정부지원금 규모 분담금 특 허 특허맵(국내) 9,000천원 이내 40% (현금20%+현물20%) 단"
PBLN_000000000122976,2026년 2차 첨단제조로봇 실증사업 참여기업 모집 공고,산업통상부,50000.0,subsidy,subtract,54050.0,최대 5.4억원,subsidy,subtract,31,705억원세부주관기관 총정부출연금15% 이내합계5.405억원6
PBLN_000000000123023,[경남] 2026년 사이버 위기대응 모의훈련 및 보안점검 수요기업 모집 공고(지역 정보보호 지원센터),경상남도,1300.0,support_amount,subtract,1300.0,"최대 1,300만원",support_amount,subtract,3, 사후관리(기업당 13백만원) 지원 
PBLN_000000000123043,2026년 1인 중증장애인기업 업무지원인 서비스 지원사업 의사소통형ㆍ경영지도형 지원대상자 모집 공고,중소벤처기업부,300.0,support_amount,subtract,300.0,최대 300만원,support_amount,subtract,5, ☞ 아래 조건을 모두 충족하는 장애인 기업 - 장애정도가 심한 장애인(중증장애인) - 장애인기업 확인서가 발급되었으며 기한이 유효한 장애인기업 - 신청자(장애인 대표)가 대표자로 있는 모든 사업장에 상시 근로자가 없는 1인 장애인기업(신청일 제출 전일 기준) ☞ 의사소통형ㆍ경영지도형 직무 전문가 수행 비용(최대 300만원) 지원 - (의사소통형) 경영활동 및 직무 수행과 관련한 수어통역
PBLN_000000000123074,[경남] 2026년 산업안전 AI 스마트공장 구축 지원사업 공고,경상남도,20000.0,support_amount,subtract,20000.0,최대 2억원,support_amount,subtract,14, 양산(시군비 매칭이 된 지역만 가능) ◦ (지원 조건) - 지원기간 내 AI공장 구축이 가능한 기업은 도입 예정인 ’AI기능‘과 ’적용 공정‘을 선택하여(붙임1 참조) 최대 2억원 내에서 구축 지원 氠瑢 구축목표수준
PBLN_000000000123109,[전남광주] 장성군 2026년 2차 스마트기계전자산업 활성화 지원사업 참여기업 모집 공고(시군구연고산업육성사업),중소벤처기업부,4000.0,support_amount,subtract,4000.0,"최대 4,000만원",support_amount,subtract,17, 판로개척 등) - 기업당 최대 4천만원 이내(지원프로그램별 복수 지원 가능) - (혁신화&성장촉진) 신규사업 발굴 기획지원
PBLN_000000000123112,[전남광주] 화순군 2026년 2차 바이오산업 활성화 지원사업 참여기업 모집 공고(시군구연고산업육성사업),전남광주통합특별시,5000.0,support_amount,subtract,5000.0,"최대 5,000만원",support_amount,subtract,25, 외국인 인력채용 지원 - 기업당 최대 5천만원 이내(지원프로그램별 복수 지원 가능) 
PBLN_000000000123165,[울산] 데이터 파이프라인 구축 사업 수혜기업 추가 모집 공고(지역주도형 AI 대전환),중소벤처기업부,5000.0,support_amount,subtract,5000.0,"최대 5,000만원",support_amount,subtract,11, 설비 예지보전 등 AX전환 수요가 있는 기업 - 공급기업 : AI기술을 보유하여 기술실증이력이 있는 기업(울산 내외) ☞ 제조 AI 컴퓨팅센터 자원을 활용한 제조데이터 기반 현장 설비 데이터 파이프라인 구축 및 지능형 솔루션 도입(기업당 최대 50백만원) 지원 사업신청 방법 이메일 접수 (dgkim0097@utp
PBLN_000000000123173,[전남광주] 여수시 2026년 2차 지역산업위기대응 맞춤형 지원사업 공고,전남광주통합특별시,20000.0,support_amount,subtract,20000.0,최대 2억원,support_amount,subtract,18, 에너지 효율증대) 지원 - 패키지형 지원 프로그램 : 총 2억원 이내로 같은 주제ㆍ품목(연결성)으로 매뉴판 내 다수 프로그램 동시 지원(신청서
PBLN_000000000123174,[경기] 포천시 2026년 현장기술 돌봄이 지원사업 모집 수정 공고,경기도,90.0,support_amount,subtract,90.0,최대 90만원,support_amount,subtract,11, 최대 3회까지 지원(최대 90만원 이내) 비용 총계 필수제출서류 ① [서식2] 개인정보이용동의서(신청기업) ② 신청기업 사업자등록증 ③ 국세
PBLN_000000000123179,[경기] 2026년 2차 제조로봇 도입ㆍ실증 및 고도화지원 사업 공고(제조로봇 도입지원),경기도,12000.0,support_amount,subtract,12000.0,최대 1.2억원,support_amount,subtract,27, 제조로봇 고도화지원 - 제조로봇 도입ㆍ실증지원 : 기업당 최대 120백만원 - 제조로봇 고도화 지원 : 기업당 최대 35백만원 
PBLN_000000000123191,[경북] 안동시 2026년 3차 지식재산 긴급지원 사업 모집 공고,경상북도,900.0,subsidy,subtract,900.0,최대 900만원,subsidy,subtract,31," 해외출원비용 등을 지원 氠瑢 구분 세부 사업명 정부지원금 규모 분담금 특 허 특허기술홍보영상제작 9,000천원 이내 40% (현금20%+현물20%) 단"
PBLN_000000000123195,[경북] 의성군 2026년 3차 지식재산 긴급지원 사업 모집 공고,경상북도,900.0,subsidy,subtract,900.0,최대 900만원,subsidy,subtract,31," 해외출원비용 등을 지원 氠瑢 구분 세부 사업명 정부지원금 규모 분담금 특 허 특허기술홍보영상제작 9,000천원 이내 40% (현금20%+현물20%) 단"
PBLN_000000000123231,[충북] 2026년 산업 AI 도입·실증 지원사업 참여기업 모집 공고(산업 인공지능 전환 및 확산 기반조성 사업),산업통상부,5500.0,support_amount,subtract,5500.0,"최대 5,500만원",support_amount,subtract,5," 예측분석 등 AI 솔루션을 적용ㆍ최적화 할 수 있는 기업(지역제한 없음) ☞ 수요-공급기업 간 매칭을 통해 AI 솔루션 적용 가능 분야에 AI 솔루션을 도입ㆍ최적화할 수 있도록 실증 비용(과제당 55,000천원) 지원 사업신청 방법 온라인 접수 (충북과기원 과제관리시스템) 사업신청 사이트 온라인신청 바로가기 문의처 충북과학기술혁신원 AI융합혁신본부 정"
PBLN_000000000123257,[부산] 2027년 방산 중소기업 생산성향상 지원사업 공고,부산광역시,15000.0,support_amount,subtract,15000.0,최대 1.5억원,support_amount,subtract,13,"000천원 생산 최적화 및 생산설비 고도화 지원 3개사 내외 기업당 최대 150,000천원 "
PBLN_000000000123264,[경북] 2026년 모빌리티 산업 디지털 전환 고도화 지원사업 수혜기업 모집 공고,경상북도,2000.0,support_amount,subtract,2000.0,"최대 2,000만원",support_amount,subtract,1," ☞ 경상북도에 소재한 모빌리티 산업 전ㆍ후방 부품 제조 기업 ☞ 기업 당 최대 20,000천원 이내 지원"
PBLN_000000000123268,[충남] 천안시ㆍ아산시 2026년 디스플레이 특화단지 R&D 컨설팅 지원 수혜기업 모집 공고,충청남도,300.0,support_amount,subtract,300.0,최대 300만원,support_amount,subtract,2," R&D 연계 지원 기업당 3,000천원 이내 "
PBLN_000000000123291,[전북] 군산시 2026년 2차 AX얼라이언스 산ㆍ학ㆍ연 종합프로그램 지원 수혜기업 모집 공고(군산국가산업단지 스마트그린 AX실증산단 구축사업),산업통상부,2000.0,support_amount,subtract,2000.0,"최대 2,000만원",support_amount,subtract,2, 자세한 지원대상 공고문 참조 ☞ 컨소시엄 당 최대 20백만원 이내 지원 - (기술도입) AIㆍ빅데이터 기반 제조 공정 최적화 솔루션
PBLN_000000000123298,2026년 산업데이터 표준 기반 AI 솔루션 실증지원 사업수요기업 추가모집 공고(산업데이터 표준확산 기반구축 사업),경기도,5000.0,support_amount,subtract,5000.0,"최대 5,000만원",support_amount,subtract,3," 기업의 데이터 분석을 위한 지능형 솔루션의 효율적인 도입 기반을 마련하고 제조 공정상의 다양한 문제를 해결 지원(기업당 최대 5,000만원 이내) 사업신청 방법 이메일 접수 (dhl@gtp"
PBLN_000000000123338,2026년 IP투자연계 지식재산평가 지원사업 공고,지식재산처,1500.0,support_amount,subtract,1500.0,"최대 1,500만원",support_amount,subtract,11,"4)□지원 한도ㅇ 기본 지원율(80%):지식재산평가 1건당 평가비용 이내에서 80%지원구 분 평가 비용국고지원액비 고특허가액형1,500만원(VAT 별도)평가비용의 80% 이내(지원한도 1"
PBLN_000000000123358,[충북] 2026년 화장품산업 근로자 고용안정을 위한 복지 지원사업 참여기업 모집 공고(충청북도 고용유지 버팀이음 프로젝트 사업),충청북도,50.0,support_amount,subtract,50.0,최대 50만원,support_amount,subtract,12, ☞ 도내 소재 화장품 산업 중 고용보험법상 우선지원대상기업 ① 산업코드 : KSIC 2042 (확인방법 : 신청서 참조) ② 종업원수 : 공고일/신청일 기준 상시근로자 5인 이상 ③ (① 비해당) 화장품 관련 생산품 및 사업분야 : 참고자료 후첨 (증빙 필수) ☞ 재직근로자 1인당 복지포인트 최대 50만원 지원 사업신청 방법 이메일 접수 (meinu0@korcham
