group,policy_id,title,risk_count,risk_reasons,old_amount_manwon,old_amount_type,old_roi_apply_method,new_selected_amount_manwon,new_selected_type,new_roi_apply_method,new_support_ratio,old_actual,old_basis,new_selected_evidence
eok_without_company_basis,PBLN_000000000122359,[경북] 2026년 지역특화형(고도화) 스마트공장 구축사업 공고,5,"subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 대표 금액 20% 이상 차이: 기존 6.374e+07만원, 새 20000만원",63740000.0,support_amount,subtract,20000.0,support_amount,subtract,0.5,최대 6374억원,"금액 판단: 금액 미기재 / 지원 방식: 기술개발, 시험인증, 판로수출, 스마트공장","수준) 1억 * 2회차 동일수준 지원은 1회차 고도화 사업 완료(성공 판정) 이후 지원 가능지원유형지원기간정부 지원한도지원 비율구축목표수준※고도화최대 9개월최대 2억원 이내(단, 수준별 2.5억원 한도)50% 이내중간1 이상목표설정필수고도화(동일수준)※ 구축목표수준은 KS X 9001-1(스마트공장 기본개념과 구조) 표준 기준 - 2 - -단,공고일 전에 스마트공장 구축사업을 통"
eok_without_company_basis,PBLN_000000000120780,2026년 통상변화대응지원사업 참여기업 모집 공고,5,subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 기존 타입 support_amount -> 새 타입 unknown,1000000.0,support_amount,subtract,1000000.0,unknown,review,1.0,최대 100억원,"금액 판단: 금액 미기재 / 지원 방식: 현금지원, 컨설팅멘토링, 시험인증, 판로수출","향상 관련 지원 - 예산 소진 시 기준 확인 필요 - 제조 현장 생산성 향상과 경쟁력 강화 [""현금지원"", ""컨설팅멘토링"", ""시험인증"", ""판로수출""] 최대 100억원 한도), 최대 12주 이내 40MD 수행 규모 자부담(최소) 지원금(최대) 총사업비 비율 금액 비율 금액 100억 미만 0% - 100% 20백만원 20백만원 100억 이상~500억 미만 10% 2백만원 90% 1"
eok_without_company_basis,PBLN_000000000121614,[전남광주] 2026년 스마트공장 지원계획 공고,5,"subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 기존 타입 subsidy -> 새 타입 unknown | 대표 금액 20% 이상 차이: 기존 80000만원, 새 170000만원",80000.0,subsidy,subtract,170000.0,unknown,review,0.2,최대 8억원,"금액 판단: 금액 미기재 / 지원 방식: 현금지원, 컨설팅멘토링, 기술개발, 시험인증, 교육, 판로수출, 스마트공장",- 2026년도 제조AI특화 스마트공장 구축지원사업 공고 (중소벤처기업부 공고 제2026-180호) ❍ 지원기간 : 공고일로부터 예산소진시까지 ❍ 예산규모 : 17억원 내외 ❍ 수행기관 : (재)광주테크노파크 ❍ 지원대상 : 광주광역시 소재 중소․중견 기업 중 지원유형 선정기업 - 2 - ❍ 지원유형별 지원계획 *지원계획은 사정에 따라 변경될 수 있음 ① 기 초구분지원내용지원규모
eok_without_company_basis,PBLN_000000000119978,[경북] 2026년 OK FTA 컨설팅 지원사업 모집 공고(경북FTA통상진흥센터),5,subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 기존 타입 support_amount -> 새 타입 unknown,15000000.0,support_amount,subtract,15000000.0,unknown,review,0.4,최대 1500억원,"금액 판단: 금액 미기재 / 지원 방식: 컨설팅멘토링, 시험인증","% □ 10% □ 20% □ 30% □ 40% 매출액 (2025년 기준) 50억 미만 50~100억 미만 100~500억 미만 500~1,000억미만 1,000~1,500억 미만 부담률 0% 10% 20% 30% 40% ⑩FTA활용 여부 □ 활용(국가 : ) □ 미활용 (활용예정 국가 : ) ⑪ 종합지원센터, 지역FTA통상진흥센터 FTA 컨설팅 수혜여부 □ 최근 2년(2024~2025"
eok_without_company_basis,PBLN_000000000123354,[부산] 2026년 도시형소공인 맞춤형 패키지 지원사업 모집 공고,5,subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 기존 타입 support_amount -> 새 타입 unknown,1200000.0,support_amount,subtract,1200000.0,unknown,review,0.8,최대 120억원,"금액 판단: 금액 미기재 / 지원 방식: 기술개발, 시험인증, 판로수출","""시험인증"", ""판로수출""] 최대 120억원 통계청장이 고시한 한국표준산업분류에 따름 소기업기준 (평균매출액) 상시근로자 기준 C. 제조업 10 식료품 제조업 120억원 이하 10명 미만 11 음료 제조업 120억원 이하 12 담배 제조업 80억원 이하 13 섬유제품 제조업 80억원 이하 14 의복, 의복 액세서리 및 모피제품 제 지원규모 : 최대 4,500,000원 (市 80%,"
amount_delta_20_percent,PBLN_000000000122359,[경북] 2026년 지역특화형(고도화) 스마트공장 구축사업 공고,5,"subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 대표 금액 20% 이상 차이: 기존 6.374e+07만원, 새 20000만원",63740000.0,support_amount,subtract,20000.0,support_amount,subtract,0.5,최대 6374억원,"금액 판단: 금액 미기재 / 지원 방식: 기술개발, 시험인증, 판로수출, 스마트공장","수준) 1억 * 2회차 동일수준 지원은 1회차 고도화 사업 완료(성공 판정) 이후 지원 가능지원유형지원기간정부 지원한도지원 비율구축목표수준※고도화최대 9개월최대 2억원 이내(단, 수준별 2.5억원 한도)50% 이내중간1 이상목표설정필수고도화(동일수준)※ 구축목표수준은 KS X 9001-1(스마트공장 기본개념과 구조) 표준 기준 - 2 - -단,공고일 전에 스마트공장 구축사업을 통"
amount_delta_20_percent,PBLN_000000000121614,[전남광주] 2026년 스마트공장 지원계획 공고,5,"subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 기존 타입 subsidy -> 새 타입 unknown | 대표 금액 20% 이상 차이: 기존 80000만원, 새 170000만원",80000.0,subsidy,subtract,170000.0,unknown,review,0.2,최대 8억원,"금액 판단: 금액 미기재 / 지원 방식: 현금지원, 컨설팅멘토링, 기술개발, 시험인증, 교육, 판로수출, 스마트공장",- 2026년도 제조AI특화 스마트공장 구축지원사업 공고 (중소벤처기업부 공고 제2026-180호) ❍ 지원기간 : 공고일로부터 예산소진시까지 ❍ 예산규모 : 17억원 내외 ❍ 수행기관 : (재)광주테크노파크 ❍ 지원대상 : 광주광역시 소재 중소․중견 기업 중 지원유형 선정기업 - 2 - ❍ 지원유형별 지원계획 *지원계획은 사정에 따라 변경될 수 있음 ① 기 초구분지원내용지원규모
amount_delta_20_percent,PBLN_000000000122384,2026년 글로벌산업기술협력센터 사업(M.AX 분야 공동연구) 시행계획 공고,5,"subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 기존 타입 subsidy -> 새 타입 unknown | 대표 금액 20% 이상 차이: 기존 1e+06만원, 새 200000만원",1000000.0,subsidy,subtract,200000.0,unknown,review,,최대 100억원,"금액 판단: 금액 미기재 / 지원 방식: 기술개발, 시험인증","로 창업 1년 이상 경과하고, 한국산업기술진흥협회가 발급한 “기업부설연구소 인정서“를 보유하고 있는 국내 사업자 ☞ 글로벌 산학연 컨소시엄의 공동연구 과제 지원(20억원 내외/년) ※ 자세한 지원내용 공고문 참조 [""기술개발"", ""시험인증""] 최대 100억원 년)는 연간 과제당 지원규모의 5/12(예: 연간 20억과제 기준 8억원 이내)까지 지원2차년도 이후 연간 지원규모(20억원"
amount_delta_20_percent,PBLN_000000000117654,[강원] 2026년 중소ㆍ벤처기업 투자이음 강화 프로그램 참여기업 연중 상시접수 공고(강원 벤처투자 생태계 조성사업),5,"subtract 금액이 10억원 이상 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 기존 타입 support_amount -> 새 타입 unknown | 대표 금액 20% 이상 차이: 기존 650000만원, 새 1.35e+06만원",650000.0,support_amount,subtract,1350000.0,unknown,review,,최대 65억원,"금액 판단: 금액 미기재 / 지원 방식: 기술개발, 시험인증, 교육","준 확인 필요 - 제조 현장 생산성 향상과 경쟁력 강화 [""기술개발"", ""시험인증"", ""교육""] 최대 65억원 장 벤처투자조합 강원대기술지주/ 트리거투자파트너스 135억  농식품 펀드 11 인라이트애그테크플러스펀드 푸드테크, 초기~7년 미만 농식품 경영체 인라이트벤처스 65억  대학창업펀드 12 대학창업 펀드 제1호/2호 초기기업, 대학/학생 창업기업 강원대기술지주 28억/ 3"
amount_delta_20_percent,PBLN_000000000119851,[경북] 안동시 2026년 로케이션 제작지원 사업 공고,5,"subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 대표 금액 20% 이상 차이: 기존 100000만원, 새 5000만원",100000.0,support_amount,subtract,5000.0,support_amount,subtract,0.6,최대 10억원,"금액 판단: 금액 미기재 / 지원 방식: 현금지원, 컨설팅멘토링, 기술개발, 시험인증","작비 10억 이상 작품 중, 관내 소비액이 2천만원 이상인 작품 ※ 예능·다큐 지원조건 별도협의 ❍ 지원금액 : 관내 소비액의 60% 이내 지원 / 작품당 최대 5천만원 지급가능 - 순제작비 중 관내 소비액(공급가액 기준)은 금액 판단: 금액 미기재 / 지원 방식: 현금지원, 컨설팅멘토링, 기술개발, 시험인증 지원 ※ 지원결정액에 따라 지원 건 수는 변경될 수 있음 ❍ 지원기간 :"
candidate_without_selected,PBLN_000000000123477,[대구] 서대구산단 혁신지원센터 및 복합문화센터 운영 지원 입주기업 수요맞춤형 지원 참여기업 모집 공고,4,subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 후보는 있으나 대표 후보 없음 | 기존 금액은 있으나 새 대표 금액 없음,440.0,support_amount,subtract,,,,0.1,최대 440만원,"금액 판단: 금액 미기재 / 지원 방식: 현금지원, 컨설팅멘토링, 기술개발, 시험인증",
candidate_without_selected,PBLN_000000000118318,2026년 소스개발 및 생산지원 사업 공고,4,subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 후보는 있으나 대표 후보 없음 | 기존 금액은 있으나 새 대표 금액 없음,3000.0,support_amount,subtract,,,,,"최대 3,000만원","금액 판단: 금액 미기재 / 지원 방식: 공동장비, 기술개발, 시험인증",
candidate_without_selected,PBLN_000000000118750,[경남] 진주시 2026년 중소기업 국내외 인증수수료 지원사업 공고,4,subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 후보는 있으나 대표 후보 없음 | 기존 금액은 있으나 새 대표 금액 없음,100.0,support_amount,subtract,,,,,최대 100만원,"금액 판단: 금액 미기재 / 지원 방식: 시험인증, 판로수출",
candidate_without_selected,PBLN_000000000122992,[경남] 서부 2026년 2차 글로벌IP스타기업육성사업 포장디자인개발 지원기업 모집 공고,4,subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 후보는 있으나 대표 후보 없음 | 기존 금액은 있으나 새 대표 금액 없음,1500.0,support_amount,subtract,,,,,"최대 1,500만원","금액 판단: 금액 미기재 / 지원 방식: 기술개발, 시험인증",
candidate_without_selected,PBLN_000000000122996,[경남] 서부 2026년 2차 글로벌IP스타기업육성사업 리뉴얼브랜드개발 지원기업 모집 공고,4,subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 후보는 있으나 대표 후보 없음 | 기존 금액은 있으나 새 대표 금액 없음,1000.0,support_amount,subtract,,,,,"최대 1,000만원","금액 판단: 금액 미기재 / 지원 방식: 기술개발, 시험인증",
support_amount_to_unknown,PBLN_000000000120780,2026년 통상변화대응지원사업 참여기업 모집 공고,5,subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 기존 타입 support_amount -> 새 타입 unknown,1000000.0,support_amount,subtract,1000000.0,unknown,review,1.0,최대 100억원,"금액 판단: 금액 미기재 / 지원 방식: 현금지원, 컨설팅멘토링, 시험인증, 판로수출","향상 관련 지원 - 예산 소진 시 기준 확인 필요 - 제조 현장 생산성 향상과 경쟁력 강화 [""현금지원"", ""컨설팅멘토링"", ""시험인증"", ""판로수출""] 최대 100억원 한도), 최대 12주 이내 40MD 수행 규모 자부담(최소) 지원금(최대) 총사업비 비율 금액 비율 금액 100억 미만 0% - 100% 20백만원 20백만원 100억 이상~500억 미만 10% 2백만원 90% 1"
support_amount_to_unknown,PBLN_000000000119978,[경북] 2026년 OK FTA 컨설팅 지원사업 모집 공고(경북FTA통상진흥센터),5,subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 기존 타입 support_amount -> 새 타입 unknown,15000000.0,support_amount,subtract,15000000.0,unknown,review,0.4,최대 1500억원,"금액 판단: 금액 미기재 / 지원 방식: 컨설팅멘토링, 시험인증","% □ 10% □ 20% □ 30% □ 40% 매출액 (2025년 기준) 50억 미만 50~100억 미만 100~500억 미만 500~1,000억미만 1,000~1,500억 미만 부담률 0% 10% 20% 30% 40% ⑩FTA활용 여부 □ 활용(국가 : ) □ 미활용 (활용예정 국가 : ) ⑪ 종합지원센터, 지역FTA통상진흥센터 FTA 컨설팅 수혜여부 □ 최근 2년(2024~2025"
support_amount_to_unknown,PBLN_000000000123354,[부산] 2026년 도시형소공인 맞춤형 패키지 지원사업 모집 공고,5,subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 기존 타입 support_amount -> 새 타입 unknown,1200000.0,support_amount,subtract,1200000.0,unknown,review,0.8,최대 120억원,"금액 판단: 금액 미기재 / 지원 방식: 기술개발, 시험인증, 판로수출","""시험인증"", ""판로수출""] 최대 120억원 통계청장이 고시한 한국표준산업분류에 따름 소기업기준 (평균매출액) 상시근로자 기준 C. 제조업 10 식료품 제조업 120억원 이하 10명 미만 11 음료 제조업 120억원 이하 12 담배 제조업 80억원 이하 13 섬유제품 제조업 80억원 이하 14 의복, 의복 액세서리 및 모피제품 제 지원규모 : 최대 4,500,000원 (市 80%,"
support_amount_to_unknown,PBLN_000000000121191,2026년 산업 분야 온실가스 국제감축사업 공고,5,subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 기존 타입 support_amount -> 새 타입 unknown,1000000.0,support_amount,subtract,1000000.0,unknown,review,0.5,최대 100억원,"금액 판단: 금액 미기재 / 지원 방식: 컨설팅멘토링, 기술개발, 시험인증, 판로수출, 에너지효율","관련 지원 - 미정 기준 확인 필요 - 제조 현장 생산성 향상과 경쟁력 강화 [""컨설팅멘토링"", ""기술개발"", ""시험인증"", ""판로수출"", ""에너지효율""] 최대 100억원 최대 50% (단, 100억원 이하) - (타당성조사지원) 설계, 방법론 검토 등 최대 90% (단, 4억원 이하) "", ""jrsdInsttNm"": ""산업통상부"", ""printFileNm"": ""2026년 산업 분야"
support_amount_to_unknown,PBLN_000000000117654,[강원] 2026년 중소ㆍ벤처기업 투자이음 강화 프로그램 참여기업 연중 상시접수 공고(강원 벤처투자 생태계 조성사업),5,"subtract 금액이 10억원 이상 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 기존 타입 support_amount -> 새 타입 unknown | 대표 금액 20% 이상 차이: 기존 650000만원, 새 1.35e+06만원",650000.0,support_amount,subtract,1350000.0,unknown,review,,최대 65억원,"금액 판단: 금액 미기재 / 지원 방식: 기술개발, 시험인증, 교육","준 확인 필요 - 제조 현장 생산성 향상과 경쟁력 강화 [""기술개발"", ""시험인증"", ""교육""] 최대 65억원 장 벤처투자조합 강원대기술지주/ 트리거투자파트너스 135억  농식품 펀드 11 인라이트애그테크플러스펀드 푸드테크, 초기~7년 미만 농식품 경영체 인라이트벤처스 65억  대학창업펀드 12 대학창업 펀드 제1호/2호 초기기업, 대학/학생 창업기업 강원대기술지주 28억/ 3"
unknown_or_support_ratio,SMARTFACTORY:2026-N-0104:1,2026 제조DX멘토 활용지원 구축지도 도입기업 모집,4,"max_amount_type=unknown | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 기존 타입 unknown -> 새 타입 support_amount | 대표 금액 20% 이상 차이: 기존 21만원, 새 119만원",21.0,unknown,review,119.0,support_amount,subtract,0.85,최대 21만원,금액 판단: 금액 성격 미확인 / 금액 표현: 최대 21만원 / 지원 방식: 스마트공장,"해결지원□지원규모 : 총 86.2억원,1,310개사 내외 (전국 기준) 구분지원 기간지원 규모지원한도지원 비중신청·접수평가·선정구축지도3개월(4회)400개사 내외119만원85%최종 협약 후 2주 이내수시□신청 자격◦국내 제조기업 중「중소기업기본법」에 따른 중소기업 및 「중견기업성장촉진 및 경쟁력 강화에 관한 특별법」에 따른 중견기업 -사업자번호로 구분되는 도입기업은 사업장별로 신청"
