policy_id,title,organization,risk_count,risk_reasons,auto_update_candidate,decision_reason,old_amount_manwon,old_amount_type,old_roi_apply_method,candidate_count,new_selected_amount_manwon,new_selected_type,new_roi_apply_method,new_support_ratio,old_actual,old_basis
PBLN_000000000119851,[경북] 안동시 2026년 로케이션 제작지원 사업 공고,경상북도,5,subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 기존 타입 support_amount -> 새 타입 non_cash,False,risk_reasons_present,100000.0,support_amount,subtract,8,100000.0,non_cash,recommend_only,0.6,최대 10억원,"금액 판단: 금액 미기재 / 지원 방식: 현금지원, 컨설팅멘토링, 기술개발, 시험인증"
PBLN_000000000119852,[경북] 2026년 로케이션 제작지원 사업 공고,경상북도,5,subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 기존 타입 support_amount -> 새 타입 non_cash,False,risk_reasons_present,100000.0,support_amount,subtract,8,100000.0,non_cash,recommend_only,0.7,최대 10억원,"금액 판단: 금액 미기재 / 지원 방식: 현금지원, 컨설팅멘토링, 기술개발, 시험인증"
SMARTFACTORY:2026-N-0114:1,[미라콤] 2026년도 상생형 인공지능 전환(AX) 선도모델 구축지원 사업 공고,스마트공장 사업관리시스템,5,"subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 억 단위 금액이나 기업당/과제당 근거 부족 | 기존 타입 subsidy -> 새 타입 support_amount | 대표 금액 20% 이상 차이: 기존 300000만원, 새 150000만원",False,risk_reasons_present,300000.0,subsidy,subtract,8,150000.0,support_amount,subtract,,최대 30억원,"금액 판단: 보조금 300,000만원 / 금액 표현: 최대 30억원 / 지원 방식: 컨설팅멘토링, 시험인증, 교육, 판로수출, 스마트공장"
PBLN_000000000123739,2026년 4차 무기체계 부품국산화개발 지원사업 (상생협력부품국산화) 과제ㆍ연구개발기관 모집 공고,방위사업청,5,subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 기존 타입 subsidy -> 새 타입 non_cash,False,risk_reasons_present,1000000.0,subsidy,subtract,7,1000000.0,non_cash,recommend_only,1.0,최대 100억원,"금액 판단: 금액 미기재 / 지원 방식: 기술개발, 시험인증, 판로수출"
PBLN_000000000123470,[대구] 2026년 2차 AI솔루션 실증 참여기업 모집 공고(지역특화 제조데이터 활성화 사업),중소벤처기업부,5,subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 후보는 있으나 대표 후보 없음 | 기존 금액은 있으나 새 대표 금액 없음,False,risk_reasons_present,13000.0,subsidy,subtract,6,,,,0.3,최대 1.3억원,"금액 판단: 금액 미기재 / 지원 방식: 현금지원, 컨설팅멘토링, 기술개발, 시험인증, 판로수출, 스마트공장"
PBLN_000000000123154,2026년 3차 조선해양산업기술개발사업 신규지원 대상과제 공고,산업통상부,5,"subtract 금액이 10억원 이상 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 기존 타입 subsidy -> 새 타입 support_amount | 대표 금액 20% 이상 차이: 기존 297000만원, 새 4.21e+06만원",False,risk_reasons_present,297000.0,subsidy,subtract,4,4210000.0,support_amount,subtract,,최대 29.7억원,"금액 판단: 금액 미기재 / 지원 방식: 기술개발, 시험인증"
PBLN_000000000116853,2026년 기업훈련 탄력운영제 참여기업 모집 공고,고용노동부,5,subtract 금액이 10억원 이상 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 후보는 있으나 대표 후보 없음 | 기존 금액은 있으나 새 대표 금액 없음,False,risk_reasons_present,1820000.0,support_amount,subtract,3,,,,,최대 182억원,"금액 판단: 금액 미기재 / 지원 방식: 시험인증, 교육"
PBLN_000000000118006,2026년 스마트공장 수준확인 사업 공고,중소벤처기업부,5,subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 후보는 있으나 대표 후보 없음 | 기존 금액은 있으나 새 대표 금액 없음,False,risk_reasons_present,200000.0,support_amount,subtract,3,,,,1.0,최대 20억원,"금액 판단: 금액 미기재 / 지원 방식: 컨설팅멘토링, 시험인증, 교육, 스마트공장"
PBLN_000000000122761,"2026년 2차 재생에너지R&D(태양광, 풍력) 신규지원대상 연구개발과제 공고",기후에너지환경부,5,subtract 금액이 10억원 이상 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 후보는 있으나 대표 후보 없음 | 기존 금액은 있으나 새 대표 금액 없음,False,risk_reasons_present,2050000.0,subsidy,subtract,2,,,,,최대 205억원,"금액 판단: 금액 미기재 / 지원 방식: 기술개발, 시험인증, 교육, 에너지효율"
SMARTFACTORY:2025-N-0210:1,2026년도 지역특화 프로젝트「레전드50+」연계 스마트공장 구축 지원사업 공고,스마트공장 사업관리시스템,4,"subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 억 단위 금액이나 기업당/과제당 근거 부족 | 대표 금액 20% 이상 차이: 기존 1e+06만원, 새 50000만원",False,risk_reasons_present,1000000.0,support_amount,subtract,50,50000.0,support_amount,subtract,0.5,최대 100억원,"금액 판단: 지원금 1,000,000만원 / 금액 표현: 최대 100억원 / 지원 방식: 현금지원, 컨설팅멘토링, 교육, 판로수출, 스마트공장"
PBLN_000000000121028,[울산] 2026년 상반기 산업안전보건 국제표준 인증기업 지원사업 시행 공고,울산광역시,4,"subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 기존 타입 support_amount -> 새 타입 non_cash | 대표 금액 20% 이상 차이: 기존 200만원, 새 300만원",False,risk_reasons_present,200.0,support_amount,subtract,36,300.0,non_cash,recommend_only,0.5,최대 200만원,"금액 판단: 금액 미기재 / 지원 방식: 현금지원, 컨설팅멘토링, 시험인증, 판로수출"
PBLN_000000000123644,[전북] 2026년 3차 데이터 활용기업 맞춤형 지원사업 수요기업 모집 연장 공고,전북특별자치도,4,"subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 기존 타입 support_amount -> 새 타입 subsidy | 대표 금액 20% 이상 차이: 기존 600만원, 새 10000만원",False,risk_reasons_present,600.0,support_amount,subtract,31,10000.0,subsidy,subtract,1.0,최대 600만원,"금액 판단: 금액 미기재 / 지원 방식: 컨설팅멘토링, 기술개발, 시험인증, 판로수출"
PBLN_000000000123419,2026년 소공인 클린제조환경조성사업 추가 모집 공고,중소벤처기업부,4,"subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 기존 타입 subsidy -> 새 타입 support_amount | 대표 금액 20% 이상 차이: 기존 630만원, 새 1050만원",False,risk_reasons_present,630.0,subsidy,subtract,24,1050.0,support_amount,subtract,0.15,최대 630만원,"금액 판단: 금액 미기재 / 지원 방식: 현금지원, 컨설팅멘토링, 시험인증, 에너지효율"
PBLN_000000000123569,[충북] 2026년 제조 AI 현장 적용 지원 사업 수혜기업 모집 연장 공고,중소벤처기업부,4,subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 후보는 있으나 대표 후보 없음 | 기존 금액은 있으나 새 대표 금액 없음,False,risk_reasons_present,8000.0,support_amount,subtract,24,,,,,"최대 8,000만원","금액 판단: 금액 미기재 / 지원 방식: 현금지원, 컨설팅멘토링, 기술개발, 시험인증, 판로수출, 스마트공장"
PBLN_000000000117019,2026년 제조DX멘토단 활용지원사업 통합 공고,중소벤처기업부,4,subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 후보는 있으나 대표 후보 없음 | 기존 금액은 있으나 새 대표 금액 없음,False,risk_reasons_present,238.0,subsidy,subtract,22,,,,0.5,최대 238만원,"금액 판단: 금액 미기재 / 지원 방식: 기술개발, 시험인증, 판로수출, 스마트공장"
PBLN_000000000123731,[대구] 2026년 수요맞춤형 AI솔루션 개발ㆍ실증 지원 사업 컨소시엄 모집 재공고(제조업 AI융합 기반 조성사업),대구광역시,4,subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 후보는 있으나 대표 후보 없음 | 기존 금액은 있으나 새 대표 금액 없음,False,risk_reasons_present,210.0,support_amount,subtract,22,,,,,최대 210만원,"금액 판단: 금액 미기재 / 지원 방식: 현금지원, 컨설팅멘토링, 기술개발, 시험인증, 교육, 판로수출"
PBLN_000000000120865,2026년 한ㆍ이스라엘 국제공동기술개발사업 신규 과제 통합 공고,산업통상부,4,"subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 대표 금액 20% 이상 차이: 기존 168000만원, 새 84000만원",False,risk_reasons_present,168000.0,support_amount,subtract,21,84000.0,support_amount,subtract,0.3,최대 16.8억원,"금액 판단: 금액 미기재 / 지원 방식: 기술개발, 시험인증"
PBLN_000000000123150,2026년 소공인 스마트제조지원(스마트공방)사업 추가 모집 공고,중소벤처기업부,4,"subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 기존 타입 subsidy -> 새 타입 support_amount | 대표 금액 20% 이상 차이: 기존 600만원, 새 3600만원",False,risk_reasons_present,600.0,subsidy,subtract,20,3600.0,support_amount,subtract,0.1,최대 600만원,"금액 판단: 금액 미기재 / 지원 방식: 현금지원, 기술개발, 시험인증, 판로수출, 스마트공장"
PBLN_000000000123188,[경북] 북부 2026년 3차 지식재산 긴급지원 사업 모집 공고,경상북도,4,subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 후보는 있으나 대표 후보 없음 | 기존 금액은 있으나 새 대표 금액 없음,False,risk_reasons_present,420.0,subsidy,subtract,19,,,,,최대 420만원,"금액 판단: 금액 미기재 / 지원 방식: 컨설팅멘토링, 기술개발, 시험인증, 판로수출, 스마트공장"
PBLN_000000000119836,[전남광주] 2026년 상반기 구조고도화자금 지원 계획 공고,전남광주통합특별시,4,"subtract 금액이 10억원 이상 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 대표 금액 20% 이상 차이: 기존 3e+06만원, 새 1e+06만원",False,risk_reasons_present,3000000.0,support_amount,subtract,18,1000000.0,support_amount,subtract,0.1,최대 300억원,"금액 판단: 금액 미기재 / 지원 방식: 현금지원, 시험인증"
PBLN_000000000123399,[경북] 2026년 소공인 클린제조환경조성 사업 모집 공고,경상북도,4,"subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 기존 타입 subsidy -> 새 타입 support_amount | 대표 금액 20% 이상 차이: 기존 630만원, 새 1050만원",False,risk_reasons_present,630.0,subsidy,subtract,18,1050.0,support_amount,subtract,,최대 630만원,"금액 판단: 금액 미기재 / 지원 방식: 현금지원, 시험인증, 판로수출, 에너지효율"
PBLN_000000000123525,[충남ㆍ충북ㆍ대전ㆍ세종] 2026년 2차 기업 지원 프로그램(비R&D) 지원대상 모집 공고(미래차 산업 혁신 지원사업),충청남도,4,"subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 기존 타입 support_amount -> 새 타입 non_cash | 대표 금액 20% 이상 차이: 기존 1100만원, 새 300만원",False,risk_reasons_present,1100.0,support_amount,subtract,18,300.0,non_cash,recommend_only,,"최대 1,100만원","금액 판단: 금액 미기재 / 지원 방식: 현금지원, 공동장비, 컨설팅멘토링, 기술개발, 시험인증"
PBLN_000000000121785,[전남광주] 2026년 소규모 밀착 안전망 구축사업 참여기업 모집 공고(지역 중대재해 예방 사각지대 해소사업),전남광주통합특별시,4,"subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 대표 금액 20% 이상 차이: 기존 10000만원, 새 25만원",False,risk_reasons_present,10000.0,support_amount,subtract,16,25.0,support_amount,subtract,,최대 1억원,"금액 판단: 금액 미기재 / 지원 방식: 컨설팅멘토링, 시험인증, 교육"
PBLN_000000000123147,2027년 식품소재 및 반가공산업 육성 사업자 선정계획 공고,농림축산식품부,4,subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족,False,risk_reasons_present,153600.0,subsidy,subtract,12,153600.0,subsidy,subtract,0.3,최대 15.4억원,"금액 판단: 금액 미기재 / 지원 방식: 현금지원, 시험인증"
PBLN_000000000123192,[경북] 영주시 2026년 3차 지식재산 긴급지원 사업 모집 공고,경상북도,4,subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 후보는 있으나 대표 후보 없음 | 기존 금액은 있으나 새 대표 금액 없음,False,risk_reasons_present,1400.0,subsidy,subtract,11,,,,,"최대 1,400만원","금액 판단: 금액 미기재 / 지원 방식: 컨설팅멘토링, 기술개발, 시험인증, 판로수출, 스마트공장"
PBLN_000000000123477,[대구] 서대구산단 혁신지원센터 및 복합문화센터 운영 지원 입주기업 수요맞춤형 지원 참여기업 모집 공고,대구광역시,4,subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 후보는 있으나 대표 후보 없음 | 기존 금액은 있으나 새 대표 금액 없음,False,risk_reasons_present,440.0,support_amount,subtract,11,,,,0.1,최대 440만원,"금액 판단: 금액 미기재 / 지원 방식: 현금지원, 컨설팅멘토링, 기술개발, 시험인증"
PBLN_000000000123708,[경기] 2026년 공공의료원 AI진단보조기기 실증지원사업 참여기업 모집 공고,경기도,4,subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 후보는 있으나 대표 후보 없음 | 기존 금액은 있으나 새 대표 금액 없음,False,risk_reasons_present,8000.0,support_amount,subtract,11,,,,0.25,"최대 8,000만원","금액 판단: 금액 미기재 / 지원 방식: 현금지원, 공동장비, 기술개발, 시험인증, 판로수출, 스마트공장"
PBLN_000000000122384,2026년 글로벌산업기술협력센터 사업(M.AX 분야 공동연구) 시행계획 공고,산업통상부,4,subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 기존 타입 subsidy -> 새 타입 non_cash,False,risk_reasons_present,1000000.0,subsidy,subtract,10,1000000.0,non_cash,recommend_only,,최대 100억원,"금액 판단: 금액 미기재 / 지원 방식: 기술개발, 시험인증"
PBLN_000000000123421,"2026년 중소기업기술혁신개발사업 글로벌선도기술개발(함께달리기, 이어달리기) 시행계획 공고",중소벤처기업부,4,subtract 금액이 10억원 이상 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 기존 타입 subsidy -> 새 타입 support_amount,False,risk_reasons_present,100000.0,subsidy,subtract,10,100000.0,support_amount,subtract,0.65,최대 10억원,"금액 판단: 금액 미기재 / 지원 방식: 기술개발, 시험인증, 판로수출, 에너지효율"
SMARTFACTORY:2026-N-0115:1,[LS일렉트릭] 2026년도 상생형 인공지능 전환(AX) 선도모델 구축지원 사업 공고,스마트공장 사업관리시스템,4,"subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 억 단위 금액이나 기업당/과제당 근거 부족 | 대표 금액 20% 이상 차이: 기존 150000만원, 새 300000만원",False,risk_reasons_present,150000.0,subsidy,subtract,10,300000.0,subsidy,subtract,0.5,최대 15억원,"금액 판단: 보조금 150,000만원 / 금액 표현: 최대 15억원 / 지원 방식: 컨설팅멘토링, 시험인증, 교육, 판로수출, 스마트공장"
SMARTFACTORY:2026-N-0118:1,[LG전자] 2026년도 상생형 인공지능 전환(AX) 선도모델 구축지원 사업 공고,스마트공장 사업관리시스템,4,"subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 억 단위 금액이나 기업당/과제당 근거 부족 | 대표 금액 20% 이상 차이: 기존 150000만원, 새 300000만원",False,risk_reasons_present,150000.0,subsidy,subtract,10,300000.0,subsidy,subtract,0.5,최대 15억원,"금액 판단: 보조금 150,000만원 / 금액 표현: 최대 15억원 / 지원 방식: 컨설팅멘토링, 시험인증, 교육, 판로수출, 스마트공장"
SMARTFACTORY:2026-N-0119:1,[CJ올리브네트웍스] 2026년도 상생형 인공지능 전환(AX) 선도모델 구축지원 사업 공고,스마트공장 사업관리시스템,4,"subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 억 단위 금액이나 기업당/과제당 근거 부족 | 대표 금액 20% 이상 차이: 기존 150000만원, 새 300000만원",False,risk_reasons_present,150000.0,subsidy,subtract,10,300000.0,subsidy,subtract,0.5,최대 15억원,"금액 판단: 보조금 150,000만원 / 금액 표현: 최대 15억원 / 지원 방식: 컨설팅멘토링, 시험인증, 교육, 판로수출, 스마트공장"
SMARTFACTORY:2026-N-0120:1,[한국네트웍스] 2026년도 상생형 인공지능 전환(AX) 선도모델 구축지원 사업 공고,스마트공장 사업관리시스템,4,"subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 억 단위 금액이나 기업당/과제당 근거 부족 | 대표 금액 20% 이상 차이: 기존 150000만원, 새 300000만원",False,risk_reasons_present,150000.0,subsidy,subtract,10,300000.0,subsidy,subtract,0.5,최대 15억원,"금액 판단: 보조금 150,000만원 / 금액 표현: 최대 15억원 / 지원 방식: 컨설팅멘토링, 시험인증, 교육, 판로수출, 스마트공장"
PBLN_000000000119457,[경기] 평택시 2026년 장비 활용 지원사업 기업 모집 공고,경기도,4,subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 후보는 있으나 대표 후보 없음 | 기존 금액은 있으나 새 대표 금액 없음,False,risk_reasons_present,80.0,support_amount,subtract,9,,,,0.2,최대 80만원,"금액 판단: 금액 미기재 / 지원 방식: 현금지원, 공동장비, 기술개발, 시험인증, 판로수출, 스마트공장"
PBLN_000000000119518,[전북] 2026년 에너지산업융복합단지 공동연구장비 활용 및 컨설팅 지원 수혜기업 모집 공고,전북특별자치도,4,subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 후보는 있으나 대표 후보 없음 | 기존 금액은 있으나 새 대표 금액 없음,False,risk_reasons_present,250.0,support_amount,subtract,9,,,,1.0,최대 250만원,"금액 판단: 금액 미기재 / 지원 방식: 공동장비, 컨설팅멘토링, 기술개발, 시험인증"
PBLN_000000000120498,[경기] 화성시 2026년 GAP 안정성 분석 지원사업 신청 공고,경기도,4,"subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 기존 타입 subsidy -> 새 타입 support_amount | 대표 금액 20% 이상 차이: 기존 19만원, 새 24.4만원",False,risk_reasons_present,19.0,subsidy,subtract,9,24.4,support_amount,subtract,0.5,최대 19만원,"금액 판단: 금액 미기재 / 지원 방식: 현금지원, 공동장비, 기술개발, 시험인증, 판로수출, 스마트공장"
PBLN_000000000121191,2026년 산업 분야 온실가스 국제감축사업 공고,산업통상부,4,subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족,False,risk_reasons_present,1000000.0,support_amount,subtract,9,1000000.0,support_amount,subtract,0.5,최대 100억원,"금액 판단: 금액 미기재 / 지원 방식: 컨설팅멘토링, 기술개발, 시험인증, 판로수출, 에너지효율"
PBLN_000000000122820,2026년 한국형 ARPA-H 프로젝트 신규지원 대상과제 통합 공고,보건복지부,4,"subtract 금액이 10억원 이상 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 기존 타입 subsidy -> 새 타입 support_amount | 대표 금액 20% 이상 차이: 기존 1.93e+06만원, 새 450000만원",False,risk_reasons_present,1930000.0,subsidy,subtract,9,450000.0,support_amount,subtract,1.0,최대 193억원,"금액 판단: 금액 미기재 / 지원 방식: 기술개발, 시험인증, 교육"
