policy_id,title,organization,subtype,recommended_action,reason,fetch_status,source_kind,detail_text_length,attachment_text_length,raw_candidate_count,decision_reasons_ko,fetch_error,url
PBLN_000000000119234,2026년 안전관리 우수연구실 인증제 시행 공고,과학기술정보통신부,attachment_ocr_or_table_review,첨부 표/OCR 재파싱,첨부 텍스트는 있으나 금액 후보가 없음,fetched,url,1667,8107,0,금액 후보 자체를 찾지 못함,(과학기술정보통신부 공고 제2026-0260호) 2026년도 안전관리 우수연구실 인증제 시행 공고.pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/(%EA%B3%BC%ED%95%99%EA%B8%B0%EC%88%A0%EC%A0%95%EB%B3%B4%ED%86%B5%EC%8B%A0%EB%B6%80%20%EA%B3%B5%EA%B3%A0%20%EC%A0%9C2026-0260%ED%98%B8)%202026%EB%85%84%EB%8F%84%20%EC%95%88%EC%A0%84%EA%B4%80%EB%A6%AC%20%EC%9A%B0%EC%88%98%EC%97%B0%EA%B5%AC%EC%8B%A4%20%EC%9D%B8%EC%A6%9,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119234
PBLN_000000000119235,[부산] 2026년 AI실증지원센터 고성능 컴퓨터(HPC) 이용 지원사업 모집 공고,부산광역시,attachment_ocr_or_table_review,첨부 표/OCR 재파싱,첨부 텍스트는 있으나 금액 후보가 없음,fetched,url,2194,4262,0,금액 후보 자체를 찾지 못함,[모집공고] 고성능 컴퓨터(HPC) 이용 지원사업.hwp: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%5B%EB%AA%A8%EC%A7%91%EA%B3%B5%EA%B3%A0%5D%20%EA%B3%A0%EC%84%B1%EB%8A%A5%20%EC%BB%B4%ED%93%A8%ED%84%B0(HPC)%20%EC%9D%B4%EC%9A%A9%20%EC%A7%80%EC%9B%90%EC%82%AC%EC%97%85.hwp / 202603091014570414.hwp: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202603091014570414.hwp,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119235
PBLN_000000000119272,2026년 유니버설디자인리빙랩 제품 사용성조사 장비 공동활용 지원안내 공고 ,인천광역시,attachment_ocr_or_table_review,첨부 표/OCR 재파싱,첨부 텍스트는 있으나 금액 후보가 없음,fetched,url,2147,6782,0,금액 후보 자체를 찾지 못함,붙임3_모집포스터.pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%EB%B6%99%EC%9E%843_%EB%AA%A8%EC%A7%91%ED%8F%AC%EC%8A%A4%ED%84%B0.pdf / 202603091349120787.pdf: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202603091349120787.pdf / 202603091359140988.pdf: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202603091359140988.pdf,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119272
PBLN_000000000119584,2026년 광주테크노파크 공동활용 연구시설ㆍ장비 사용 안내 공고,전남광주통합특별시,attachment_ocr_or_table_review,첨부 표/OCR 재파싱,첨부 텍스트는 있으나 금액 후보가 없음,fetched,url,2127,13510,0,금액 후보 자체를 찾지 못함,붙임1.광주테크노파크공동활용장비사용안내공고문(안).pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%EB%B6%99%EC%9E%841.%EA%B4%91%EC%A3%BC%ED%85%8C%ED%81%AC%EB%85%B8%ED%8C%8C%ED%81%AC%EA%B3%B5%EB%8F%99%ED%99%9C%EC%9A%A9%EC%9E%A5%EB%B9%84%EC%82%AC%EC%9A%A9%EC%95%88%EB%82%B4%EA%B3%B5%EA%B3%A0%EB%AC%B8(%EC%95%88).pdf / 202603171316590422.pdf: 404 Client Error: Not Found for url: https://www.bi,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119584
PBLN_000000000119762,2026년 일터혁신 상생컨설팅 지원사업 기업 모집 공고,고용노동부,attachment_ocr_or_table_review,첨부 표/OCR 재파싱,첨부 텍스트는 있으나 금액 후보가 없음,fetched,url,2458,12071,0,금액 후보 자체를 찾지 못함,[KMAC] 2026 일터혁신 상생컨설팅 지원사업 브로셔 _ 26.03.10.pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%5BKMAC%5D%202026%20%EC%9D%BC%ED%84%B0%ED%98%81%EC%8B%A0%20%EC%83%81%EC%83%9D%EC%BB%A8%EC%84%A4%ED%8C%85%20%EC%A7%80%EC%9B%90%EC%82%AC%EC%97%85%20%EB%B8%8C%EB%A1%9C%EC%85%94%20_%2026.03.10.pdf / 202603201329150603.pdf: 404 Client Error: Not Found for url: https://www.bizinfo.go,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119762
PBLN_000000000120006,[서울] 2026년 노동환경개선컨설팅 사업 대상 모집 공고,서울특별시,support_type_filter_excluded,지원분류 필터 재검토,금액 후보는 있으나 지원 후보 타입으로 남지 않음,fetched,url,1609,2837,2,금액 후보는 있으나 대표금액을 선택하지 못함,공고문(2026-902 2026년 노동환경개선컨설팅).hwpx: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%EA%B3%B5%EA%B3%A0%EB%AC%B8(2026-902%202026%EB%85%84%20%EB%85%B8%EB%8F%99%ED%99%98%EA%B2%BD%EA%B0%9C%EC%84%A0%EC%BB%A8%EC%84%A4%ED%8C%85).hwpx / 202603261431410746.hwpx: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202603261431410746.hwpx,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120006
PBLN_000000000120113,중소기업 전파 공동엔지니어링랩 운영지원 사업 공고,과학기술정보통신부,attachment_ocr_or_table_review,첨부 표/OCR 재파싱,첨부 텍스트는 있으나 금액 후보가 없음,fetched,url,2398,1408,0,금액 후보 자체를 찾지 못함,중소기업 전파 공동엔지니어링랩 운영지원 사업_본문출력파일.hwp: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%EC%A4%91%EC%86%8C%EA%B8%B0%EC%97%85%20%EC%A0%84%ED%8C%8C%20%EA%B3%B5%EB%8F%99%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4%EB%A7%81%EB%9E%A9%20%EC%9A%B4%EC%98%81%EC%A7%80%EC%9B%90%20%EC%82%AC%EC%97%85_%EB%B3%B8%EB%AC%B8%EC%B6%9C%EB%A0%A5%ED%8C%8C%EC%9D%BC.hwp / 202603301322560545.hwp: 404 Client,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120113
PBLN_000000000120201,[경기] 포천시 2026년 신소재개발 프로그램 지원사업 모집 공고,경기도,support_type_filter_excluded,지원분류 필터 재검토,금액 후보는 있으나 지원 후보 타입으로 남지 않음,fetched,url,2190,2996,1,금액 후보는 있으나 대표금액을 선택하지 못함,(공고문)_2026년_포천시_신소재개발_프로그램_지원사업_모집공고_20260303.hwp: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/(%EA%B3%B5%EA%B3%A0%EB%AC%B8)_2026%EB%85%84_%ED%8F%AC%EC%B2%9C%EC%8B%9C_%EC%8B%A0%EC%86%8C%EC%9E%AC%EA%B0%9C%EB%B0%9C_%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%A8_%EC%A7%80%EC%9B%90%EC%82%AC%EC%97%85_%EB%AA%A8%EC%A7%91%EA%B3%B5%EA%B3%A0_20260303.hwp / 202603311456140531.hwp: 404 Cli,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120201
PBLN_000000000120215,2026년 산업ㆍ일자리전환 컨설팅 참여기업 모집 공고,고용노동부,attachment_ocr_or_table_review,첨부 표/OCR 재파싱,첨부 텍스트는 있으나 금액 후보가 없음,fetched,url,2276,6137,0,금액 후보 자체를 찾지 못함,202604011024120233.pdf: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202604011024120233.pdf / 202604011024150304.pdf: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202604011024150304.pdf / 리플릿_2026년 산업일자리전환 컨설팅_KSA.pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%EB%A6%AC%ED%94%8C%EB%A6%BF_2026%EB%85%84%20%EC%82%B0,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120215
PBLN_000000000120495,[강원] 2026년 수요기술 발굴 및 기술멘토링 지원사업 참여기업 모집 공고(전기차 충돌 후 배터리 핵심부품 안전성 확보 지원사업),강원특별자치도,support_type_filter_excluded,지원분류 필터 재검토,금액 후보는 있으나 지원 후보 타입으로 남지 않음,fetched,url,2110,5239,1,금액 후보는 있으나 대표금액을 선택하지 못함,(공고문) 전기·수소차 분야 수요기술 발굴 및 기술멘토링 지원사업.hwp: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/(%EA%B3%B5%EA%B3%A0%EB%AC%B8)%20%EC%A0%84%EA%B8%B0%C2%B7%EC%88%98%EC%86%8C%EC%B0%A8%20%EB%B6%84%EC%95%BC%20%EC%88%98%EC%9A%94%EA%B8%B0%EC%88%A0%20%EB%B0%9C%EA%B5%B4%20%EB%B0%8F%20%EA%B8%B0%EC%88%A0%EB%A9%98%ED%86%A0%EB%A7%81%20%EC%A7%80%EC%9B%90%EC%82%AC%EC%97%85.hwp / (신청서) 전기·수소차 분,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120495
PBLN_000000000120516,[부산] 2026년 지산학 브랜치 기업 현장솔루션 랩(lab) 참여 기업 모집 공고,부산광역시,attachment_ocr_or_table_review,첨부 표/OCR 재파싱,첨부 텍스트는 있으나 금액 후보가 없음,fetched,url,2153,10254,0,금액 후보 자체를 찾지 못함,(공고문)+현장솔루션+랩(lab)+참여기업+모집+공고.pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/(%EA%B3%B5%EA%B3%A0%EB%AC%B8)+%ED%98%84%EC%9E%A5%EC%86%94%EB%A3%A8%EC%85%98+%EB%9E%A9(lab)+%EC%B0%B8%EC%97%AC%EA%B8%B0%EC%97%85+%EB%AA%A8%EC%A7%91+%EA%B3%B5%EA%B3%A0.pdf / 202604071646300296.pdf: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202604071646300296.pdf,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120516
PBLN_000000000120527,2026년 스마트 전자약 종합지원센터 인허가 지원 기업 상시 모집 공고,보건복지부,support_type_filter_excluded,지원분류 필터 재검토,금액 후보는 있으나 지원 후보 타입으로 남지 않음,fetched,url,2005,5045,1,금액 후보는 있으나 대표금액을 선택하지 못함,붙임 1. 2026년 「스마트 전자약 사업화 종합지원센터」 인허가 지원 기업 상시 모집 공고문.pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%EB%B6%99%EC%9E%84%201.%202026%EB%85%84%20%E3%80%8C%EC%8A%A4%EB%A7%88%ED%8A%B8%20%EC%A0%84%EC%9E%90%EC%95%BD%20%EC%82%AC%EC%97%85%ED%99%94%20%EC%A2%85%ED%95%A9%EC%A7%80%EC%9B%90%EC%84%BC%ED%84%B0%E3%80%8D%20%EC%9D%B8%ED%97%88%EA%B0%80%20%EC%A7%80%EC%9B%90%20%EA%B8%B0%,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120527
PBLN_000000000120588,해양플랜트산업지원센터 보유 시험장비ㆍ교육시설 활용 지원사업 공고,해양수산부,attachment_ocr_or_table_review,첨부 표/OCR 재파싱,첨부 텍스트는 있으나 금액 후보가 없음,fetched,url,1906,5613,0,금액 후보 자체를 찾지 못함,[공고문]2026 해양플랜트산업지원센터 보유 시험장비-교육설비 활용지원사업.hwp: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%5B%EA%B3%B5%EA%B3%A0%EB%AC%B8%5D2026%20%ED%95%B4%EC%96%91%ED%94%8C%EB%9E%9C%ED%8A%B8%EC%82%B0%EC%97%85%EC%A7%80%EC%9B%90%EC%84%BC%ED%84%B0%20%EB%B3%B4%EC%9C%A0%20%EC%8B%9C%ED%97%98%EC%9E%A5%EB%B9%84-%EA%B5%90%EC%9C%A1%EC%84%A4%EB%B9%84%20%ED%99%9C%EC%9A%A9%EC%A7%80%EC%9B%90%EC%,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120588
PBLN_000000000120591,조선ㆍ해양 배관 및 시운전 장비 공동활용 지원 사업 모집 공고(선박해양플랜트연구소 해양플랜트산업지원센터 구축 장비 공동 활용 사업),해양수산부,attachment_ocr_or_table_review,첨부 표/OCR 재파싱,첨부 텍스트는 있으나 금액 후보가 없음,fetched,url,1620,12082,0,금액 후보 자체를 찾지 못함,[공고문]2026년 조선해양 배관 및 시운전(commissioning) 장비 공동활용 지원 사업.pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%5B%EA%B3%B5%EA%B3%A0%EB%AC%B8%5D2026%EB%85%84%20%EC%A1%B0%EC%84%A0%ED%95%B4%EC%96%91%20%EB%B0%B0%EA%B4%80%20%EB%B0%8F%20%EC%8B%9C%EC%9A%B4%EC%A0%84(commissioning)%20%EC%9E%A5%EB%B9%84%20%EA%B3%B5%EB%8F%99%ED%99%9C%EC%9A%A9%20%EC%A7%80%EC%9B%90%20%EC%82%AC%EC%97%85.p,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120591
PBLN_000000000120679,[인천] 2026년 시제품제작 장비 (3D 프린팅) 공동활용 지원 공고,인천광역시,attachment_ocr_or_table_review,첨부 표/OCR 재파싱,첨부 텍스트는 있으나 금액 후보가 없음,fetched,url,2324,1205,0,금액 후보 자체를 찾지 못함,붙임1_시제품제작장비지원_신청서.hwp: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%EB%B6%99%EC%9E%841_%EC%8B%9C%EC%A0%9C%ED%92%88%EC%A0%9C%EC%9E%91%EC%9E%A5%EB%B9%84%EC%A7%80%EC%9B%90_%EC%8B%A0%EC%B2%AD%EC%84%9C.hwp / 202604101420590968.hwp: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202604101420590968.hwp,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120679
PBLN_000000000120694,[충북] 2026년 수출기업 해외규격인증 취득 지원사업 참여기업 모집 공고,충청북도,attachment_ocr_or_table_review,첨부 표/OCR 재파싱,첨부 텍스트는 있으나 금액 후보가 없음,fetched,url,2210,15835,0,금액 후보 자체를 찾지 못함,2026 충북 수출기업 해외규격인증 취득 지원사업.pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/2026%20%EC%B6%A9%EB%B6%81%20%EC%88%98%EC%B6%9C%EA%B8%B0%EC%97%85%20%ED%95%B4%EC%99%B8%EA%B7%9C%EA%B2%A9%EC%9D%B8%EC%A6%9D%20%EC%B7%A8%EB%93%9D%20%EC%A7%80%EC%9B%90%EC%82%AC%EC%97%85.pdf / [붙임2] 2026 국가별 해외규격인증 지원대상 현황.pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/s,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120694
PBLN_000000000120871,[경북] 2026년 초거대 AI 기술 컨설팅 신규 대상기업 모집 공고(초거대 AI 클라우드 팜 실증 및 확산 환경 조성사업),경상북도,attachment_ocr_or_table_review,첨부 표/OCR 재파싱,첨부 텍스트는 있으나 금액 후보가 없음,fetched,url,2481,14839,0,금액 후보 자체를 찾지 못함,202604161631390912.pdf: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202604161631390912.pdf / 붙임 1. 2026년 초거대 AI 기술 컨설팅 신청서.pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%EB%B6%99%EC%9E%84%201.%202026%EB%85%84%20%EC%B4%88%EA%B1%B0%EB%8C%80%20AI%20%EA%B8%B0%EC%88%A0%20%EC%BB%A8%EC%84%A4%ED%8C%85%20%EC%8B%A0%EC%B2%AD%EC%84%9C.pdf / (모집공고문),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120871
PBLN_000000000121025,2026년 해양플랜트 서비스산업 엔지니어링 기술 지원 공고(해양플랜트 서비스산업 장비 공동활용 및 인력양성 사업),해양수산부,attachment_ocr_or_table_review,첨부 표/OCR 재파싱,첨부 텍스트는 있으나 금액 후보가 없음,fetched,url,1868,1221,0,금액 후보 자체를 찾지 못함,[공고문] 2026 엔지니어링 지원사업_공고문+.pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%5B%EA%B3%B5%EA%B3%A0%EB%AC%B8%5D%202026%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4%EB%A7%81%20%EC%A7%80%EC%9B%90%EC%82%AC%EC%97%85_%EA%B3%B5%EA%B3%A0%EB%AC%B8+.pdf / 202604201427570656.pdf: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202604201427570656.pdf,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121025
