policy_id,title,organization,amount_manual_review_required,amount_manual_review_category,amount_manual_review_category_ko,amount_manual_review_reason,amount_manual_review_status,old_amount_manwon,old_amount_actual,old_amount_type,new_amount_manwon,new_amount_actual,new_amount_type,review_source,review_note,selected_context,url
PBLN_000000000122492,[충남] 2026년 IP디딤돌 프로그램 창업자 후속지원 대상자 모집 공고,충청남도,False,keep_old_amount,기존값 유지,새 후보 문맥이 위험 패턴(risk_exclusion_or_threshold_selected)에 해당합니다.,reviewed,900.0,최대 900만원,support_amount,136.0,최대 136만원,support_amount,rule_adjudication,새 파싱 후보는 DB 대표금액에 반영하지 않고 기존값을 유지,"VAT 포함) 지원건수자부담후속지원 특허망 구축(국내출원) 1,360,000원 이내1인 3건 이내20%(면제 불가)PCT 출원 (*VAT 제외) 2",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122492
PBLN_000000000122501,2026년 디지털기반 중소사업장 산재예방 기술개발 지원사업 시행계획 공고,중소벤처기업부,False,keep_old_amount,기존값 유지,"새로운 최대 지원금액 6.6억원은 '6.6억원 이내 정부지원연구개발비 지원'으로 제시되었으나, 기존값 5억원은 '과제당 정부지원연구개발비 중 기업지원금액 합계가 5억원이상인 경우'라는 조건과 함께 제시되어 직접적인 비교가 어렵고, '청년인력 의무채용'과 관련된 내용으로 보여 대표 지원금액으로 채택하기에는 불확실성이 있습니다.",reviewed,50000.0,최대 5억원,subsidy,66000.0,최대 6.6억원,support_amount,gemini_second_review,새 파싱 후보는 DB 대표금액에 반영하지 않고 기존값을 유지,6.6억원 이내 정부지원연구개발비 지원,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122501
PBLN_000000000122968,2026년 2차 안전일터 조성지원 사업 수정 공고,고용노동부,False,keep_old_amount,기존값 유지,새 후보 문맥이 위험 패턴(risk_exclusion_or_threshold_selected)에 해당합니다.,reviewed,3000.0,"최대 3,000만원",subsidy,100000.0,최대 10억원,support_amount,rule_adjudication,새 파싱 후보는 DB 대표금액에 반영하지 않고 기존값을 유지,운영비 등 지원 제외 ㅇ (지원한도) 산업단지 또는 지식산업센터 당 최대 10억원 한도(공단 판단금액의 50% 지원),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122968
PBLN_000000000122997,[강원] 횡성군 2026년 2차 지식재산 첫걸음 지원사업 참여기업 모집 공고,강원특별자치도,False,keep_old_amount,기존값 유지,"새로운 후보 금액은 '특허맵(일반) 10,000 천원 이내'와 같이 개별 항목의 지원 한도로 보이며, 기존 공고의 '디자인) 권리화 지원 1) 지원대상: 횡성군 내 중소기업 2) 지원내용 및 규모 가) 기업당 연간 3건 이내 나) 총액의 90% [기업분담금(현금) : 10%] 구 분특허실용신안상표(브랜드)디자인지원금액(자부담 제외)130만원이내/건'에서 제시된 '130만원이내/건'이 기업 단위의 대표 지원금으로 더 명확해 보입니다.",reviewed,130.0,최대 130만원,subsidy,1000.0,"최대 1,000만원",support_amount,gemini_second_review,새 파싱 후보는 DB 대표금액에 반영하지 않고 기존값을 유지,"현물 15%적용 3) 지원내용 및 규모 구분세부지원내용지원단가 (지원금)지원한도특허특허맵(일반) 10,000 천원 이내기업당2건 이내특허기술 홍보영상 제작 9",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122997
PBLN_000000000122998,[강원] 영월군 2026년 2차 지식재산 첫걸음 지원사업 참여기업 모집 공고,강원특별자치도,False,keep_old_amount,기존값 유지,"새로운 후보 금액 1,000만원은 '특허맵(일반)' 항목의 지원한도로 보이며, 기존 130만원은 '디자인) 권리화 지원' 항목의 지원금액으로 명시되어 있어 서로 다른 항목을 지칭할 가능성이 높으므로 기존값을 유지하는 것이 안전합니다.",reviewed,130.0,최대 130만원,subsidy,1000.0,"최대 1,000만원",support_amount,gemini_second_review,새 파싱 후보는 DB 대표금액에 반영하지 않고 기존값을 유지,"현물 15% 적용 3) 지원내용 및 규모 氠瑢 구분 세부지원내용 지원단가 (지원금) 지원한도 특허 특허맵(일반) 10,000 천원 이내 기업당 2건 이내 특허기술 홍보영상 제작 9",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122998
PBLN_000000000123103,[전남광주] 로컬콘텐츠 기반 문화상품 개발 컨소시엄(공방&디자인기업) 모집 공고,전남광주통합특별시,False,keep_old_amount,기존값 유지,"새로운 파싱 후보 금액 800만원은 '과제당' 지원금으로 명시되어 있어, 기존의 최대 지원금 1000만원이 더 포괄적인 대표 금액으로 판단됩니다.",reviewed,1000.0,"최대 1,000만원",support_amount,800.0,최대 800만원,support_amount,gemini_second_review,새 파싱 후보는 DB 대표금액에 반영하지 않고 기존값을 유지,지식재산권 출원 등 - (상품개발) 과제당 8000천원 - (마케팅) 제품촬영 및 상세페이지 제작 등 온라인 판로를 위한 마케팅 지원 사업신청 방법 이메일 접수(yujeong@gdc,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123103
PBLN_000000000123154,2026년 3차 조선해양산업기술개발사업 신규지원 대상과제 공고,산업통상부,False,keep_old_amount,기존값 유지,"새로운 파싱 후보 금액 421억원 이내'는 '총 정부지원연구개발비'로 명시되어 있어 대표 지원금으로 보기 어렵고, 기존값 29.7억원 이내가 더 명확한 대표 지원금으로 판단됩니다.",reviewed,297000.0,최대 29.7억원,subsidy,4210000.0,최대 421억원,support_amount,gemini_second_review,새 파싱 후보는 DB 대표금액에 반영하지 않고 기존값을 유지,7억원 이내 (총 정부지원연구개발비 421억원 이내) ㅇ 주관연구개발기관 : 비영리기관 ㅇ 정부납부기술료 납부대상 여부 : 징수 관리번호 2026-3차-AI완전자율운항-02 산업기술분류 중,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123154
PBLN_000000000123158,2026년 3차 친환경양식어업육성 사업대상자 모집 재공고(품종별산업화시설지원-친환경개체굴생산지원),해양수산부,False,keep_old_amount,기존값 유지,새 후보 문맥이 위험 패턴(risk_exclusion_or_threshold_selected)에 해당합니다.,reviewed,100000.0,최대 10억원,subsidy,350000.0,최대 35억원,subsidy,rule_adjudication,새 파싱 후보는 DB 대표금액에 반영하지 않고 기존값을 유지,"000백만원)*2차공모선정액을제외한국비잔여사업비3,500백만원한도내모집ㅇ지원한도:시설 당 국비기준 최대 1",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123158
PBLN_000000000123188,[경북] 북부 2026년 3차 지식재산 긴급지원 사업 모집 공고,경상북도,False,keep_old_amount,기존값 유지,"새로운 파싱 후보 금액 900만원은 '특허기술홍보영상제작'과 같이 특정 항목에 대한 지원금으로 보이며, 기존 최대 지원금 420만원이 사업 전체의 대표 지원금으로 더 적합해 보입니다. 또한, 'limit_candidate_large_delta' 홀드 그룹에 속해 있어 신중한 검토가 필요합니다.",reviewed,420.0,최대 420만원,subsidy,900.0,최대 900만원,subsidy,gemini_second_review,새 파싱 후보는 DB 대표금액에 반영하지 않고 기존값을 유지,"해외출원비용 등을 지원 氠瑢 구분 세부 사업명 정부지원금 규모 분담금 특 허 특허기술홍보영상제작 9,000천원 이내 40% (현금20%+현물20%) 단",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123188
PBLN_000000000123205,[경기] 안양시 2026년 하반기 국내외 IP 출원 및 인증 지원사업 모집 공고,경기도,False,keep_old_amount,기존값 유지,새 후보 문맥이 위험 패턴(risk_revenue_condition_selected)에 해당합니다.,reviewed,400.0,최대 400만원,support_amount,2000000.0,최대 200억원,support_amount,rule_adjudication,새 파싱 후보는 DB 대표금액에 반영하지 않고 기존값을 유지,아래 요건을 모두 충족하는 기업 ① 소재지 : 안양시 소재 (본사 또는 공장) 중소ㆍ벤처기업 (사업자등록 기준) ② 매출액 : 재무제표 최근 3년 평균 매출액 200억 이하 (상장사ㆍ중견기업 제외) ☞ 국내외 IP 출원 소요비용의 80% 지원,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123205
PBLN_000000000123210,2026년 2차 국가표준기술력향상사업 신규지원 대상과제 공고,산업통상부,False,keep_old_amount,기존값 유지,"새로운 파싱 후보 금액이 기존 금액과 비교하여 매우 큰 차이를 보이며, '총정부지원연구개발비'와 같은 누적 또는 총액을 나타내는 표현이 포함되어 있어 대표 지원금으로 채택하기 어렵습니다.",reviewed,7000.0,"최대 7,000만원",subsidy,59850000.0,최대 5985억원,support_amount,gemini_second_review,새 파싱 후보는 DB 대표금액에 반영하지 않고 기존값을 유지,855억원이내(총정부지원연구개발비5.985억원이내)ㅇ단계구분:1단계(1~2차년도),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123210
PBLN_000000000123247,[경남] 고성군 2026년 3차 시군구연고산업육성사업 지원기업 모집 공고,중소벤처기업부,False,keep_old_amount,기존값 유지,새 후보 문맥이 위험 패턴(risk_exclusion_or_threshold_selected)에 해당합니다.,reviewed,3630.0,"최대 3,630만원",support_amount,2500.0,"최대 2,500만원",support_amount,rule_adjudication,새 파싱 후보는 DB 대표금액에 반영하지 않고 기존값을 유지,기업 자부담 비율은 부가세 제외 금액에 대한 자부담 비율임 □ 지원방법 : ㅇ (지원 금액) 기업별 신청서 및 사업계획서에 따라 프로그램별 최대 지원금액 내 지원 * 지원 프로그램에 따라 지원 금액의 10% 기업 자부담 매칭 필수 * 예시 : 지원금 25백만원 + 기업부담금(10%) 2,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123247
PBLN_000000000123261,[인천] 2026년 우수디자인 시제품개발지원사업 모집 공고,인천광역시,False,keep_old_amount,기존값 유지,새 후보 문맥이 위험 패턴(risk_exclusion_or_threshold_selected)에 해당합니다.,reviewed,290.0,최대 290만원,support_amount,2500.0,"최대 2,500만원",support_amount,rule_adjudication,새 파싱 후보는 DB 대표금액에 반영하지 않고 기존값을 유지,"개발비용 : 부가세를 제외한 공급가액 최대 2,500만원 한도 워킹목업제작 최대 800만원 한도 2) 타지역 소재 제작기업 매칭 과제 氠瑢 개발분야 지원비율 지원금액 금형제작 개발비용의 70%",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123261
PBLN_000000000123371,[경남] 사천시ㆍ진주시 2026년 2차 우주ㆍ항공 제조기업 대상 DX 기반 품질ㆍ공정 개선 및 생산성 향상을 위한 무료 컨설팅 및 전문인력양성 지원사업 공고,산업통상부,False,keep_old_amount,기존값 유지,"새로운 700만원은 우수 성과 도출 기업에 한해 추가 지원되는 재료비로, 기존 1500만원이 컨설팅 자문료 및 재료비를 포함한 총 지원금으로 보이며, 두 금액의 성격이 달라 기존값을 유지하는 것이 안전함.",reviewed,1500.0,"최대 1,500만원",support_amount,700.0,최대 700만원,support_amount,gemini_second_review,새 파싱 후보는 DB 대표금액에 반영하지 않고 기존값을 유지,일부 우수 성과 도출 기업에 한해 재료비 최대 700만원 추가 지원 (예산 소진 시 조기 마감),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123371
PBLN_000000000123421,"2026년 중소기업기술혁신개발사업 글로벌선도기술개발(함께달리기, 이어달리기) 시행계획 공고",중소벤처기업부,False,keep_old_amount,기존값 유지,"새 파싱 후보 금액은 '연차별 최대 5억원 이내'로, 이는 사업 전체의 최대 지원금인 기존값 10억원보다 하위 조건으로 판단되어 기존값을 유지하는 것이 더 안전합니다.",reviewed,100000.0,최대 10억원,subsidy,50000.0,최대 5억원,support_amount,gemini_second_review,새 파싱 후보는 DB 대표금액에 반영하지 않고 기존값을 유지,접수 결과에 따라 추가공고 가능 □ (지원조건) 연구개발비의 65%이내 (연차별 최대 5억원 이내) 내역 사업 개발기간 및 지원한도 정부지원 연구개발비 비중 * 지원방식 수출지향형 함께달리기 최대 2년,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123421
PBLN_000000000123459,[경북] 2026년 4차 푸드테크 스마트 제조 기반 구축 사업 재공고,경상북도,False,keep_old_amount,기존값 유지,"새로운 후보 금액은 융자 지원금으로, 기존의 직접 지원금액과는 성격이 다르므로 기존값을 유지하는 것이 안전합니다.",reviewed,4500.0,"최대 4,500만원",support_amount,80000.0,최대 8억원,loan,gemini_second_review,새 파싱 후보는 DB 대표금액에 반영하지 않고 기존값을 유지,"체 등 생산설비에 소요되는 자금 장기저리, 융자 지원 * 금리 2.5%(변동), 8억원(시설)/3년거치, 5년 균등분할 * 사업장 신축 및 부지매입비, 공장매입비, 사",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123459
PBLN_000000000123468,2026년 에너지신산업 개방형 혁신생태계 OpenLAB 조성사업 기업지원사업 수혜기업모집 공고,산업통상부,False,keep_old_amount,기존값 유지,"새로운 파싱 후보 금액은 '최대 3,000만원'으로 기존 '최대 8,700만원'보다 현저히 낮으며, 'limit_candidate_large_delta'라는 홀드 그룹과 'likely_new_limit_candidate' 패턴으로 인해 기존 최대 지원금액을 유지하는 것이 더 안전하다고 판단됩니다.",reviewed,8700.0,"최대 8,700만원",support_amount,3000.0,"최대 3,000만원",support_amount,gemini_second_review,새 파싱 후보는 DB 대표금액에 반영하지 않고 기존값을 유지,"/ 최대 30,000천원 이내 지원",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123468
PBLN_000000000123512,[경북] 2026년 지역 연계 미드폼 제작지원 사업 공고(경북콘텐츠코리아랩 운영사업),경상북도,False,keep_old_amount,기존값 유지,새 후보 문맥이 위험 패턴(risk_total_or_cumulative_selected)에 해당합니다.,reviewed,1000.0,"최대 1,000만원",support_amount,18800.0,최대 1.9억원,support_amount,rule_adjudication,새 파싱 후보는 DB 대표금액에 반영하지 않고 기존값을 유지,"각 편의 주요 내용 및 전개가 포함되도록 작성 氠瑢 慤桥 지역 연계 미드폼 제작지원 지원금 활용계획서 [서식 3] 지원금 활용계획서 氠瑢 총 지원금 188,000,000원 氠瑢 비목 세목 세세목 비율 집 행 목 적 산 출 내 역 금액(원) 인건비 보수 보수 7",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123512
PBLN_000000000123520,[제주] 2026년 2차 지역기업 성장사다리 지원사업 공고,중소벤처기업부,False,keep_old_amount,기존값 유지,새 후보 문맥이 위험 패턴(risk_revenue_condition_selected)에 해당합니다.,reviewed,5000.0,"최대 5,000만원",support_amount,600000.0,최대 60억원,support_amount,rule_adjudication,새 파싱 후보는 DB 대표금액에 반영하지 않고 기존값을 유지,지원금의 10% 이상 기업부담금 설정 ◦ (지원대상) 제주스타기업 9개사 또는 예비선도기업(신규)지원프로그램지원대상대상자격기업수기업당 지원금액지역스타기업지원제주지역스타기업제주스타기업 (`22년 지정기업 9개사)2개사 내외40백만원 이내예비선도기업지원예비선도기업전년도 매출액 60억 이상1개사 내외,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123520
PBLN_000000000123549,[경기] 용인시 제2차 반도체기업 기술보호 지원사업 모집 공고,경기도,False,keep_old_amount,기존값 유지,새 후보 문맥이 위험 패턴(risk_exclusion_or_threshold_selected)에 해당합니다.,reviewed,2000.0,"최대 2,000만원",support_amount,3000.0,"최대 3,000만원",support_amount,rule_adjudication,새 파싱 후보는 DB 대표금액에 반영하지 않고 기존값을 유지,2천만 원 이상 사업에 추가 지원 불가 (빨간색 표기) ex) A사업 선정(지원금 2천만원) → B사업(지원금 3천만원) 신청 불가,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123549
PBLN_000000000123622,[전북] 2026년 전주1인창조기업지원센터 선택형 지원사업 공고,전북특별자치도,False,keep_old_amount,기존값 유지,"새로운 최대 지원금액 500만원은 졸업기업의 특정 분야 지원금액 100만원과 함께 언급되어 있어 일반적인 최대 지원금액으로 보기 어렵고, 기존 최대 지원금액 400만원이 시제품 제작 및 마케팅 지원의 최대 금액으로 명확하게 제시되어 있어 기존값을 유지하는 것이 안전함.",reviewed,400.0,최대 400만원,support_amount,500.0,최대 500만원,support_amount,gemini_second_review,새 파싱 후보는 DB 대표금액에 반영하지 않고 기존값을 유지,졸업기업은 [지식재산권획득] 분야만 신청 가능 ☞ 총 11개 과제 내외 사업화 지원금 입주기업 당 최대 5백만원 - 졸업기업 [지식재산권획득] 분야 최대 1백만원,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123622
