policy_id,title,organization,payload_source,raw_candidate_count,support_candidate_count,excluded_candidate_count,selected_amount_manwon,max_amount_numeric_manwon,max_amount_type,roi_apply_method,support_ratio,status,support_candidate_summary,excluded_type_summary,decision,decision_reasons,url
PBLN_000000000117056,[경기] 부천시 2026년 내일채움공제 지원 계획 공고,경기도,json_only_review,8,2,6,,,unknown,review,,후보 검수 필요,7.0만원/support_amount/subtract: ☞ 부천시 소재 중소제조기업 ☞ 가입인원 1명당 월 기업부담금 7만원 지원 - 기업당 최대 3명까지 지원(기존ㆍ신규가입 포함) || 34.0만원/support_amount/subtract: 납부 시까지 지원금 지급 유보 〇 납입금액 : 월 34만원 이상 (핵심인력 : 중소기업 = 1 : 2 이상),self_funding:7.0 | unknown:10.0 | unknown:24.0 | unknown:17.0 | unknown:7.0 | unknown:1224.0,needs_review,large_amount_delta,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117056
PBLN_000000000117066,장애인고용개선장려금 사업 공고,고용노동부,json_only_review,3,1,2,,,unknown,review,0.6,후보 검수 필요,None만원/support_ratio/ratio_cap: 장애인고용개선장려금 사업 공고 고용노동부 기업마당>정책정보>지원사업 공고 기업마당 본문 바로가기 주메뉴 바로가기 기업마당 > 정책정보 > 지원사업 공고 메뉴열기 로그인 정책정보 정책정보 지원사업 공고 품목별 법정의무 인증제도 행사정보 정책뉴스 입법·행정예고/고시 월간 중기누리 활용정보 활용정보 기업업무용 서식 입주기업 모,unknown:35.0 | unknown:45.0,needs_review,selected_candidate_missing,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117066
PBLN_000000000117291,2026년 한국식품산업클러스터진흥원 기업지원시설ㆍ장비 활용 지원사업 공고,농림축산식품부,json_only_review,3,3,0,,,unknown,review,0.2,후보 검수 필요,2000.0만원/total_support_scale/review: (수) ∼ 지원금 소진시까지 □ 사업비 지원규모: 기업별 최대 20백만원 □ 사업비 구성: 지원금 70~20% || 25000.0만원/equipment_usage_fee/recommend_only: 간접 지원 氠瑢 氠瑢 농림축산식품부 정책수립 및 예산 지원 한국식품산업클러스터진흥원 사업 기획 및 관리 지원유형❶ 지원유형❷ 신청기업 식품진흥원 신청기업 식품진흥원 기술/생산장비 공동활용 시험‧분석 의뢰 시험‧분석 결과 제공 氠瑢 2 공고 개요 □ 공고규모: 예산 2.5억원 이내 □ 공고기간: 2026 || None만원/support_ratio/ratio_cap: 2026년 한국식품산업클러스터진흥원 기업지원시설ㆍ장비 활용 지원사업 공고 농림축산식품부 기업마당>정책정보>지원사업 공고 기업마당 본문 바로가기 주메뉴 바로가기 기업마당 > 정책정보 > 지원사업 공고 메뉴열기 로그인 정책정보 정책정보 지원사업 공고 품목별 법정의무 인증제도 행사정보 정책뉴스 입법·행정예고/고시 월간 중기누리,,needs_review,selected_candidate_missing,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117291
PBLN_000000000117307,[인천] 2026년 가상융합산업 콘텐츠 제작 장비 임차지원 공고(인천 가상융합산업 혁신센터),인천광역시,support_ratio_ready,1,1,0,,,support_ratio,ratio_cap,1.0,비율 확인,None만원/support_ratio/ratio_cap: [인천] 2026년 가상융합산업 콘텐츠 제작 장비 임차지원 공고(인천 가상융합산업 혁신센터) 인천광역시 기업마당>정책정보>지원사업 공고 기업마당 본문 바로가기 주메뉴 바로가기 기업마당 > 정책정보 > 지원사업 공고 메뉴열기 로그인 정책정보 정책정보 지원사업 공고 품목별 법정의무 인증제도 행사정보 정책뉴스 입법·행정예고/고,,needs_review,selected_candidate_missing,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117307
PBLN_000000000117454,[강원] 2026년 글로벌 IP 스타기업 육성 해외OA비용 지원사업 공고,강원특별자치도,json_only_review,12,2,10,,,unknown,review,,후보 검수 필요,"410.0만원/support_amount/subtract: 싱가폴 氠瑢 구분 세부사업명 지원한도 지원내용 전체 지원금 기업부담금 (현금) 해외 OA 비용 지원 미 국 4,100천원 2 || 200.0만원/support_amount/subtract: 지원 유 럽 3,500천원 2,100천원 이내 1,400천원 중국·일본·특수국 2,000천원 1,200천원 이내 800천원 기 타 1,300천원 780천원 이내 520천원",unknown:246.0 | unknown:164.0 | unknown:350.0 | unknown:210.0 | unknown:140.0 | unknown:120.0 | unknown:80.0 | self_funding:130.0,needs_review,large_amount_delta,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117454
PBLN_000000000117463,[강원] 2026년 글로벌 IP 스타기업 육성 해외등록비용 지원사업 공고,강원특별자치도,json_only_review,9,3,6,,,unknown,review,,후보 검수 필요,"360.0만원/total_support_scale/review: 지원규모 氠瑢 구분 세부사업명 지원한도 지원내용 전체 지원금 기업부담금 (현금) 해외 등록 비용 지원 미 국 3,600천원 2 || 120.0만원/total_support_scale/review: 000천원 1,200천원 이내 800천원 * 자부담금 : 현금 40% * 지원규모는 변경될 수 있으며 || 80.0만원/total_support_scale/review: 200천원 이내 800천원 * 자부담금 : 현금 40% * 지원규모는 변경될 수 있으며",unknown:216.0 | unknown:144.0 | unknown:530.0 | unknown:318.0 | unknown:212.0 | unknown:200.0,needs_review,selected_candidate_missing,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117463
PBLN_000000000117481,전북바이오융합교육센터 재직자 교육 훈련생ㆍ기업 모집 공고(국가인적자원개발컨소시엄),전북특별자치도,json_only_review,2,2,0,,,unknown,review,1.0,후보 검수 필요,100.0만원/education_fee/recommend_only: 강사료는 교육센터 강사료 지급기준에 따라 차등 지급(1일 최대 1백만원) || None만원/support_ratio/ratio_cap: 전북바이오융합교육센터 재직자 교육 훈련생ㆍ기업 모집 공고(국가인적자원개발컨소시엄) 전북특별자치도 기업마당>정책정보>지원사업 공고 기업마당 본문 바로가기 주메뉴 바로가기 기업마당 > 정책정보 > 지원사업 공고 메뉴열기 로그인 정책정보 정책정보 지원사업 공고 품목별 법정의무 인증제도 행사정보 정책뉴스 입법·행정예고/고시 월간,,needs_review,selected_candidate_missing,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117481
PBLN_000000000117557,[충북] 충주시 2026년 기술평가 인증 수수료 지원사업 공고,충청북도,no_support_candidate,0,0,0,,,unknown,review,,후보 없음,,,needs_review,candidate_missing,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117557
PBLN_000000000117563,2026년 중소기업 매출채권팩토링 지원계획 공고,중소벤처기업부,json_only_review,10,4,6,,,unknown,review,,후보 검수 필요,5900000.0만원/support_amount/subtract: 구매기업과 1년이상 거래 실적(최근 1년 내 3회이상)을 보유하고 있는 판매기업 - 대상채권 : 중소기업이 물품ㆍ용역을 제공하여 발생한 매출채권 ☞ 매출채권팩토링 지원 (예산규모 590억원) - 팩토링 한도 : 연간 한도 판매기업 10억원 || 100000.0만원/support_amount/subtract: 구매기업과 1년이상 거래 실적(최근 1년 내 3회이상)을 보유하고 있는 판매기업 - 대상채권 : 중소기업이 물품ㆍ용역을 제공하여 발생한 매출채권 ☞ 매출채권팩토링 지원 (예산규모 590억원) - 팩토링 한도 : 연간 한도 판매기업 10억원 || 1000.0만원/support_amount/subtract: 지원절차 ② 참고)ㅇ대상채권:중소기업이 물품･ 용역을 제공하여 발생한 매출채권* * 신청일로부터 62일 이내 작성되어 국세청에 전송된 10백만원 이상의 전자(세금)계산서 * 대표자가 동일한 기업 간 거래에서 발생한 매출채권 등은 지원대상에서 제외◦예산규모:590억원(’26년) 나 || 5900000.0만원/support_amount/subtract: 지원절차 ② 참고)ㅇ대상채권:중소기업이 물품･ 용역을 제공하여 발생한 매출채권* * 신청일로부터 62일 이내 작성되어 국세청에 전송된 10백만원 이상의 전자(세금)계산서 * 대표자가 동일한 기업 간 거래에서 발생한 매출채권 등은 지원대상에서 제외◦예산규모:590억원(’26년) 나,unknown:300000.0 | unknown:100000.0 | revenue_condition:300000.0 | unknown:100000.0 | unknown:2000000.0 | unknown:7000000.0,needs_review,large_amount_delta,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117563
PBLN_000000000117643,2026년 예산군 로케이션 인센티브 제작지원 사업 공고,충청남도,amount_update_ready,3,2,1,6000.0,6000.0,support_amount,subtract,0.5,확정,"6000.0만원/support_amount/subtract: 온라인 플랫폼 등 방영이 확정된 작품 ☞ 예산군 내 2지역 이상 촬영 시 예산군 내 소비금액의 50%환급 지원(최대 60,000,000원) 사업신청 방법 온라인 접수(충남콘텐츠진흥원) 사업신청 사이트 온라인신청 바로가기 문의처 충남콘텐츠진흥원 로케이션 인센티브 담당자 041-59 || 6000.0만원/support_amount/subtract: 배급‧편성 계약서 제출필수(배급‧편성 의향서로 대체 가능) m 지원내용조 건 환급지원 적용 최대지원금예산군 내 2지역 이상 촬영예산군 내 소비금액의 50% 환급(원단위 절사) 60,000,000원- 지원금은 정산 완료 순으로 지급되며 예산 소진 시 사업이 조기 종료될 수 있음- 프로덕션 비용에 한하여 지원금은 부가세를 제",unknown:6000.0,safe,clear_selected_candidate,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117643
PBLN_000000000117654,[강원] 2026년 중소ㆍ벤처기업 투자이음 강화 프로그램 참여기업 연중 상시접수 공고(강원 벤처투자 생태계 조성사업),강원특별자치도,no_support_candidate,3,0,3,,,unknown,review,,후보 없음,,unknown:650000.0 | unknown:280000.0 | unknown:340000.0,needs_review,selected_candidate_missing,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117654
PBLN_000000000117668,[인천] 2026년 기술거래촉진네트워크사업(인천기술전환플랫폼) 기술이전 및 기술수요조사서 신청 공고,인천광역시,no_support_candidate,0,0,0,,,unknown,review,,후보 없음,,,needs_review,candidate_missing,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117668
