policy_id,title,organization,amount_manual_review_required,amount_manual_review_category,amount_manual_review_category_ko,amount_manual_review_reason,amount_manual_review_status,candidate_types,support_candidate_count,candidate_summary,manual_review_decision,manual_selected_amount_manwon,manual_selected_amount_type,manual_roi_apply_method,manual_evidence,manual_note,url
PBLN_000000000117671,[인천] 서구 2026년 제품인증획득 지원사업 신청 공고,인천광역시,True,recommend_only_payload,비현금/수수료/컨설팅성,비현금/수수료/컨설팅성 지원이라 ROI 직접 차감은 불가,pending,consulting_fee:4 | non_cash:3,7,500.0만원/consulting_fee/recommend_only: 시험비 및 컨설팅비 등 기업당 300 ~ 500만원 범위내 지원 사업신청 방법 온라인 접수 (비즈오케이 홈페이지) 사업신청 사이트 온라인신청 바로가기 문의처 인천광역시 서구청 기업지원과 032- || 100.0만원/consulting_fee/recommend_only: 한도가 남을 시 100만원 범위내에서 컨설팅비를 지원함 || 500.0만원/consulting_fee/recommend_only: 시험비 및 컨설팅비 등 기업당 300 ~ 500만원 범위내 지원(VAT는 기업부담) 氠瑢 인 증 구 분 지원범위 지 원 금 액 신기술인증(NET) || 500.0만원/consulting_fee/recommend_only: 컨설팅비 기업당 500만원 범위내 CE || 400.0만원/non_cash/recommend_only: FDA 등 해외 제품인증 기업당 400만원 범위내 KC || 300.0만원/non_cash/recommend_only: Q마크 등 국내 제품인증 기업당 300만원 범위내 󰏚 지원대상 및 신청 || 1000000.0만원/non_cash/recommend_only: 가좌동 ❍ 제외대상 - 인증획득한 제품이 수입품인 기업 - 최근 결산년도 매출액이 100억원 이상인 기업 - 신청일 기준 국세,,,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117671
PBLN_000000000117688,[인천] 서구(검단지역) 2026년 제품인증획득 지원사업 신청 공고,인천광역시,True,recommend_only_payload,비현금/수수료/컨설팅성,비현금/수수료/컨설팅성 지원이라 ROI 직접 차감은 불가,pending,consulting_fee:4 | non_cash:3,7,500.0만원/consulting_fee/recommend_only: 시험비 및 컨설팅비 등 기업당 300 ~ 500만원 범위내 지원 사업신청 방법 온라인 접수 (비즈오케이 홈페이지) 사업신청 사이트 온라인신청 바로가기 문의처 인천광역시 서구청 기업지원과 032- || 100.0만원/consulting_fee/recommend_only: 한도가 남을 시 100만원 범위내에서 컨설팅비를 지원함 || 500.0만원/consulting_fee/recommend_only: 시험비 및 컨설팅비 등 기업당 300 ~ 500만원 범위내 지원(VAT는 기업부담) 氠瑢 인 증 구 분 지원범위 지 원 금 액 신기술인증(NET) || 500.0만원/consulting_fee/recommend_only: 컨설팅비 기업당 500만원 범위내 CE || 400.0만원/non_cash/recommend_only: FDA 등 해외 제품인증 기업당 400만원 범위내 KC || 300.0만원/non_cash/recommend_only: Q마크 등 국내 제품인증 기업당 300만원 범위내 󰏚 지원대상 및 신청 || 1000000.0만원/non_cash/recommend_only: 백석동 ❍ 제외대상 - 인증획득한 제품이 수입품인 기업 - 최근 결산년도 매출액이 100억원 이상인 기업 - 신청일 기준 국세,,,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117688
PBLN_000000000117794,[경북] 2026년 중소기업 정부기술개발공모사업 선정지원 참여기업 모집 공고,경상북도,True,recommend_only_payload,비현금/수수료/컨설팅성,비현금/수수료/컨설팅성 지원이라 ROI 직접 차감은 불가,pending,consulting_fee:6,6,30.0만원/consulting_fee/recommend_only: / 5회 中 선택 牭景 기획 컨설팅(기업부담금 30만원) || 50.0만원/consulting_fee/recommend_only: 주관기관 운영프로그램 참여 시 지원 牭景 발표평가 컨설팅 牭景 모의발표평가 牭景 재도전 컨설팅 牭景 차년도 R&D 컨설팅(기업부담금 50만원) || 150.0만원/consulting_fee/recommend_only: 사업계획서 작성방법 컨설팅 등 결 과 물: 컨설팅 일지 150 만원 漠杳 신청서 접수  漠杳 기업 현장점검  漠杳 승인 통보  漠杳 전문가 매칭  漠杳 컨설팅 진행  漠杳 결과보고서 제출  漠杳 사업 || 90.0만원/consulting_fee/recommend_only: 발표스킬 제고를 위한 컨설팅 결 과 물: 컨설팅 일지 90 만원 (필독) R&D사업 1차 선정 된 기업만 신청 가능 모의발표 평가 지원대상: R&D사업 1차 선정기업 지원내용: 사전질의서 작성 결 과 물: || 30.0만원/consulting_fee/recommend_only: 사전질의서 30 만원 재도전 지원대상: R&D사업 탈락기업 지원내용: 탈락사유에 대한 보완 컨설팅 결 과 물: 컨설팅 일지 90 만원 차년도 R&D컨설팅 (15건 || 90.0만원/consulting_fee/recommend_only: 사전질의서 30 만원 재도전 지원대상: R&D사업 탈락기업 지원내용: 탈락사유에 대한 보완 컨설팅 결 과 물: 컨설팅 일지 90 만원 차년도 R&D컨설팅 (15건 내외) 지원대상: 차년도 R&D사업 신청예정 기업 지원내용: 공급기업을 통한 사업계획서 작성 지원 결 과 물: 컨,,,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117794
PBLN_000000000117942,[경남] 창원시 2026년 지식재산진흥 지원사업 기업 모집 공고,경상남도,True,manual_representative_recoverable,대표금액 회수 가능 후보,현금성/바우처 후보가 있어 수기검수로 대표금액 회수 가능,pending,fee:2 | subsidy:1 | support_ratio:1,4,"3000.0만원/subsidy/subtract: 경찰 등 수사기관에서 조사나 수사 중인 기업으로서 비위의 정도가 중대하고 이로 인하여 정상적인 과제수행을 기대하기 현저히 어려운 기업 □ 중복지원 제한 요건 ▸당해년도 창원산업진흥원 보조금 지원사업(지원금 3,000만원 이상) 2개 초과 수행 중 상기 내용이 사실임을 확인하며 || 100.0만원/fee/review: 선행기술조사 : 국내권리화 지원 시 함께 지원 가능 (선행기술조사 단독지원 불가) ▪지원규모구분지원분야지원내역지원한도(VAT 제외)접수1국내권리화발생수수료의80%이내 지원100만원상 시(사업비 소진시까지)2선행기술조사50만원 ▪지원기준 - 2026 || 50.0만원/fee/review: 선행기술조사 : 국내권리화 지원 시 함께 지원 가능 (선행기술조사 단독지원 불가) ▪지원규모구분지원분야지원내역지원한도(VAT 제외)접수1국내권리화발생수수료의80%이내 지원100만원상 시(사업비 소진시까지)2선행기술조사50만원 ▪지원기준 - 2026 || None만원/support_ratio/ratio_cap: [경남] 창원시 2026년 지식재산진흥 지원사업 기업 모집 공고 경상남도 기업마당>정책정보>지원사업 공고 기업마당 본문 바로가기 주메뉴 바로가기 기업마당 > 정책정보 > 지원사업 공고 메뉴열기 로그인 정책정보 정책정보 지원사업 공고 품목별 법정의무 인증제도 행사정보 정책뉴스 입법·행정예고/고시 월간 중기누리 활용정보 활용정보 기업업무용 서식 입주기업 모집공고 온라인화상회의실 정책정보 개방 속",,,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117942
PBLN_000000000117992,2026년 나눔장비 이전지원사업 모집 공고,과학기술정보통신부,True,manual_representative_recoverable,대표금액 회수 가능 후보,현금성/바우처 후보가 있어 수기검수로 대표금액 회수 가능,pending,equipment_usage_fee:1 | support_amount:1 | total_support_scale:1,3,6000.0만원/equipment_usage_fee/recommend_only: 연구개발 또는 국산 장비개발 관련 중소기업 등 ☞ 연구장비 이전ㆍ설치에 소요되는 비용 장비 당 취득금액의 20% 이내(최대 6천만원) 지원 사업신청 방법 온라인 접수 (ZEUS 장비활용종합포털 나눔터) || 6000.0만원/total_support_scale/review: 설치 시 발생하는 비용 - [장비수리비] 연구장비의 이전 후 사용에 필요한 수리 비용(소모품비 제외) ◌ 지원규모 : 장비 당 취득금액의 20% 이내(최대 6천만원) 지원 || 3000.0만원/support_amount/subtract: 여러 중소기업에 골고루 혜택을 제공하기 위해 1개 기업당 10개 이하 장비(취득금액 3천만원 이상)로 이전지원을 제한하는 ｢나눔장비 총량제｣ 실시 氠瑢 연구개발 또는 국산 장비개발 관련 중소기업 필수 서류 가,,,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117992
PBLN_000000000118006,2026년 스마트공장 수준확인 사업 공고,중소벤처기업부,True,mixed_manual_review,혼합 수기검수,지원 후보가 혼합되어 대표금액/적용방식 수기확인 필요,pending,consulting_fee:1 | support_ratio:1,2,"200000.0만원/consulting_fee/recommend_only: 중견 제조기업의 자발적인 스마트공장 구축 및 고도화를 촉진하기 위한 스마트화 수준진단을 지원◦(사업 규모)2,000백만 원(수준확인 2 || None만원/support_ratio/ratio_cap: 2026년 스마트공장 수준확인 사업 공고 중소벤처기업부 기업마당>정책정보>지원사업 공고 기업마당 본문 바로가기 주메뉴 바로가기 기업마당 > 정책정보 > 지원사업 공고 메뉴열기 로그인 정책정보 정책정보 지원사업 공고 품목별 법정의무 인증제도 행사정보 정책뉴스 입법·행정예고/고시 월간 중기누리 활용정보 활용정보 기업업무용 서식 입주기업 모집공고 온라인화상회의실 정책정보 개방 속보성 대시보드 고객",,,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118006
PBLN_000000000118027,2026년 KOLAS 공인 제품인증 서비스 바우처 지원사업 참가 희망기업 모집 공고,부산광역시,True,mixed_manual_review,혼합 수기검수,지원 후보가 혼합되어 대표금액/적용방식 수기확인 필요,pending,equipment_usage_fee:1 | non_cash:6 | support_ratio:1,8,80.0만원/equipment_usage_fee/recommend_only: / 기타) 2인 출장비 (재)부산테크노파크 여비 규정에 따름(관내 지역 시 제외) 2인 시험 수수료 위탁 시험기관 의뢰시험검사 업무규정에 따름 제품별 상이 인증마크 제작 수수료 신청제품의 수량 × 제작단가 협의 인증수수료(마크 사용료) 신청제품의 수량 × 신청제품의 개별단가 × 약정요율* 최소금액 80만원 인증서 발급 수수료 500 || 80.0만원/non_cash/recommend_only: 최소금액은 80만원으로 한다) 氠瑢 인증제품의 연간 매출액 3억 이하 15억 이하 30억 이하 50억 이하 50억 초과 약정요율 0 || 30000.0만원/non_cash/recommend_only: 최소금액은 80만원으로 한다) 氠瑢 인증제품의 연간 매출액 3억 이하 15억 이하 30억 이하 50억 이하 50억 초과 약정요율 0 || 150000.0만원/non_cash/recommend_only: 최소금액은 80만원으로 한다) 氠瑢 인증제품의 연간 매출액 3억 이하 15억 이하 30억 이하 50억 이하 50억 초과 약정요율 0 || 300000.0만원/non_cash/recommend_only: 최소금액은 80만원으로 한다) 氠瑢 인증제품의 연간 매출액 3억 이하 15억 이하 30억 이하 50억 이하 50억 초과 약정요율 0 || 500000.0만원/non_cash/recommend_only: 최소금액은 80만원으로 한다) 氠瑢 인증제품의 연간 매출액 3억 이하 15억 이하 30억 이하 50억 이하 50억 초과 약정요율 0 || 500000.0만원/non_cash/recommend_only: 최소금액은 80만원으로 한다) 氠瑢 인증제품의 연간 매출액 3억 이하 15억 이하 30억 이하 50억 이하 50억 초과 약정요율 0 || None만원/support_ratio/ratio_cap: 2026년 KOLAS 공인 제품인증 서비스 바우처 지원사업 참가 희망기업 모집 공고 부산광역시 기업마당>정책정보>지원사업 공고 기업마당 본문 바로가기 주메뉴 바로가기 기업마당 > 정책정보 > 지원사업 공고 메뉴열기 로그인 정책정보 정책정보 지원사업 공고 품목별 법정의무 인증제도 행사정보 정책뉴스 입법·행정예고/고시 월간 중기누리 활용정보 활용정보 기업업무용 서식 입주기업 모집공고 온라인화상회,,,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118027
PBLN_000000000118047,[충북] 청주시 2026년 도시근로자 지원사업 참여기업 모집 공고,충청북도,True,ratio_only,지원비율만 있음,지원비율만 있어 금액 대표값은 만들 수 없음,pending,support_ratio:1,1,None만원/support_ratio/ratio_cap: [충북] 청주시 2026년 도시근로자 지원사업 참여기업 모집 공고 충청북도 기업마당>정책정보>지원사업 공고 기업마당 본문 바로가기 주메뉴 바로가기 기업마당 > 정책정보 > 지원사업 공고 메뉴열기 로그인 정책정보 정책정보 지원사업 공고 품목별 법정의무 인증제도 행사정보 정책뉴스 입법·행정예고/고시 월간 중기누리 활용정보 활용정보 기업업무용 서식 입주기업 모집공고 온라인화상회의실 정책정보 개방,,,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118047
PBLN_000000000118133,[경북] 2026년 화장품산업 경쟁력 강화사업(성분 분석ㆍ검증 시험인증) 모집공고,경상북도,True,recommend_only_payload,비현금/수수료/컨설팅성,비현금/수수료/컨설팅성 지원이라 ROI 직접 차감은 불가,pending,non_cash:3,3,80.0만원/non_cash/recommend_only: 연구소 등 1개 이상 소재한 화장품 기업 ☞ 성분 분석/검증 시험인증 기업당 최대 80만원 이내 지원 사업신청 방법 이메일 접수 (cos@gitc || 80.0만원/non_cash/recommend_only: 연구소 등 1개 이상 소재한 기업 ☐ 지원내용 氠瑢 지원분야 성분 분석/검증 시험인증 지원 지원금액  기업당 최대 80만원 이내 - 전문기관 의뢰를 통한 수행기관 직접지원 선정규모 사업비 소진 시 종료 지원내용 화장품의 기능성 입증과 안전성 검증을 위한 성분 분석/ || 80.0만원/non_cash/recommend_only: 연구소 등 1개 이상 소재한 기업 ☐ 선정규모 : 사업비 소진 시 종료 ☐ 지원금액 : 기업당 최대 80만원 이내 ☐ 지원내용 - 제품의 기능성 입증 분석을 위한 성분분석시험 서비스 지원 (예: 천연 기능성 원료 또는 지표 물질의 함량 분석,,,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118133
PBLN_000000000118204,2026년 여성기업 육성사업 공고,중소벤처기업부,True,mixed_manual_review,혼합 수기검수,지원 후보가 혼합되어 대표금액/적용방식 수기확인 필요,pending,education_fee:1 | support_ratio:1,2,"2000.0만원/education_fee/recommend_only: 투자유치 등 - 교육․멘토링 : 사업계획서 작성법 등 비즈니스모델 고도화 지원 - 시상 : 약 40팀 (대상 : 중소벤처기업부장관상 및 상금 2,000만원) * 최종 시상규모는 후원여부에 따라 변경될 수 있음 - 후속지원 : 도전 K-스타트업 본선 진출 자격 부여 (창업 3년미만 26팀) || None만원/support_ratio/ratio_cap: 2026년 여성기업 육성사업 공고 중소벤처기업부 기업마당>정책정보>지원사업 공고 기업마당 본문 바로가기 주메뉴 바로가기 기업마당 > 정책정보 > 지원사업 공고 메뉴열기 로그인 정책정보 정책정보 지원사업 공고 품목별 법정의무 인증제도 행사정보 정책뉴스 입법·행정예고/고시 월간 중기누리 활용정보 활용정보 기업업무용 서식 입주기업 모집공고 온라인화상회의실 정책정보 개방 속보성 대시보드 고객알림 고",,,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118204
PBLN_000000000118209,2026년 중소기업 연구인력지원사업 공고,중소벤처기업부,True,manual_representative_recoverable,대표금액 회수 가능 후보,현금성/바우처 후보가 있어 수기검수로 대표금액 회수 가능,pending,subsidy:1,1,5000.0만원/subsidy/subtract: 레전드 50 +* : 10개) ◇ 지역특화 프로젝트 󰡔레전드 50+ * 󰡕 : 중소기업의 혁신성장 및 경쟁력 제고를 위하여 중소벤처기업부 및 17개 광역자치단체가 함께 추진하는 지역 특화 프로젝트이며 중소벤처 기업부가 핵심 정책수단을 3년간 패키지로 지원해 주는 정책 * 레전드 50+ 참여기업 선정확인서를 제출하는 경우 우선 할당(제한경쟁) ◦ (지원내용) 기업별 1명으로 최대 3년간 연봉의,,,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118209
