policy_id,title,organization,old_amount_manwon,old_amount_actual,old_amount_type,old_roi_apply_method,new_amount_manwon,new_amount_actual,new_amount_type,new_roi_apply_method,resolution_source,resolution_reason,gemini_confidence,selected_context
PBLN_000000000122238,[강원] 춘천시 2026년 지식재산 국내분쟁 비용지원 사업 모집 연장 공고,강원특별자치도,300.0,최대 300만원,support_amount,subtract,800.0,최대 800만원,support_amount,subtract,rule_adjudication,새 후보가 기업 단위 한도 문맥이고 차이 배율이 극단적이지 않습니다.,,"경고장 대응 지원 - 기업당 최대 8,000 천원 이내 지원 사업신청 방법 이메일 접수 (ip15@gwep"
PBLN_000000000122394,[제주] 2026년 전기차 사용 후 배터리 실증 지원사업(KC인증) 상시모집 공고,제주특별자치도,5000.0,"최대 5,000만원",support_amount,subtract,2500.0,"최대 2,500만원",support_amount,subtract,rule_adjudication,새 후보가 기업 단위 한도 문맥이고 차이 배율이 극단적이지 않습니다.,,"1개사당 최대 25,000천원 지원3"
PBLN_000000000122623,[전북] 2026년 2차 자동차 대체부품 분야 기업지원 사업 공고,전북특별자치도,49493.0,,unknown,review,25586.3,최대 2.6억원,support_amount,subtract,rule_adjudication,새 후보가 기업 단위 한도 문맥이고 차이 배율이 극단적이지 않습니다.,,"000원 4건(품목) 내외 지원 김제시 : 255,863,000원 ‣ 국산차 부품 : 최대 2억원/과제 - 기업별 수혜 이력에 따라 과제당 최대 지원금 차등 지원 氠瑢 구분 2회이상 3회이상 4회이상 汤捯 최"
PBLN_000000000123053,2026년 2차 경북 영천시 금호 이웃사촌마을 조성사업 청년창업 및 이전기업 지원사업 참여기업(이전기업) 모집 공고,경상북도,5000.0,"최대 5,000만원",support_amount,subtract,20000.0,최대 2억원,support_amount,subtract,gemini_second_review,"새 파싱 후보 금액 2억원(20,000만원)은 '단년도 최대 200,000천원'이라는 명확한 문구를 근거로 하며, 기존 최대 5,000만원보다 명확히 상위 금액이므로 대표 금액으로 채택합니다.",high,"구축(임차) 및 신제품개발 또는 제품고도화 등 자금 지원(단년도 최대 200,000천원"
PBLN_000000000123150,2026년 소공인 스마트제조지원(스마트공방)사업 추가 모집 공고,중소벤처기업부,600.0,최대 600만원,subsidy,subtract,3000.0,"최대 3,000만원",subsidy,subtract,gemini_second_review,"새 파싱 후보 금액 3,000만원은 '운영기관별 최대 3,000만원'이라는 명확한 문구와 함께 제시되어 대표 지원금으로 판단됩니다.",high,"클러스터특성에맞는소(상)공인연계사업추진등 -(지원금액) 운영기관별최대3,000만원(국비100%) * 기관별 사업계획에 따라 지원금액 조정 가능 ** 단"
PBLN_000000000123277,[대전ㆍ충청] 2026년 중소기업 AI훈련확산 지원사업 참여기업 모집 공고,고용노동부,280.0,최대 280만원,support_amount,subtract,1000.0,"최대 1,000만원",support_amount,subtract,rule_adjudication,새 후보가 기업 단위 한도 문맥이고 차이 배율이 극단적이지 않습니다.,,"10명 이내 (훈련 운영) 프로젝트 수행방식의 훈련 참여자 주도형 훈련 (지원혜택) 훈련과정개발비(최대 210만원) + 훈련교사 수당(기업당 최대 1,000만원) + 훈련비(NCS단가 × 훈련시간 × 훈련인원) 체계적 현장훈련(S-OJT) Key Point"
PBLN_000000000123300,[광주] 2026년 자동차 부품업체 지속 가능 전환기업 육성지원사업 지원기업 모집 공고,광주광역시,1600.0,"최대 1,600만원",support_amount,subtract,2500.0,"최대 2,500만원",support_amount,subtract,rule_adjudication,새 후보가 기업 단위 한도 문맥이고 차이 배율이 극단적이지 않습니다.,,외 수요 기반 요구사항 해결과 조기 사업화를 위한 샘플 제작지원 및 고객(사) 니즈 반영 개발제품에 대한 고급화 지원(기업당 최대 25백만원 내외)
PBLN_000000000123456,[전남] 화순군 2026년 스타기업 모집 공고,전라남도,6000.0,"최대 6,000만원",support_amount,subtract,2000.0,"최대 2,000만원",support_amount,subtract,rule_adjudication,새 후보가 기업 단위 한도 문맥이고 차이 배율이 극단적이지 않습니다.,,2개 분야별 세부 프로그램(기업별 최대 20백만원 이내) 지원 - 기술지원 : 시제품제작지원
PBLN_000000000123472,[세종] 2026년 정보보호 기업육성(사업화 & 창업ㆍ벤처 육성) 지원사업 모집 공고,세종특별자치시,4000.0,"최대 4,000만원",support_amount,subtract,1000.0,"최대 1,000만원",support_amount,subtract,rule_adjudication,새 후보가 기업 단위 한도 문맥이고 차이 배율이 극단적이지 않습니다.,,"15,000천원 - 창업·벤처육성 : 40,000천원(4개사) / 1개사 최대 10,000천원○(지원대상)세종 소재 ICT/SW기반 정보보호 제품·서비스 기술개발 및 사업화"
PBLN_000000000123480,[부산] 2026년 2차 블록체인 허브 입주기업 맞춤형 지원 프로그램 모집 공고,부산광역시,100.0,최대 100만원,support_amount,subtract,1000.0,"최대 1,000만원",support_amount,subtract,gemini_second_review,"새 파싱 금액은 '기업당 최대 1,000만원 이내'로 명시되어 있어 대표 지원금으로 적합합니다.",high,"부산 블록체인 허브 입주기업 혹은 입주 예정기업 ☞ 입주기업의 수요에 따라 세부프로그램 중 선택하여 프로그램(기업당 최대 1,000만원 이내) 지원 - 비즈니스 성장"
PBLN_000000000123506,[전남광주] 2026년 2차 전남 지역기업 성장사다리 지원사업 연장 공고,중소벤처기업부,3500.0,"최대 3,500만원",support_amount,subtract,5000.0,"최대 5,000만원",support_amount,subtract,gemini_second_review,"새로운 파싱 후보 금액 5,000만원은 두 사업을 합하여 지원 가능한 최대 금액으로 명확하게 제시되어 기존 최대 지원금 3,500만원보다 대표 금액으로 적합합니다.",high,"두 사업을 합하여 5,000만원 이내 지원 가능하나"
PBLN_000000000123525,[충남ㆍ충북ㆍ대전ㆍ세종] 2026년 2차 기업 지원 프로그램(비R&D) 지원대상 모집 공고(미래차 산업 혁신 지원사업),충청남도,1100.0,"최대 1,100만원",support_amount,subtract,2000.0,"최대 2,000만원",support_amount,subtract,gemini_second_review,"새로운 파싱 후보 금액이 '기업 당 최대 20,000천원까지 지원'이라는 명확한 문구를 근거로 최대 지원금으로 판단됩니다.",high,"기업 당 최대 20,000천원까지 지원 (기업부담금 : 지원금액의 10%"
PBLN_000000000123584,[경남] 2026년 지역기업 성장사다리 지원사업 패스트트랙(Track A) 모집 공고,중소벤처기업부,1000.0,"최대 1,000만원",support_amount,subtract,2000.0,"최대 2,000만원",support_amount,subtract,rule_adjudication,새 후보가 기업 단위 한도 문맥이고 차이 배율이 극단적이지 않습니다.,,"마케팅 지원(기업당 20,000천원 이내)"
PBLN_000000000123642,[전남광주] 2026년 2차 글로벌강소기업 1000+ 프로젝트 자율 프로그램 모집 공고,전남광주통합특별시,800.0,최대 800만원,support_amount,subtract,3500.0,"최대 3,500만원",support_amount,subtract,rule_adjudication,새 후보가 기업 단위 한도 문맥이고 차이 배율이 극단적이지 않습니다.,,□ 지역자율프로그램 지원내용ㅇ신청금액 :기업당 20백만원 ~35백만원 내외ㅇ기업부담금 :자부담은 의무사항이 아니며
PBLN_000000000123671,[전북] 2026년 2차 혁신성장 R&D+(연구개발)사업 지원사업 모집 공고,전북특별자치도,2470.0,"최대 2,470만원",support_amount,subtract,95000.0,최대 9.5억원,support_amount,subtract,gemini_second_review,자유공모형 과제당 최대 9.5억원으로 명시되어 있어 대표 지원금으로 채택함,high,대학 및 기업 등 ☞ 혁신성장산업 분야 도내기업의 상용화 가능 기술개발 과제 집중 지원 - 투자유치 : 과제당 110백만원 이내 - 구매조건부 : 과제당 110백만원 이내 - 자유공모형 : 과제당 950백만원 이내 사업신청 방법 온라인 접수 (전북R&D종합정보시스템) 사업신청 사이트 온라인신청 바로가기 문의처 전북테크노파크 과학기술진흥단 R&D지원팀
PBLN_000000000123694,[대전] 2026년 팝:콘 고도화 제작 지원사업 참여기업 모집 수정 공고,대전광역시,28950.0,최대 2.9억원,support_amount,subtract,5790.0,"최대 5,790만원",support_amount,subtract,rule_adjudication,새 후보가 기업 단위 한도 문맥이고 차이 배율이 극단적이지 않습니다.,,"/ 5개사 지원(기업당 최대 57,900천원)구분세부분야지원기업수지원금액자유분야보유 콘텐츠 업그레이드 및 사업화 지원3개사 기업당(57"
SMARTFACTORY:2025-N-0203:2,2026년도 자율형공장 구축 지원사업(단독신청),스마트공장 사업관리시스템,30000.0,최대 50% 지원,support_ratio,ratio_cap,60000.0,최대 6억원,support_amount,subtract,gemini_second_review,새 파싱 후보 금액 6억원은 공고 제목 및 문맥상 최대 지원 한도로 명확하게 판단되어 대표 금액으로 채택합니다.,high,연 3억원 이내) 지원유형 지원기간 지원한도 지원비율 구축목표수준 * 고도화 최대 2년 연 3억(2년 6억) 50% 이내 중간1 이상 * 구축목표 수준은 KS X 9001-1(스마트공장 기본개념과 구조) 표준 기준 ** AI(인공지능)
SMARTFACTORY:2026-N-0102:1,2026년도 강원 지역특화형(바이오헬스·식품) 스마트공장 구축사업(고도화) 공고,스마트공장 사업관리시스템,25000.0,최대 2.5억원,support_amount,subtract,20000.0,최대 2억원,support_amount,subtract,gemini_second_review,새 파싱 후보 금액인 최대 2억원 한도가 공고 내에서 명확하게 '회당 최대 2억원 한도'로 제시되어 대표 지원금으로 채택하는 것이 적절합니다.,high,"원 내에서 2회( 1회차 고도화→ 2회차 동일수준) 까지 지원 하되, 회당 최대 2억원 한도, 지원비율 50% 이내에서 지원 가능 * 단, 공고일 전에 스마트공장 구축"
SMARTFACTORY:2026-N-0103:1,2026년도 강원 지역특화형(바이오헬스·식품) 스마트공장 구축사업(기초) 공고,스마트공장 사업관리시스템,25000.0,최대 2.5억원,support_amount,subtract,20000.0,최대 2억원,support_amount,subtract,gemini_second_review,"새 파싱 후보 금액인 2억원(20,000만원)이 '회당 최대 2억원 한도'라는 명확한 문구와 일치하며, 기존값 2.5억원보다 더 구체적인 지원 한도를 제시하고 있습니다.",high,"원 내에서 2회( 1회차 고도화→ 2회차 동일수준) 까지 지원 하되, 회당 최대 2억원 한도, 지원비율 50% 이내에서 지원 가능 * 단, 공고일 전에 스마트공장 구축"
TECHNOPARK:1752,[서천군] 2026년 시군구연고산업육성 협업프로젝트(서천군 해양바이오 인큐베이팅 사업) 3차 수혜기업 모집 공고 기간 연장 안내,충남테크노파크,5000.0,조건별 기업당 최대 5천만원,non_cash,recommend_only,7000.0,"최대 7,000만원",support_amount,subtract,rule_adjudication,새 후보가 기업 단위 한도 문맥이고 차이 배율이 극단적이지 않습니다.,,kr/region/rms 氠瑢 ◎ 기업당 연 최대 7천만원 지원 ▹ 기업지원 프로그램 : 기업당 최대 5천만원 ▹ 외국인 인력채용 : 기업당 최대 1천만원 ▹ 생산성향상 : 기업당 최대 1천만원 ◎ 기
